date,stock_immediate_equity,stock_pullback_equity,etf_dca_equity,etf_buy_hold_norm
2021-10-05,450341.1719189901,526679.6408875402,334934.14632313,0.7235294117647059
2021-10-06,448160.93191899004,519987.93088754016,335236.70632313,0.7241830065359477
2021-10-10,443494.87191899004,512773.8808875401,338262.30632313003,0.730718954248366
2021-10-11,447112.58191899006,509529.6608875402,342195.58632313,0.7392156862745098
2021-10-12,445074.0319189901,504877.4408875401,344010.94632313,0.7431372549019607
2021-10-13,443350.5919189901,500678.2208875401,346128.86632313003,0.7477124183006535
2021-10-17,450141.26191899006,506744.61088754016,352785.18632313004,0.7620915032679738
2021-10-18,454362.6219189901,512442.4108875402,357928.70632313,0.7732026143790849
2021-10-19,431118.74191899,488383.3108875401,362769.66632313,0.7836601307189542
2021-10-20,429731.98191899,489980.0308875402,360349.18632313004,0.7784313725490196
2021-10-24,431571.71191899,490332.48088754015,358231.26632313,0.7738562091503267
2021-10-25,423490.10191899,478649.74088754016,359744.06632313004,0.777124183006536
2021-10-26,426474.65191899,485740.9808875401,359744.06632313004,0.777124183006536
2021-10-27,424468.43191899004,482738.6108875401,362164.54632313,0.7823529411764706
2021-10-28,428877.61191899003,490200.9808875401,365492.70632313,0.7895424836601307
2021-10-31,432858.09191899,507708.51088754024,370031.10632313,0.7993464052287581
2021-11-01,450224.1882565,532441.47286531,377544.45462544006,0.7934640522875817
2021-11-02,453521.7582565,536843.98911381,382520.29462544003,0.803921568627451
2021-11-03,451409.5482565001,531007.36911381,385941.18462544004,0.8111111111111111
2021-11-04,447069.17825650005,528950.0691138101,386252.17462544004,0.8117647058823529
2021-11-07,447754.04825650004,535230.34911381,383764.25462544,0.8065359477124182
2021-11-08,451356.59825650003,537497.96911381,381898.31462544,0.8026143790849672
2021-11-09,446474.36825650005,528599.1049121302,380032.37462544005,0.7986928104575164
2021-11-10,437000.6082565001,517090.2149121301,382831.28462544,0.8045751633986928
2021-11-11,446045.4382565,529045.0249121302,379410.39462544,0.7973856209150326
2021-11-14,450524.7182565001,536670.0049121303,382520.29462544003,0.803921568627451
2021-11-15,444377.78825650003,525650.5749121301,385319.20462544006,0.8098039215686275
2021-11-16,434042.93825650006,517239.7349121301,379721.38462544006,0.7980392156862746
2021-11-17,433192.54825650004,515197.2449121301,377233.46462544,0.7928104575163398
2021-11-18,434377.49825650005,518755.6849121301,378477.42462544004,0.7954248366013071
2021-11-21,420987.1382565,502482.3649121301,374434.55462544,0.7869281045751633
2021-11-22,421138.35825650004,501757.05491213006,372257.62462544005,0.7823529411764706
2021-11-23,426935.5882565,510805.5449121301,374434.55462544,0.7869281045751633
2021-11-25,432797.56825650006,512843.5949121301,374123.56462544,0.7862745098039214
2021-11-28,428555.73825650004,509128.2249121301,376611.48462544,0.7915032679738562
2021-11-29,430466.0482565,507800.4449121302,371635.64462544,0.7810457516339868
2021-11-30,435352.0182565,511898.3249121301,372257.62462544005,0.7823529411764706
2021-12-01,447452.5938016901,524830.0182914701,388489.57527469,0.7947712418300653
2021-12-02,445854.25380169007,524778.3982914701,389448.01527469,0.7967320261437908
2021-12-05,449448.2138016901,529429.7182914701,385933.73527469,0.7895424836601307
2021-12-06,450971.4238016901,527095.4582914701,388809.05527469,0.7954248366013071
2021-12-08,444757.18380169006,513052.3982914701,393281.77527469,0.8045751633986928
2021-12-12,455265.72380169004,518277.0082914701,393281.77527469,0.8045751633986928
2021-12-13,458114.4238016901,525371.5882914701,399032.41527469,0.8163398692810457
2021-12-14,453564.8138016901,523488.5582914701,398712.93527469004,0.8156862745098039
2021-12-15,455409.35380169004,523526.6282914701,396157.09527469,0.8104575163398693
2021-12-16,463123.6838016901,535569.7082914702,396157.09527469,0.8104575163398693
2021-12-21,460597.4138016901,532716.7582914701,391364.89527469,0.8006535947712418
2021-12-23,471650.0538016901,544414.50829147,396476.57527469,0.8111111111111111
2021-12-26,471536.7338016901,540616.7082914701,400629.81527469,0.8196078431372548
2021-12-27,469015.4438016901,541222.4582914702,403824.61527469003,0.8261437908496732
2021-12-28,473111.3038016901,541162.6782914702,403824.61527469003,0.8261437908496732
2021-12-29,473923.4738016901,545452.49829147,405741.49527469,0.8300653594771241
2022-01-02,487822.30702348007,557790.1740028501,417226.76417724,0.8326797385620914
2022-01-03,490832.77702348004,557790.1740028501,415589.31417724,0.8294117647058823
2022-01-04,496944.6170234801,557790.1740028501,415261.82417724,0.8287581699346405
2022-01-05,502004.05702348007,557790.1740028501,418209.23417724,0.8346405228758169
2022-01-09,498652.42702348006,557790.1740028501,420174.17417724,0.838562091503268
2022-01-10,501628.63702348,557790.1740028501,417881.74417724,0.8339869281045751
2022-01-11,496029.37702348013,557790.1740028501,419191.70417724,0.8366013071895425
2022-01-12,494164.6170234801,557790.1740028501,418536.72417724,0.8352941176470587
2022-01-13,488128.6070234801,553251.1354179701,420501.66417724,0.8392156862745097
2022-01-16,475307.8470234801,548409.4154179703,418864.21417724,0.8359477124183006
2022-01-18,483752.05702348007,566158.6554179701,413624.37417724007,0.8254901960784314
2022-01-19,481567.4370234801,558228.2954179702,414279.35417724005,0.826797385620915
2022-01-20,480345.02702348016,557782.5154179701,408712.02417724003,0.8156862745098039
