date,symbol,shares,close,market_value,entry_date,bars_held
2025-05-11,RMDA,118165.0,4.56,538832.3999999999,2025-04-09,18
2025-05-11,HRHO,18812.0,27.7,521092.39999999997,2025-04-14,15
2025-05-11,ARCC,23212.0,26.4,612796.7999999999,2025-04-15,14
2025-05-11,EMFD,60621.0,8.7,527402.7,2025-04-28,8
2025-05-12,RMDA,118165.0,4.6,543559.0,2025-04-09,19
2025-05-12,HRHO,18812.0,27.93,525419.16,2025-04-14,16
2025-05-12,ARCC,23212.0,25.53,592602.36,2025-04-15,15
2025-05-12,EMFD,60621.0,8.62,522553.01999999996,2025-04-28,9
2025-05-13,RMDA,118165.0,4.67,551830.55,2025-04-09,20
2025-05-13,HRHO,18812.0,28.0,526736.0,2025-04-14,17
2025-05-13,ARCC,23212.0,25.79,598637.48,2025-04-15,16
2025-05-13,EMFD,60621.0,8.8,533464.8,2025-04-28,10
2025-05-14,HRHO,18812.0,28.0,526736.0,2025-04-14,18
2025-05-14,ARCC,23212.0,26.09,605601.08,2025-04-15,17
2025-05-14,EMFD,60621.0,8.84,535889.64,2025-04-28,11
2025-05-15,HRHO,18812.0,28.75,540845.0,2025-04-14,19
2025-05-15,ARCC,23212.0,25.86,600262.32,2025-04-15,18
2025-05-15,EMFD,60621.0,8.94,541951.74,2025-04-28,12
2025-05-18,HRHO,18812.0,28.75,540845.0,2025-04-14,20
2025-05-18,ARCC,23212.0,25.86,600262.32,2025-04-15,19
2025-05-18,EMFD,60621.0,8.94,541951.74,2025-04-28,13
2025-05-19,HRHO,18812.0,29.7,558716.4,2025-04-14,20
2025-05-19,ARCC,23212.0,25.82,599333.84,2025-04-15,19
2025-05-19,EMFD,60621.0,9.11,552257.3099999999,2025-04-28,13
2025-05-20,ARCC,23212.0,26.27,609779.24,2025-04-15,20
2025-05-20,EMFD,60621.0,9.17,555894.57,2025-04-28,14
2025-05-20,HRHO,18112.0,30.3,548793.6,2025-05-20,0
2025-05-21,EMFD,60621.0,9.45,572868.45,2025-04-28,15
2025-05-21,HRHO,18112.0,30.81,558030.72,2025-05-20,1
2025-05-21,FWRY,52565.0,11.2,588728.0,2025-05-21,0
2025-05-22,EMFD,60621.0,9.5,575899.5,2025-04-28,16
2025-05-22,HRHO,18112.0,31.75,575056.0,2025-05-20,2
2025-05-22,FWRY,52565.0,11.5,604497.5,2025-05-21,1
2025-05-22,GBCO,25669.0,21.4,549316.6,2025-05-22,0
2025-05-25,EMFD,60621.0,9.7,588023.7,2025-04-28,17
2025-05-25,HRHO,18112.0,31.11,563464.32,2025-05-20,3
2025-05-25,FWRY,52565.0,11.65,612382.25,2025-05-21,2
2025-05-25,GBCO,25669.0,21.0,539049.0,2025-05-22,1
2025-05-26,EMFD,60621.0,9.71,588629.91,2025-04-28,18
2025-05-26,HRHO,18112.0,30.31,548974.72,2025-05-20,4
2025-05-26,FWRY,52565.0,11.21,589253.65,2025-05-21,3
2025-05-26,GBCO,25669.0,21.6,554450.4,2025-05-22,2
2025-05-27,EMFD,60621.0,9.85,597116.85,2025-04-28,19
2025-05-27,HRHO,18112.0,30.35,549699.2000000001,2025-05-20,5
2025-05-27,FWRY,52565.0,11.31,594510.15,2025-05-21,4
2025-05-27,GBCO,25669.0,22.96,589360.24,2025-05-22,3
2025-05-28,EMFD,60621.0,9.9,600147.9,2025-04-28,20
2025-05-28,HRHO,18112.0,30.82,558211.84,2025-05-20,6
2025-05-28,FWRY,52565.0,11.54,606600.1,2025-05-21,5
2025-05-28,GBCO,25669.0,22.5,577552.5,2025-05-22,4
2025-05-28,ORHD,23887.0,23.76,567555.12,2025-05-28,0
2025-05-29,EMFD,60621.0,9.9,600147.9,2025-04-28,21
2025-05-29,HRHO,18112.0,30.82,558211.84,2025-05-20,7
2025-05-29,FWRY,52565.0,11.54,606600.1,2025-05-21,6
2025-05-29,GBCO,25669.0,22.5,577552.5,2025-05-22,5
2025-05-29,ORHD,23887.0,23.76,567555.12,2025-05-28,1
2025-06-01,EMFD,60621.0,9.65,584992.65,2025-04-28,21
2025-06-01,HRHO,18112.0,30.35,549699.2000000001,2025-05-20,7
2025-06-01,FWRY,52565.0,11.4,599241.0,2025-05-21,6
2025-06-01,GBCO,25669.0,23.71,608611.99,2025-05-22,5
2025-06-01,ORHD,23887.0,23.55,562538.85,2025-05-28,1
2025-06-02,HRHO,18112.0,29.87,541005.4400000001,2025-05-20,8
2025-06-02,FWRY,52565.0,11.19,588202.35,2025-05-21,7
2025-06-02,GBCO,25669.0,23.02,590900.38,2025-05-22,6
2025-06-02,ORHD,23887.0,22.8,544623.6,2025-05-28,2
2025-06-03,FWRY,52565.0,10.93,574535.45,2025-05-21,8
2025-06-03,GBCO,25669.0,22.37,574215.53,2025-05-22,7
2025-06-03,ORHD,23887.0,22.66,541279.42,2025-05-28,3
2025-06-03,EGAL,3488.0,163.21,569276.48,2025-06-03,0
2025-06-04,FWRY,52565.0,11.06,581368.9,2025-05-21,9
2025-06-04,GBCO,25669.0,24.0,616056.0,2025-05-22,8
2025-06-04,ORHD,23887.0,22.78,544145.86,2025-05-28,4
2025-06-04,EGAL,3488.0,159.11,554975.68,2025-06-03,1
2025-06-10,FWRY,52565.0,11.45,601869.25,2025-05-21,10
2025-06-10,GBCO,25669.0,23.54,604248.26,2025-05-22,9
2025-06-10,ORHD,23887.0,22.95,548206.65,2025-05-28,5
2025-06-10,EGAL,3488.0,162.94,568334.72,2025-06-03,2
2025-06-11,FWRY,52565.0,11.2,588728.0,2025-05-21,11
2025-06-11,GBCO,25669.0,24.49,628633.8099999999,2025-05-22,10
2025-06-11,ORHD,23887.0,23.3,556567.1,2025-05-28,6
2025-06-11,EGAL,3488.0,166.0,579008.0,2025-06-03,3
2025-06-11,ISPH,59819.0,9.33,558111.27,2025-06-11,0
2025-06-12,FWRY,52565.0,11.1,583471.5,2025-05-21,12
2025-06-12,GBCO,25669.0,24.09,618366.21,2025-05-22,11
2025-06-12,ORHD,23887.0,22.71,542473.77,2025-05-28,7
2025-06-12,EGAL,3488.0,167.55,584414.4,2025-06-03,4
2025-06-12,ISPH,59819.0,9.23,552129.37,2025-06-11,1
2025-06-15,FWRY,52565.0,11.0,578215.0,2025-05-21,13
2025-06-15,GBCO,25669.0,21.82,560097.58,2025-05-22,12
2025-06-15,ORHD,23887.0,20.2,482517.39999999997,2025-05-28,8
2025-06-15,EGAL,3488.0,157.05,547790.4,2025-06-03,5
2025-06-15,ISPH,59819.0,8.89,531790.91,2025-06-11,2
2025-06-24,FWRY,44744.0,12.35,552588.4,2025-06-24,0
2025-06-25,FWRY,44744.0,12.65,566011.6,2025-06-24,1
2025-06-25,ISPH,58032.0,9.47,549563.04,2025-06-25,0
2025-06-25,GBCO,23569.0,23.69,558349.61,2025-06-25,0
2025-06-25,EGAL,3356.0,157.0,526892.0,2025-06-25,0
2025-06-25,EMFD,57976.0,9.5,550772.0,2025-06-25,0
2025-06-29,FWRY,44744.0,12.47,557957.68,2025-06-24,2
2025-06-29,ISPH,58032.0,9.4,545500.8,2025-06-25,1
2025-06-29,GBCO,23569.0,23.49,553635.8099999999,2025-06-25,1
2025-06-29,EGAL,3356.0,159.0,533604.0,2025-06-25,1
