family,number,value,param_hierarchy,param_trend_indicator,param_atr_stop,param_atr_trail,param_st_len,param_st_mult,param_momentum_indicator,param_mom_rsi_len,param_mom_rsi_threshold,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,param_macd_fast,param_macd_slow,param_macd_signal,param_kama_len,param_kama_fast,param_kama_slow,param_aroon_len,param_aroon_threshold,param_volume_indicator,param_mfi_len,param_mfi_threshold,param_cmf_len,param_cmf_threshold,param_obv_ema_len,param_cci_len,param_cci_threshold
hierarchy_combo,10,2.7103124483567984,trend_only,kama,4.9,3.8000000000000003,,,,,,2.7103124483567984,0.532146050282253,1.7627073437328935,17.909152017699245,0.25962397146854543,4.255531672481952,27.0,0.5295404588088936,-0.1324397161686418,331057.80305663263,,,,46.0,2.0,59.0,,,,,,,,,,
hierarchy_combo,11,1.5888911391399128,trend_only,supertrend,5.0,3.2,29.0,4.7,,,,1.5888911391399128,0.38288858048970564,1.5510268140310215,2.464077166102645,0.19517264447402272,2.345341840415173,6.0,0.3810910735360577,-0.28088910144147766,304680.2342581375,,,,,,,,,,,,,,,,
hierarchy_combo,12,-0.30363107442585346,trend_momentum_volume,kama,4.0,3.1,,,cci,,,-0.30363107442585346,-0.07646495100706174,-0.3795918708516556,0.5779355740052341,0.17973167442257376,-0.6106852317433777,60.0,-0.0761752950237328,-0.7381554700012681,221267.25484944278,,,,22.0,2.0,54.0,,,mfi,6.0,70.0,,,,17.0,120.0
hierarchy_combo,13,1.697427090043564,trend_only,supertrend,4.2,4.0,20.0,4.0,,,,1.697427090043564,0.4289617733393463,1.8429389423054583,1.25,0.15081012643914082,2.927999184590691,2.0,0.4269223769135304,-0.23505779806400495,313108.4165503425,,,,,,,,,,,,,,,,
hierarchy_combo,14,2.8428687859690753,trend_momentum,kama,3.5,2.8000000000000003,,,rsi,6.0,63.0,2.8428687859690753,0.44226749935056964,1.6349888851236893,3.3810156272701706,0.14749535275918102,5.0604915558984525,83.0,0.4401600437825489,-0.22182013119498645,312572.07416530803,,,,10.0,4.0,46.0,,,,,,,,,,
hierarchy_combo,15,2.42876553195729,trend_only,kama,4.7,3.5,,,,,,2.42876553195729,0.5444938179627747,1.7693363717926116,3.9723487542807554,0.2529333614048733,4.345409332321149,22.0,0.5417971840887232,-0.12018299088881212,334246.776313015,,,,37.0,3.0,44.0,,,,,,,,,,
hierarchy_combo,16,3.504289519696612,trend_momentum,supertrend,3.5,2.6,18.0,3.5,cci,,,3.504289519696612,0.5257687624499392,2.0490563222719644,13.302585045030739,0.16503097996555327,6.0861413017252906,9.0,0.523210726280776,-0.13876944869675933,327716.1825835401,,,,,,,,,,,,,,,40.0,0.0
hierarchy_combo,17,3.6456973140933027,trend_momentum_volume,kama,1.0,1.8,,,cci,,,3.6456973140933027,0.5787411044188384,1.9934097585552295,13.741336912565158,0.19466969587351157,6.672540448217884,30.0,0.5758482844551043,-0.08613189052243109,335212.6820109951,,,,26.0,2.0,20.0,,,obv,,,,,55.0,39.0,0.0
hierarchy_combo,18,3.5088787963004995,trend_momentum_volume,kama,1.0,1.8,,,cci,,,3.5088787963004995,0.5870718156353876,1.9953559106923577,13.66370596150773,0.19627314306598764,6.370919732396563,31.0,0.5841327020122877,-0.07784747296524758,336325.6534285077,,,,25.0,2.0,20.0,,,obv,,,,,60.0,40.0,10.0
hierarchy_combo,19,3.5302690695531385,trend_momentum_volume,kama,1.1,1.5,,,cci,,,3.5302690695531385,0.6302170558162531,2.1328561782336686,22.995403552760617,0.21561194922173876,6.506261612733727,43.0,0.6269412090694453,-0.03503896590809008,341324.90777349274,,,,31.0,2.0,35.0,,,obv,,,,,57.0,28.0,65.0
