symbol,date,factor_date,sector,factor_score,score_momentum,score_value,score_quality,score_growth,score_low_risk,score_liquidity,has_fundamentals,fundamental_filing_date,fundamental_row_age_days
HELI,2017-05-31,2017-06-01,real_estate,0.5489912280701755,0.5789473684210527,0.5,0.5,0.525,0.43859649122807015,0.7894736842105263,False,,
HELI,2017-07-06,2017-07-09,real_estate,0.5640343915343916,0.5952380952380953,0.5,0.5,0.5027777777777779,0.462962962962963,0.8888888888888888,False,,
HELI,2017-08-13,2017-08-14,real_estate,0.4843707482993198,0.3673469387755103,0.5,0.5,0.43214285714285716,0.38095238095238093,0.9285714285714286,False,,
HELI,2017-10-01,2017-10-02,real_estate,0.5082894736842105,0.47368421052631576,0.5,0.5,0.45131578947368417,0.4736842105263158,0.7368421052631579,False,,
HELI,2017-11-08,2017-11-09,real_estate,0.5374874686716792,0.5037593984962406,0.5,0.5,0.47763157894736846,0.5964912280701755,0.7894736842105263,False,,
HELI,2017-11-29,2017-12-03,real_estate,0.5338809523809522,0.5357142857142857,0.5,0.5,0.465,0.5666666666666667,0.7,False,,
HELI,2017-12-31,2018-01-02,real_estate,0.3959920634920635,0.17460317460317462,0.5,0.5,0.38055555555555554,0.3888888888888889,0.6666666666666666,False,,
HELI,2018-02-05,2018-02-06,real_estate,0.4298544973544974,0.2936507936507937,0.5,0.5,0.4361111111111111,0.20370370370370372,0.7777777777777778,False,,
HELI,2018-03-01,2018-03-04,real_estate,0.44657563025210095,0.3361344537815127,0.5,0.5,0.45735294117647063,0.23529411764705882,0.7647058823529411,False,,
HELI,2018-04-10,2018-04-11,real_estate,0.5304917184265011,0.6024844720496896,0.5,0.5,0.5554347826086957,0.3768115942028986,0.5652173913043478,False,,
HELI,2018-04-30,2018-05-02,real_estate,0.5075517598343686,0.5714285714285715,0.5,0.5,0.5206521739130435,0.3623188405797102,0.4782608695652174,False,,
HELI,2021-08-31,2021-09-01,real_estate,0.424608843537415,0.0816326530612245,0.4666666666666667,0.7,0.525,0.5714285714285715,0.5714285714285714,True,2021-08-30,1.0
HELI,2021-11-30,2021-12-01,real_estate,0.39321428571428574,0.14285714285714288,0.4,0.6125,0.5500000000000002,0.3571428571428572,0.5714285714285714,True,2021-08-30,92.0
HELI,2021-12-30,2022-01-02,real_estate,0.45681372549019617,0.2941176470588236,0.4,0.6125,0.6411764705882355,0.13725490196078435,0.8823529411764706,True,2021-08-30,122.0
HELI,2022-01-31,2022-02-01,real_estate,0.6405128205128205,0.6153846153846154,0.6,0.775,0.7576923076923078,0.12820512820512822,0.9230769230769231,True,2021-08-30,154.0
HELI,2022-03-31,2022-04-03,real_estate,0.5688564213564214,0.4415584415584416,0.6,0.775,0.5229797979797982,0.09090909090909093,1.0,True,2022-03-01,30.0
HELI,2022-04-28,2022-05-08,real_estate,0.6534018759018759,0.7142857142857143,0.6,0.775,0.6411616161616164,0.09090909090909093,0.9090909090909091,True,2022-03-01,58.0
HELI,2022-07-31,2022-08-01,real_estate,0.7131746031746032,0.5476190476190476,1.0,1.0,0.43333333333333335,0.22222222222222224,0.8333333333333334,True,2022-05-30,62.0
HELI,2022-08-31,2022-09-01,real_estate,0.7465952380952381,0.5714285714285715,1.0,1.0,0.6850000000000002,0.2666666666666667,0.8,True,2022-08-29,2.0
HELI,2022-09-29,2022-10-02,real_estate,0.7471428571428573,0.5571428571428573,1.0,1.0,0.7000000000000001,0.30000000000000004,0.8,True,2022-08-29,31.0
HELI,2022-10-31,2022-11-01,real_estate,0.6190714285714285,0.7285714285714286,0.4666666666666667,0.7,0.7550000000000001,0.26666666666666666,0.65,True,2022-08-29,63.0
HELI,2022-11-30,2022-12-01,real_estate,0.6485476190476192,0.8357142857142859,0.4666666666666667,0.7,0.6950000000000001,0.3,0.65,True,2022-11-29,1.0
HELI,2022-12-29,2023-01-02,real_estate,0.4229931972789116,0.14965986394557823,0.4666666666666667,0.7,0.4952380952380953,0.23809523809523814,0.7142857142857143,True,2022-11-29,30.0
HELI,2023-01-31,2023-02-01,real_estate,0.4792650103519669,0.28571428571428575,0.4666666666666667,0.7,0.5586956521739131,0.1739130434782609,0.8695652173913043,True,2022-11-29,63.0
