symbol,variant,base_family,score_family,bars,window_scheme,gate_on_ratio,holdout_excess_return_vs_dca,holdout_cagr,holdout_sharpe,holdout_max_drawdown,wf_excess_return_vs_dca,holdout_pass
COMI,overlay_base,dca_tactical_overlay,none,6039,primary,1.0,-0.45917440317846925,0.3418820302061909,1.1129187062073762,0.3308116450473655,0.05566824465439125,0.0
COMI,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,6039,primary,0.6654528895512501,0.06837738160658624,0.37637337720148967,1.177079970225755,0.3352239095403101,-0.07486979000426802,1.0
COMI,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,6039,primary,0.6139841033283657,-0.6504305534688033,0.3285045210896358,1.1112000093502095,0.3219028543830865,0.07060272476767626,0.0
COMI,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,6039,primary,0.6731971352872992,0.10809046498343466,0.37884110441445573,1.1816470530789938,0.33645504941410576,-0.08341347914653734,1.0
COMI,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,6039,primary,0.6229197714853453,-0.5606430677055543,0.3348479918527165,1.1255810119775012,0.31845057793341636,0.08931271568532025,0.0
COMI,pullback_soft_combo,dca_pullback_only,combo,6039,primary,0.6693250124192747,0.09121352627607937,0.37779443399184776,1.1798377555885824,0.33594800320697504,-0.07877172641202916,1.0
COMI,overlay_soft_combo,dca_tactical_overlay,combo,6039,primary,0.6184519374068554,-0.6259516498656938,0.3302453288979077,1.1153672698255597,0.3200798534925785,0.07990819562663576,0.0
EAST,pullback_base,dca_pullback_only,none,5592,primary,1.0,-0.5639448852823428,0.3644793155211403,0.9754670470044536,0.4066574845496289,-0.11198844331258481,0.0
EAST,overlay_base,dca_tactical_overlay,none,5592,primary,1.0,-0.4077533318464326,0.3764247749916645,1.0075445284875673,0.3919673521877951,3.335011147800095,0.0
EAST,pullback_soft_ichimoku,dca_pullback_only,blackcat_ichimoku,5592,primary,0.653350768955651,-0.5548011322899251,0.36518857473406374,0.9789782109802311,0.4052575889300062,-0.12318767267273753,0.0
EAST,overlay_soft_ichimoku,dca_tactical_overlay,blackcat_ichimoku,5592,primary,0.6000201180257511,-0.6680790692006493,0.356311151062789,0.9901848229533956,0.37091004583246334,3.9377303122684593,0.0
EAST,pullback_soft_zlema_band,dca_pullback_only,blackcat_zlema_band,5592,primary,0.6734307939914163,-0.5136651245911956,0.3683638540928391,0.9850819317086306,0.40560196353187583,-0.14163809327178403,0.0
EAST,overlay_soft_zlema_band,dca_tactical_overlay,blackcat_zlema_band,5592,primary,0.6231893776824035,-0.7488710550841167,0.34985556802108064,0.9801708521362518,0.37761671687929,3.837936217863605,0.0
EAST,pullback_soft_combo,dca_pullback_only,combo,5592,primary,0.6633907814735336,-0.5367617640334026,0.36658414804116046,0.9815475943073774,0.40543339580022186,-0.12902123949252037,0.0
EAST,overlay_soft_combo,dca_tactical_overlay,combo,5592,primary,0.6116047478540773,-0.6776659470493609,0.35555062541979976,0.9897828550537452,0.37420264345168697,3.8894393008716572,0.0
EFID,pullback_base,dca_pullback_only,none,2459,primary,1.0,0.10008120930484277,-0.08640627120300504,0.07463128569134025,0.608500732270709,-0.14337563193829167,1.0
