date,momentum_pyramid_equity,annual_top10_dca_equity,etf_dca_equity
2022-06-09,328195.1131762903,403935.21734752017,409514.48828183004
2022-06-12,319387.63317629026,398365.25734752015,409514.48828183004
2022-06-13,317283.8431762903,393776.14734752016,403990.5882818301
2022-06-14,315388.8731762903,391799.88734752015,401044.50828183006
2022-06-15,312876.9731762902,386601.37734752015,399571.46828183
2022-06-16,310043.9331762903,384581.4773475201,399203.20828183
2022-06-19,304503.9031762903,380276.5473475201,395152.3482818301
2022-06-20,303349.0131762903,379048.3573475201,389628.44828183006
2022-06-21,302774.40317629033,375561.1673475202,387787.14828183
2022-06-22,301245.44317629025,375178.6373475201,388523.6682818301
2022-06-23,299614.66317629034,371010.7273475202,385209.32828183006
2022-06-26,297362.4531762903,370757.01734752016,378212.38828183
2022-06-29,291978.00317629025,367416.2073475201,368269.36828183004
2022-07-03,295235.6885603303,366840.87688631006,379658.2208068301
2022-07-04,288179.87610222027,356533.9968863101,370591.98080683005
2022-07-05,287326.4863849903,355555.14688631013,357748.1408068301
2022-07-06,289711.3363849903,359798.3668863101,356992.62080683
2022-07-07,291156.76638499036,363499.0868863102,357370.3808068301
2022-07-17,288740.31638499035,362658.0168863101,361147.98080683005
2022-07-18,293675.9163849903,367365.17688631016,361147.98080683005
2022-07-19,297280.88638499036,375303.4468863101,365303.34080683003
2022-07-20,299672.8463849904,374774.80688631017,371725.26080683
2022-07-21,306567.9063849903,384689.79688631016,374747.34080683003
2022-07-24,306452.8463849903,387474.6168863101,381924.78080683004
2022-07-26,308821.7863849903,392831.9768863101,379658.2208068301
2022-07-27,306006.9063849903,389034.74688631005,384191.34080683003
2022-07-28,307847.48638499033,390370.1868863101,381547.02080683
2022-07-31,310095.57638499036,392415.78688631015,384569.10080683004
2022-08-01,317016.9622457304,400474.51852594013,398122.04085584
2022-08-02,322255.2809929004,401331.17852594017,395411.15085584007
2022-08-03,323929.6609929003,403568.97852594015,395798.42085584
2022-08-04,329191.39099290036,418953.97852594015,400058.39085584
2022-08-07,329608.00099290034,421090.1385259401,417485.54085584
2022-08-08,325149.59099290037,421549.4585259401,424456.40085584007
2022-08-09,320259.63099290035,420468.8185259402,420970.97085584
2022-08-10,320882.68099290034,420378.8285259402,417872.81085584
2022-08-11,321569.9109929003,422652.1385259401,417485.54085584
2022-08-14,324949.5709929004,425642.2385259401,418647.35085584
2022-08-15,321557.8009929004,423141.77852594014,418260.08085584006
2022-08-16,322995.84099290037,421846.4385259402,415549.19085584005
2022-08-17,325203.1609929004,428638.36852594017,412451.03085584
2022-08-18,326440.7309929003,432256.30852594017,421358.24085584003
2022-08-21,337454.3609929004,443653.9385259401,423294.59085584
2022-08-22,336538.6009929004,441871.03852594015,433363.61085584003
2022-08-23,335295.99099290033,436346.0085259402,429490.91085584
2022-08-24,332060.6909929004,435121.4585259402,424843.67085584
2022-08-25,337021.2709929003,443275.28852594015,423294.59085584
2022-08-28,334914.28099290037,441485.2185259402,431039.99085584003
2022-08-29,333991.01099290035,440521.1785259401,426392.75085584004
2022-08-30,335915.21099290036,442843.79852594016,424069.13085584
2022-08-31,334848.6109929004,440485.6985259402,424456.40085584007
2022-09-01,340484.2813246803,445212.63202831004,428671.08287664
2022-09-04,340056.5765727803,446829.0220283101,425897.82287664
2022-09-05,348734.30657278025,459197.07202831015,428671.08287664
2022-09-06,351864.09657278034,467329.9420283101,436198.50287664
2022-09-07,350593.8365727803,466205.2620283101,442933.56287664
2022-09-08,350594.8165727804,466464.0420283101,438575.58287664
