date,symbol,holding_name,shares,close,value,weight,rank,score
2019-08-21,CCAP,QALA For Financial Investments,10945.0,2.79,30536.55,0.2351059377684428,1.0,0.88575
2019-08-21,EAST,Eastern Company,581.0,11.52,6693.12,0.051531435417449575,5.0,0.6668888888888889
2019-08-21,GBCO,GB Corp,1486.0,4.35,6464.099999999999,0.04976817264324198,7.0,0.6165833333333335
2019-08-21,JUFO,Juhayna Food Industries,634.0,10.03,6359.0199999999995,0.04895914438233143,6.0,0.6270277777777779
2019-08-21,ORHD,Orascom Development Egypt,4489.0,7.16,32141.24,0.24746071089368593,2.0,0.7706944444444446
2019-08-21,TMGH,T M G Holding,868.0,11.18,9704.24,0.07471454520992166,8.0,0.6039444444444445
2019-08-21,VLMR,Egyptian Kuwaiti Holding,12160.0,2.01,24441.6,0.18817991189447306,3.0,0.7601666666666668
2019-09-02,ABUK,Abou Kir Fertilizers,208.0,22.67,4715.360000000001,0.0329858654282588,4.0,0.699361111111111
2019-09-02,ADIB,Abu Dhabi Islamic Bank- Egypt,610.0,9.43,5752.3,0.04023968343943476,7.0,0.5878055555555556
2019-09-02,CCAP,QALA For Financial Investments,12934.0,2.67,34533.78,0.24157786888150531,3.0,0.7624444444444445
2019-09-02,EAST,Eastern Company,391.0,11.71,4578.610000000001,0.032029243431780395,6.0,0.6683333333333332
2019-09-02,GBCO,GB Corp,890.0,4.57,4067.3,0.028452421544984265,8.0,0.5762777777777779
2019-09-02,JUFO,Juhayna Food Industries,387.0,9.48,3668.76,0.025664471779159755,9.0,0.5695
2019-09-02,ORHD,Orascom Development Egypt,4924.0,7.33,36092.92,0.2524846887688131,2.0,0.7734722222222223
2019-09-02,TMGH,T M G Holding,1252.0,11.48,14372.960000000001,0.10054471437297396,5.0,0.6720555555555555
2019-09-02,VLMR,Egyptian Kuwaiti Holding,14741.0,2.23,32872.43,0.2299560483780363,1.0,0.804138888888889
2019-10-24,ABUK,Abou Kir Fertilizers,166.0,21.21,3520.86,0.02502650841997541,6.0,0.6766666666666667
2019-10-24,ADIB,Abu Dhabi Islamic Bank- Egypt,296.0,8.87,2625.52,0.018662371803142938,8.0,0.502974358974359
2019-10-24,CCAP,QALA For Financial Investments,14640.0,2.44,35721.6,0.2539115225186442,5.0,0.7334871794871796
2019-10-24,COMI,Commercial International Bank-Egypt (CIB),106.0,39.51,4188.0599999999995,0.02976901065460206,1.0,0.8141538461538461
2019-10-24,EAST,Eastern Company,739.0,11.92,8808.88,0.0626141083401649,4.0,0.7807692307692308
2019-10-24,ORHD,Orascom Development Egypt,5265.0,6.68,35170.2,0.24999213443085472,3.0,0.7817948717948717
2019-10-24,TMGH,T M G Holding,1294.0,9.91,12823.54,0.09115058019458072,7.0,0.671948717948718
2019-10-24,VLMR,Egyptian Kuwaiti Holding,16523.0,2.1,34698.3,0.24663783766148978,2.0,0.7989230769230768
2019-11-03,ABUK,Abou Kir Fertilizers,224.0,22.67,5078.08,0.032692740425609136,6.0,0.6522564102564103
2019-11-03,ADIB,Abu Dhabi Islamic Bank- Egypt,530.0,8.96,4748.8,0.030572831805157196,7.0,0.6175897435897436
2019-11-03,CCAP,QALA For Financial Investments,15072.0,2.58,38885.76,0.25034699294468277,4.0,0.7388717948717949
2019-11-03,COMI,Commercial International Bank-Egypt (CIB),287.0,40.35,11580.45,0.07455507708853451,3.0,0.788051282051282
2019-11-03,EAST,Eastern Company,439.0,11.97,5254.83,0.03383065906222502,5.0,0.6892820512820513
2019-11-03,ORHD,Orascom Development Egypt,5541.0,7.05,39064.049999999996,0.2514948261199147,1.0,0.8221025641025641
2019-11-03,VLMR,Egyptian Kuwaiti Holding,18184.0,2.12,38550.08,0.2481858810468654,2.0,0.8194358974358975
2019-12-03,ABUK,Abou Kir Fertilizers,199.0,21.15,4208.849999999999,0.02796944580598356,6.0,0.6593333333333334
2019-12-03,ADIB,Abu Dhabi Islamic Bank- Egypt,536.0,8.33,4464.88,0.029670864770714064,5.0,0.6994358974358974
2019-12-03,CCAP,QALA For Financial Investments,17722.0,2.14,37925.08,0.2520269122795042,4.0,0.7372820512820513
2019-12-03,COMI,Commercial International Bank-Egypt (CIB),547.0,38.93,21294.71,0.14151163317750365,2.0,0.8172820512820513
2019-12-03,EAST,Eastern Company,374.0,10.82,4046.6800000000003,0.0268917630597806,7.0,0.642923076923077
2019-12-03,ORHD,Orascom Development Egypt,6000.0,6.15,36900.0,0.2452148568470707,1.0,0.8446153846153847
2019-12-03,VLMR,Egyptian Kuwaiti Holding,18314.0,2.08,38093.12,0.25314360345957415,3.0,0.8171282051282053
2020-01-02,ABUK,Abou Kir Fertilizers,127.0,21.05,2673.35,0.015750605852628295,7.0,0.6042564102564104
2020-01-02,ADIB,Abu Dhabi Islamic Bank- Egypt,338.0,8.5,2873.0,0.016926885972506814,6.0,0.6523076923076925
2020-01-02,CCAP,QALA For Financial Investments,17722.0,2.47,43773.340000000004,0.2578998728909751,4.0,0.7394358974358974
2020-01-02,COMI,Commercial International Bank-Egypt (CIB),663.0,41.42,27461.460000000003,0.16179498853413055,2.0,0.8379999999999999
2020-01-02,EAST,Eastern Company,636.0,11.33,7205.88,0.04245496313664024,5.0,0.689025641025641
2020-01-02,ORHD,Orascom Development Egypt,6251.0,6.73,42069.23,0.2478597490989081,1.0,0.8485128205128206
2020-01-02,VLMR,Egyptian Kuwaiti Holding,20616.0,2.0,41232.0,0.24292703181984024,3.0,0.8003076923076923
2020-02-05,ABUK,Abou Kir Fertilizers,391.0,20.03,7831.7300000000005,0.046090185786773194,6.0,0.6603076923076923
