entry_date,exit_date,exit_year,symbol,shares,entry_price,exit_price,entry_value,exit_value,total_fees,pnl_egp,return_pct,hold_days,exit_reason
2021-06-13,2021-06-16,2021,ARCC,118924.0,4.7,4.36,558942.8,518508.64,10.0,-40444.16000000003,-0.07235766917769429,3,stop
2021-05-30,2021-06-20,2021,PHDC,376627.0,1.66,1.65,625200.82,621434.5499999999,10.0,-3776.2700000000186,-0.006040042941378919,21,signal_fail
2021-06-23,2021-06-28,2021,ORHD,98952.0,5.76,5.59,569963.52,553141.6799999999,10.0,-16831.840000000084,-0.02953117480944401,5,stop
2021-06-02,2021-07-26,2021,EGAL,34821.0,16.19,20.44,563751.99,711741.24,10.0,147979.25,0.2624876544767986,54,target
2021-07-05,2021-08-03,2021,AMOC,175431.0,3.21,3.8,563133.51,666637.7999999999,10.0,103494.28999999992,0.18378123350150555,29,target
2021-06-20,2021-08-09,2021,ARCC,125266.0,4.55,5.73,569960.2999999999,717774.18,10.0,147803.88000000012,0.2593208393563611,50,target
2021-08-09,2021-08-19,2021,ARCC,121675.0,5.73,5.74,697197.75,698414.5,10.0,1206.75,0.0017308451522889145,10,stop
2021-08-09,2021-08-24,2021,TMGH,98475.0,7.08,6.92,697203.0,681447.0,10.0,-15766.0,-0.022613050911636127,15,stop
2021-07-26,2021-09-01,2021,EGAL,34820.0,20.44,25.23,711720.8,878508.6,10.0,166777.79999999993,0.23432872603466098,37,target
2021-08-26,2021-09-07,2021,AMOC,189020.0,3.65,3.55,689923.0,671021.0,10.0,-18912.0,-0.027411555988450968,12,stop
2021-08-26,2021-09-15,2021,PHDC,370925.0,1.86,2.08,689920.5,771524.0,10.0,81593.5,0.11826421838299932,20,target
2021-09-14,2021-09-20,2021,MCQE,47726.0,14.06,13.03,671027.56,621869.7799999999,10.0,-49167.780000000144,-0.07327182454454988,6,stop
2021-09-15,2021-09-21,2021,AMOC,211956.0,3.64,3.46,771519.8400000001,733367.76,10.0,-38162.080000000075,-0.049463190323204724,6,stop
2021-09-20,2021-09-21,2021,ETEL,42418.0,14.66,14.49,621847.88,614636.8200000001,10.0,-7221.0599999999395,-0.011612167816927919,1,stop
2021-09-01,2021-09-22,2021,EGAL,35215.0,25.23,24.24,888474.4500000001,853611.6,10.0,-34872.85000000009,-0.03925003555231366,21,stop
2021-09-26,2021-10-20,2021,ADIB,68393.0,10.73,10.42,733856.89,712655.0599999999,10.0,-21211.830000000075,-0.02890438962568294,24,stop
