date,symbol,stock_close,benchmark_close,ratio,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,excess_fwd_21,excess_fwd_63,excess_fwd_126
2025-12-09,AMOC,6.9,47.45,0.14541622760800843,-0.0790305584826132,-0.20100105374077992,-0.3122046976443795,-0.3581067266407686,-0.10474836420965772,-0.25978481495789885,-0.17317639482598934,-0.05542676501580612,-0.23587887945603114,-0.3266139473184997,-12.971725836677246,0.6424441525248505,-0.12913195162709729,0.004430775888347008,0.004023479208102587,0.2357373446099863,0.1684701900566098,-0.023726801404832833,-0.10136634418088913,-0.14837464779271015,0.0006123913807056791,0.19297200714711127,
2025-12-10,AMOC,7.05,47.49,0.14845230574857865,-0.03171065202419088,-0.19457583710391746,-0.28356483520539866,-0.341581345824543,-0.08193161803640525,-0.24257876462620176,-0.17498385713512876,-0.03570545744184128,-0.21992514809473285,-0.31255463146124685,-12.420283125758953,0.7231285748459944,-0.14070334778442217,0.0040900337112296055,0.004023479208102587,0.23294666234128994,0.16572574332142487,0.0122079962918876,-0.08531967777980964,-0.13123921253571694,-0.06534141566197571,0.22415827744250771,
2025-12-11,AMOC,6.99,47.78,0.1462955211385517,-0.04971518008262499,-0.20857497587597607,-0.2922565081089745,-0.3540742639007337,-0.09091993088339934,-0.2516939422644868,-0.1768535213155864,-0.027251906024884698,-0.23125844080968583,-0.32254215966852007,-13.27889413474876,0.7359018729139786,-0.1534907153901187,0.00414217688582138,0.004023479208102587,0.2304040884116517,0.16398842284554915,-0.0020173333078950823,-0.09512049145450764,-0.13955905598640367,-0.041342023616827484,0.24396000744949875,
2025-12-14,AMOC,7.02,48.11,0.14591561006027853,-0.02079597144141576,-0.20415111175057388,-0.2962288328608639,-0.37364373311161914,-0.08886444678664962,-0.25182263719970877,-0.17885175245148288,-0.029778010545338685,-0.23325476600400807,-0.324301432519814,-13.005342955050256,0.762475836570489,-0.1556602897188142,0.00414217688582138,0.004043083910961716,0.24161537150968282,0.17103948659566928,0.01130621978057831,-0.08426003421867713,-0.13756745497585593,-0.057736869626289766,0.19766134232981059,
2025-12-15,AMOC,7.0,48.26,0.14504765851636967,-0.0333669850326237,-0.22118733286354175,-0.2873325044895704,-0.3845323428138734,-0.08985558192487375,-0.2544949027835949,-0.1808936225823573,-0.035549193445740035,-0.2378156057205858,-0.32832069827636434,-14.260581240289776,0.7571394181143226,-0.167469648498561,0.003623614960060044,0.004043083910961716,0.24312012926053475,0.1715864223592777,0.006040185828499927,-0.09263450252950951,-0.13427511293543162,-0.061812799715825095,0.14738677402166833,
2025-12-16,AMOC,6.94,48.07,0.1443727896817142,-0.030100241411507356,-0.2294200966032004,-0.2792987854680604,-0.3830361309856335,-0.0894953936355316,-0.25622165346116244,-0.1831141310655725,-0.04003653090819448,-0.2413618504460867,-0.33144584646733144,-14.839863188141063,0.7679918291823286,-0.1761927596414784,0.0031423241866670045,0.003876208822339129,0.24258237546448108,0.17127713164657818,0.00030632662786594933,-0.10303586351430842,-0.13287492583488086,-0.06069888473162044,0.15013497966761968,
2025-12-17,AMOC,6.86,47.5,0.14442105263157895,-0.03866452156592359,-0.22494693642450858,-0.2835164959378311,-0.36911765489673554,-0.08421675498982795,-0.2541975036488171,-0.1856124247578924,-0.03971562093005443,-0.24110824230387284,-0.3312223528598105,-14.542230284489396,0.8190119675379672,-0.1842342329926748,0.0030200635693452935,0.0037636294338888,0.2501014397139182,0.1770869607066804,-0.009426314975904283,-0.1090792674555518,-0.14308438291622907,-0.08940678226177678,0.12101273592143613,
2025-12-18,AMOC,6.95,47.43,0.14653173097195868,-0.025681299738126273,-0.23001722498697186,-0.279682921411909,-0.36062266307788293,-0.06608663702814677,-0.2415387471657654,-0.1878676514267914,-0.016205210598484676,-0.23001722498697186,-0.3214483312152663,-15.014286962553866,0.911094343505836,-0.2095673925945393,0.0027343057913548846,0.003867969423503159,0.24822549079328457,0.17538179408509472,0.003803711067645252,-0.11251601777913325,-0.13494445743091787,-0.09002740881298754,0.09588685787612783,
2025-12-21,AMOC,6.94,46.51,0.14921522253278865,0.0019356936590306795,-0.20841425131391067,-0.26667391970200927,-0.33976584933368414,-0.044796362742112183,-0.2259624671079531,-0.1896622848777212,0.0018113991653943007,-0.20841425131391067,-0.3090217553146555,-13.403892756568867,0.9076891737272341,-0.1891753595681037,0.003368632933107199,0.004133822022935371,0.24515730493614246,0.17480176067914,0.009512301600287106,-0.10534724171394452,-0.13260995115497648,-0.12151704848574618,0.11911323956857212,
2025-12-22,AMOC,6.93,47.17,0.14691541233835065,0.010846568858622563,-0.21678068873188838,-0.27786022189244586,-0.35086985558793515,-0.05529446307456454,-0.2362512702677152,-0.1915483715508629,-0.015412704919785525,-0.2202030062847491,-0.319671599105982,-13.878480432068299,0.9226586779370072,-0.200014583667638,0.003368632933107199,0.004133822022935371,0.2419152140834145,0.17280205447417776,0.01149627531988568,-0.11068934400594364,-0.1444335107063491,-0.09862641068916211,0.10610756402573251,
