rebalance_date,selection_date,rank,symbol,holding_name,score,ret_3m,ret_6m,median_daily_value,median_daily_volume,coverage_ratio,score_momentum,score_value,score_quality,score_low_risk,score_liquidity,has_fundamentals,fundamental_period_end,fundamental_filing_date,net_income_ttm,earnings_yield,pe_ratio,book_to_price,pb_ratio,roe,roa,cash_conversion,leverage_inverse,revenue_growth,net_income_growth,positive_earnings_count_4p,margin_stability_4p,fundamental_row_age_days,target_weight
2016-05-03,2016-04-28,8,EMFD,Emaar Misr for Development,0.4,0.21860465116279082,-0.08391608391608385,19288052.1,7866108.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,9,EFID,Edita Food Industries (EDITA),0.2909090909090909,0.17267683772538134,0.014397120575884825,1095650.1,72984.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-05-03,2016-04-28,10,ORHD,Orascom Development Egypt,0.28181818181818186,0.209090909090909,-0.2222222222222222,379464.8,364870.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-06-01,2016-05-29,1,HRHO,EFG Holding,1.0,0.5774193548387094,0.3813559322033897,39241346.1,8528118.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-06-01,2016-05-29,2,AMOC,Alexandria Mineral Oils Company,0.7333333333333334,0.3648648648648649,0.10382513661202175,1143420.0,672600.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-06-01,2016-05-29,3,ETEL,Telecom Egypt,0.6,0.3317460317460319,0.35104669887278583,10547395.6,1338058.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-06-01,2016-05-29,4,EFID,Edita Food Industries (EDITA),0.5666666666666667,0.34444444444444433,0.07843137254901955,1067409.6,60960.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-06-01,2016-05-29,5,COMI,Commercial International Bank-Egypt (CIB),0.4333333333333333,0.2920152091254751,0.25387453874538735,99229583.32,6372461.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-06-01,2016-05-29,6,ARCC,Arabian Cement Company,0.16666666666666666,0.15502793296089368,-0.26488888888888895,5011853.08,643159.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
2016-07-10,2016-06-13,1,HRHO,EFG Holding,0.8999999999999999,0.6402439024390245,0.5197740112994349,42483148.75,9125669.0,1.0,,,,,,False,,,,,,,,,,,,,,,,,0.1
