family,number,value,param_zlema_len,param_band_mult,param_trend_ma,param_atr_stop,param_atr_trail
blackcat_zlema_band,50,2.282779204570382,45,1.1,158,4.1,0.5
blackcat_zlema_band,51,2.4776565282928362,28,1.2000000000000002,192,3.9000000000000004,3.1
blackcat_zlema_band,52,2.6738636360226593,28,1.3,187,3.8000000000000003,3.2
blackcat_zlema_band,53,1.5952717143262551,33,1.3,185,3.3000000000000003,3.3000000000000003
blackcat_zlema_band,54,2.2273778154693535,29,1.6,171,3.5,3.8000000000000003
blackcat_zlema_band,55,1.3346043773382557,25,1.5,199,3.7,2.4000000000000004
blackcat_zlema_band,56,0.27981584765672346,37,1.4,177,3.2,2.7
blackcat_zlema_band,57,1.999496940291946,32,1.0,147,4.800000000000001,2.9000000000000004
blackcat_zlema_band,58,2.799527728710049,34,0.9,101,4.1,3.5
blackcat_zlema_band,59,2.73510056976329,38,0.9,107,4.1,3.6
blackcat_zlema_band,60,2.5124722116526086,41,0.6,103,4.2,4.0
blackcat_zlema_band,61,2.537943329680893,35,0.8,87,4.1,3.6
blackcat_zlema_band,62,2.6088755148691725,39,0.9,107,3.7,3.8000000000000003
blackcat_zlema_band,63,2.09479128866312,49,1.0,92,4.6,3.4000000000000004
blackcat_zlema_band,64,2.1966717715325004,34,0.7,125,4.300000000000001,3.6
blackcat_zlema_band,65,2.738293349247245,43,0.9,79,5.0,3.3000000000000003
blackcat_zlema_band,66,2.7459519153025416,42,0.5,60,3.5,3.2
blackcat_zlema_band,67,2.832565178689342,43,0.5,68,3.8000000000000003,3.5
blackcat_zlema_band,68,2.7506437140481883,43,0.6,69,3.8000000000000003,3.5
blackcat_zlema_band,69,2.6230980095839684,44,0.5,66,4.0,3.5
blackcat_zlema_band,70,1.3888838974037954,48,0.6,73,4.4,3.7
blackcat_zlema_band,71,2.7549508888611705,42,0.5,58,3.6,3.9000000000000004
blackcat_zlema_band,72,2.878540301798137,43,0.5,55,3.5,3.9000000000000004
blackcat_zlema_band,73,2.7549508888611705,42,0.5,56,3.8000000000000003,4.0
blackcat_zlema_band,74,2.7549508888611705,42,0.5,57,3.8000000000000003,3.9000000000000004
blackcat_zlema_band,75,1.6913940845980338,47,0.5,55,3.8000000000000003,4.0
blackcat_zlema_band,76,2.721898214106038,41,0.5,61,3.5,3.9000000000000004
blackcat_zlema_band,77,2.7534441363331843,43,0.6,67,3.3000000000000003,3.9000000000000004
blackcat_zlema_band,78,1.2660921309090825,52,0.6,67,4.0,3.9000000000000004
blackcat_zlema_band,79,1.4282726222796533,50,0.6,71,3.3000000000000003,3.9000000000000004
