family,number,value,param_bb_len,param_inner_mult,param_outer_mult,param_trend_ma,param_atr_stop,param_atr_trail
blackcat_multi_bbands,24,1.4541814740109644,22,1.1,3.1,102,3.3000000000000003,1.6
blackcat_multi_bbands,25,-0.3000335149561868,30,1.3,3.5,164,4.300000000000001,2.6
blackcat_multi_bbands,26,0.8730629163963608,25,1.0,3.2,117,3.7,3.2
blackcat_multi_bbands,27,1.340228492398134,20,1.1,2.9,76,2.0,0.9
blackcat_multi_bbands,28,0.9632393199725324,16,1.2,2.6,95,3.5,2.2
blackcat_multi_bbands,29,0.1683734029965491,17,1.4,2.3,175,2.5,2.7
blackcat_multi_bbands,30,1.0025170471319178,23,1.7000000000000002,3.2,138,3.1,1.5
blackcat_multi_bbands,31,1.4816354323993606,23,1.0,3.3,129,3.7,2.4000000000000004
blackcat_multi_bbands,32,1.2331316532095058,23,1.0,3.3,149,2.7,3.1
blackcat_multi_bbands,33,1.327754649591036,19,1.1,3.5,123,3.8000000000000003,3.3000000000000003
blackcat_multi_bbands,34,0.533474990027399,26,1.0,3.0,111,2.3,2.7
blackcat_multi_bbands,35,1.100814975761923,17,1.2,3.3,93,4.300000000000001,3.5
blackcat_multi_bbands,36,0.07660168149396634,28,1.6,3.5,129,3.3000000000000003,2.0
blackcat_multi_bbands,37,-0.20959463631095548,32,1.1,2.8,156,3.8000000000000003,2.4000000000000004
blackcat_multi_bbands,38,1.077080013116618,22,1.0,3.1,86,4.7,1.7000000000000002
blackcat_multi_bbands,39,1.6504615279682446,35,1.8,2.0,199,2.3,3.6
blackcat_multi_bbands,40,1.3894375297249346,37,2.0,2.0,186,2.3,4.0
blackcat_multi_bbands,41,0.6957050285708706,25,1.9,2.0,196,1.5,3.5
blackcat_multi_bbands,42,0.24369636546882678,30,1.8,2.1,114,2.6,3.8000000000000003
blackcat_multi_bbands,43,0.30953312305718805,34,1.6,2.2,172,2.1,1.1
blackcat_multi_bbands,44,-0.010097039906439398,40,1.9,2.5,100,3.0,2.3
blackcat_multi_bbands,45,0.7578740953100978,34,1.8,3.0,146,2.4000000000000004,2.8000000000000003
blackcat_multi_bbands,46,0.6078747243331244,20,1.8,3.4000000000000004,123,3.4000000000000004,3.3000000000000003
blackcat_multi_bbands,47,-0.14469394283731013,27,1.5,3.6,55,4.1,3.7
blackcat_multi_bbands,48,0.31719094634722533,15,1.4,2.2,140,1.9,3.0
blackcat_multi_bbands,49,0.5245718333118463,24,1.0,2.7,67,3.2,1.8
blackcat_multi_bbands,50,0.9741248242919056,21,1.2,3.3,133,3.9000000000000004,2.1
blackcat_multi_bbands,51,1.4816354323993606,23,1.0,3.3,128,3.6,2.5
blackcat_multi_bbands,52,1.2637848313168645,22,1.1,3.2,153,4.2,2.4000000000000004
blackcat_multi_bbands,53,1.4639234129459175,20,1.0,3.5,185,3.5,2.9000000000000004
blackcat_multi_bbands,54,1.2072560141890407,18,1.1,3.4000000000000004,164,3.9000000000000004,2.0
blackcat_multi_bbands,55,0.8730629163963608,25,1.0,3.2,124,2.8,2.3
blackcat_multi_bbands,56,0.7045750987595193,24,1.1,3.1,199,3.7,2.5
blackcat_multi_bbands,57,1.187787381109139,18,1.3,2.9,109,3.1,1.3
blackcat_multi_bbands,58,1.1142324212183174,22,1.0,3.3,100,4.5,0.5
blackcat_multi_bbands,59,1.4998885399773243,20,1.1,3.4000000000000004,117,1.5,2.7
blackcat_multi_bbands,60,0.8167362584247766,19,1.2,3.4000000000000004,118,1.0,2.6
blackcat_multi_bbands,61,1.4998885399773243,20,1.1,3.6,114,1.5,2.8000000000000003
blackcat_multi_bbands,62,1.4998885399773243,20,1.1,3.6,106,1.3,2.7
blackcat_multi_bbands,63,1.4998885399773243,20,1.1,3.6,105,1.3,2.8000000000000003
blackcat_multi_bbands,64,0.8167362584247766,20,1.2,3.6,105,1.3,2.9000000000000004
blackcat_multi_bbands,65,0.489115677648886,15,1.1,3.6,88,1.2,3.1
blackcat_multi_bbands,66,0.829448910783795,18,1.3,3.5,82,1.6,2.7
blackcat_multi_bbands,67,0.8880959958054595,16,1.1,3.6,113,1.4,3.1
blackcat_multi_bbands,68,0.7538610301940146,21,1.2,3.5,94,1.7000000000000002,2.8000000000000003
blackcat_multi_bbands,69,1.4998885399773243,20,1.1,3.6,97,1.2,2.6
blackcat_multi_bbands,70,0.6614442526631151,19,1.2,3.6,106,1.2,3.4000000000000004
blackcat_multi_bbands,71,1.4998885399773243,20,1.1,3.5,98,1.0,2.6
blackcat_multi_bbands,72,1.4998885399773243,20,1.1,3.5,99,1.1,2.6
blackcat_multi_bbands,73,0.716121383898781,21,1.1,3.6,117,1.4,2.7
blackcat_multi_bbands,74,0.8835654811838417,17,1.1,3.6,91,1.1,2.9000000000000004
blackcat_multi_bbands,75,1.1444781512629205,18,1.2,3.4000000000000004,97,1.8,2.8000000000000003
blackcat_multi_bbands,76,0.16889697516361174,19,1.5,3.5,114,1.5,3.0
blackcat_multi_bbands,77,0.8354565916557927,22,1.2,3.5,103,1.0,2.6
blackcat_multi_bbands,78,0.09997761993671044,17,1.4,2.5,83,1.3,2.2
blackcat_multi_bbands,79,-0.1916157856076751,37,1.1,3.6,109,1.7000000000000002,3.2
