family,number,value,param_stoch_len,param_kd_smooth,param_j_smooth,param_trigger_len,param_trend_ma,param_oversold,param_atr_stop,param_atr_trail
blackcat_superj,53,1.4948907843602,30,2,10,3,183,14.0,4.800000000000001,1.8
blackcat_superj,54,1.1368388295685785,34,2,10,4,200,12.0,3.4000000000000004,2.6
blackcat_superj,55,1.3148106195853488,32,3,9,3,172,18.0,5.0,2.3
blackcat_superj,56,0.5979135919696451,29,2,5,4,189,16.0,4.300000000000001,2.0
blackcat_superj,57,1.1235189662571639,31,3,9,5,169,20.0,4.800000000000001,1.6
blackcat_superj,58,0.7758194980813561,17,2,10,6,153,14.0,4.5,2.1
blackcat_superj,59,0.36324512981296764,33,4,10,3,61,17.0,4.2,3.0
blackcat_superj,60,1.0888536058669123,27,3,9,7,176,12.0,1.7000000000000002,2.5
blackcat_superj,61,1.5346726063984721,30,2,10,4,184,7.0,4.0,1.9000000000000001
blackcat_superj,62,1.5346726063984721,27,2,10,5,194,10.0,3.7,2.0
blackcat_superj,63,1.4636805978405962,29,2,10,4,160,15.0,4.7,1.8
blackcat_superj,64,-0.18631366252659637,9,2,10,3,174,9.0,4.0,2.3
blackcat_superj,65,1.5435206682946412,31,2,9,4,165,13.0,4.300000000000001,1.5
blackcat_superj,66,1.3990564518463882,33,2,10,4,186,20.0,4.9,2.2
blackcat_superj,67,0.8654846230970737,30,2,9,9,140,18.0,4.1,1.7000000000000002
blackcat_superj,68,1.5435206682946412,32,3,10,5,133,9.0,4.6,2.0
blackcat_superj,69,1.3291167322973527,34,2,10,3,144,17.0,3.5,2.4000000000000004
blackcat_superj,70,0.9513413568313843,25,3,8,4,150,16.0,3.8000000000000003,2.1
blackcat_superj,71,1.5435206682946412,28,2,10,4,153,7.0,4.0,1.9000000000000001
blackcat_superj,72,1.5435206682946412,28,2,10,4,158,8.0,3.9000000000000004,2.0
blackcat_superj,73,1.5435206682946412,29,2,10,3,168,9.0,4.5,1.7000000000000002
blackcat_superj,74,1.0977016677630813,22,2,10,5,157,7.0,3.7,1.2000000000000002
blackcat_superj,75,0.8829715368260946,27,4,9,4,180,11.0,4.9,2.2
blackcat_superj,76,1.503738846256369,31,2,10,3,161,15.0,4.1,1.8
blackcat_superj,77,1.0888536058669123,30,2,9,5,191,6.0,2.3,2.7
blackcat_superj,78,2.062507212897801,33,2,9,4,174,13.0,4.7,1.5
blackcat_superj,79,1.5435206682946412,33,2,8,12,196,13.0,4.7,1.3
