date,symbol,action,shares,price,value
2026-03-01,HELI,BUY,151429.0,4.82,729887.78
2026-03-01,ETEL,SELL,978.0,92.79,90748.62000000001
2026-03-01,RAYA,SELL,26584.0,5.7,151528.80000000002
2026-03-01,EGCH,BUY,55759.0,13.09,729885.3099999999
2026-03-01,ADIB,BUY,220.0,40.7,8954.0
2026-04-01,ETEL,SELL,7867.0,78.59,618267.53
2026-04-01,ADIB,SELL,17933.0,38.1,683247.3
2026-04-01,COMI,SELL,5467.0,121.0,661507.0
2026-04-01,EGCH,SELL,55759.0,11.35,632864.65
2026-04-01,ABUK,SELL,1843.0,81.7,150573.1
2026-04-01,MCQE,BUY,442.0,167.33,73959.86
2026-04-01,ORAS,BUY,1465.0,481.01,704679.65
2026-04-01,EGAL,BUY,2334.0,302.0,704868.0
2026-04-01,HELI,SELL,25328.0,5.59,141583.52
2026-04-01,OIH,BUY,514525.0,1.37,704899.25
2026-04-01,RAYA,BUY,10707.0,5.08,54391.56
2026-04-01,AMOC,BUY,85132.0,8.28,704892.96
2026-04-01,VLMRA,BUY,21756.0,32.4,704894.4
