family,number,value,param_core_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_mild,param_buy_deep,param_trim_mild,param_trim_hard,param_trend_buffer_atr,param_trim_buffer_atr,param_zone_profile,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_zone_overlay,20,-0.1219636622566711,0.8,28,3,49,29,-30.0,-75.0,60.0,210.0,0.4,1.9000000000000001,100_75_50_25_0,24,4.4,2.6,2.3350377047045643,0.5196682563947552,1.8609045574676615,5.0,0.26431758769698455,3.041135689687025,4.0,0.5171211142840759,-0.14485906069345944,331343.01947112253,2.0841027510641803,0.2983205902766506,1.7269015389729425,inf,0.11612326100246606,2.568999420971439,1.0,0.4400407435041187,-0.1219636622566711,0.5620044057607898,388714.4834213
dca_zone_overlay,21,-0.12043851253405502,0.8,34,4,55,26,-40.0,-110.0,75.0,230.0,0.2,0.9,100_75_50_25_0,27,3.8000000000000003,3.6,2.268301752894911,0.51354651526284,1.8511518943373408,5.0,0.25908973289120896,2.8825348880764747,4.0,0.5110372795890537,-0.1509428953884817,330186.25978033256,2.0306142382889965,0.2993048556603195,1.7044795156669847,inf,0.12252467069671602,2.4428129776507257,1.0,0.4415658932267348,-0.12043851253405502,0.5620044057607898,387535.06239230005
dca_zone_overlay,22,-0.10467474347826977,0.8,36,5,55,24,-40.0,-110.0,60.0,240.0,0.0,0.7000000000000001,100_75_50_25_0,27,3.8000000000000003,3.7,2.2412034519326753,0.5258910217262541,1.8698727130889343,5.0,0.25403112315389675,2.798527406688314,4.0,0.5233139544651237,-0.13866622051241156,332282.65798090503,2.066109956615675,0.30946085201599804,1.7407644614020343,inf,0.12334393003673538,2.508926478374993,1.0,0.45732966228252003,-0.10467474347826977,0.5620044057607898,391921.9629290801
dca_zone_overlay,23,-0.0995186332932505,0.8,36,5,60,19,-45.0,-135.0,55.0,250.0,0.0,0.5,100_75_50_25_0,28,5.0,3.2,2.2395143167527474,0.5257662762617347,1.8672630501049567,5.0,0.2526855621612688,2.7953763124929534,4.0,0.5231909648522899,-0.13878921012524542,332223.55440745753,2.0818969826047806,0.3127759532546557,1.7605489110377184,inf,0.12323580224755704,2.538028296568792,1.0,0.4624857724675393,-0.0995186332932505,0.5620044057607898,392287.50837000005
dca_zone_overlay,24,-0.09975313398356955,0.8,36,5,55,18,-45.0,-135.0,60.0,240.0,0.2,0.6000000000000001,100_75_50_25_0,23,4.9,3.2,2.244766506850738,0.5282311913891307,1.873327743367006,5.0,0.2520464013559698,2.8043872247006547,4.0,0.5256423468535286,-0.13633782812400674,332743.33806324005,2.078946955397117,0.31262525408546016,1.7557097712167822,inf,0.12344034665020309,2.5326018807396617,1.0,0.46225127177722025,-0.09975313398356955,0.5620044057607898,392277.2910270701
dca_zone_overlay,25,-0.14095374094516067,0.7,38,5,55,18,-45.0,-140.0,90.0,240.0,0.6000000000000001,0.4,100_75_50_25_0,23,5.0,2.4000000000000004,2.123955417186223,0.4716689927118157,1.8282588966721756,5.0,0.23763087156746676,2.561602485587374,4.0,0.4693980740583706,-0.19258210091916478,322674.0133571075,2.0311117332979967,0.286040284665646,1.7388728056230063,inf,0.11708948583006762,2.4429203240398314,1.0,0.42105066481562914,-0.14095374094516067,0.5620044057607898,383090.61962847016
dca_zone_overlay,26,-0.10562277612949478,0.8,38,5,60,15,-50.0,-130.0,60.0,250.0,0.30000000000000004,0.6000000000000001,100_75_50_25_0,20,5.0,2.9000000000000004,2.2419430206039674,0.525520814753557,1.8731801091707079,5.0,0.2449014490238164,2.799412383091981,4.0,0.5229490553861076,-0.13903111959142783,332151.39555217756,2.0679165511990485,0.3088509556760417,1.7382247258707075,inf,0.12280662145154386,2.5149373219904585,1.0,0.456381629631295,-0.10562277612949478,0.5620044057607898,391224.1901380101
dca_zone_overlay,27,-0.1252661181174668,0.8,36,5,56,16,-45.0,-110.0,75.0,160.0,0.2,0.0,100_75_50_25_0,28,4.5,1.8,2.2186198807793884,0.514587637347254,1.8459846345042474,5.0,0.244628417619293,2.759487378217246,4.0,0.5120772434515564,-0.149902931525979,330000.77516021754,2.012265521374532,0.29618831312672245,1.6857517215556754,inf,0.12306673437983684,2.4067292808189578,1.0,0.436738287643323,-0.1252661181174668,0.5620044057607898,387734.3102355102
dca_zone_overlay,28,-0.11591638796720316,0.8,32,5,37,12,-50.0,-140.0,135.0,235.0,1.7000000000000002,0.7000000000000001,100_75_50_25_0,25,4.5,3.3000000000000003,2.1880484587269797,0.5149842850102655,1.8291588370755638,5.0,0.25225448427092456,2.689071617947635,4.0,0.5124714648229138,-0.14950871015462147,330612.45698771253,2.048941861371966,0.30222150125477687,1.7091683906640776,inf,0.12165332041287169,2.484284853295298,1.0,0.44608801779358664,-0.11591638796720316,0.5620044057607898,389518.8897363801
dca_zone_overlay,29,-0.15787371593516974,0.7,29,5,50,20,-45.0,-170.0,70.0,215.0,0.0,0.30000000000000004,100_75_50_25_0,16,5.0,1.8,2.085007143653292,0.4584644974658985,1.7763197952787313,5.0,0.24657238668256165,2.4935948337909672,4.0,0.45626358849669474,-0.20571658648084062,320487.66855509504,1.9676082921218299,0.27505932581811665,1.6963910669479336,inf,0.1190829491929788,2.3098128462738337,1.0,0.40413068982562006,-0.15787371593516974,0.5620044057607898,379367.86676203005
dca_zone_overlay,30,-0.12896608569801793,0.8,37,5,27,23,-40.0,-115.0,130.0,235.0,0.7000000000000001,0.7000000000000001,100_75_50_25_0,23,4.2,2.9000000000000004,2.2580341783322644,0.5113230973413336,1.836013521172921,5.0,0.2605106254297529,2.8642073624502875,4.0,0.5088260320569808,-0.15315414292055446,329886.962545435,2.000347138064829,0.29379772232232404,1.6783453144576015,inf,0.12334952428614143,2.381831012503814,1.0,0.4330383200627719,-0.12896608569801793,0.5620044057607898,386447.3819157502
dca_zone_overlay,31,-0.10190237017598291,0.8,39,5,60,10,-50.0,-135.0,55.0,250.0,0.4,0.6000000000000001,100_75_50_25_0,20,5.0,2.9000000000000004,2.18747667282672,0.5102319763244083,1.8264921717887201,5.0,0.2433330160058157,2.692199081975998,4.0,0.5077483650088483,-0.15423180996868707,329775.02070607257,2.1027041272643636,0.31124375217392575,1.7510945067563464,inf,0.11994193376848583,2.594953594584312,1.0,0.4601020355848069,-0.10190237017598291,0.5620044057607898,392334.13411528
dca_zone_overlay,32,-0.10190237017598291,0.8,40,5,60,10,-50.0,-135.0,55.0,250.0,0.4,0.5,100_75_50_25_0,19,4.6,3.7,2.182331946105642,0.5083297474540435,1.82187015131692,5.0,0.2433330160058157,2.6824945446907393,4.0,0.5058567353875316,-0.1561234395900038,329460.11138530006,2.1027041272643636,0.31124375217392575,1.7510945067563464,inf,0.11994193376848583,2.594953594584312,1.0,0.4601020355848069,-0.10190237017598291,0.5620044057607898,392334.13411528
dca_zone_overlay,33,-0.10190237017598291,0.8,40,5,60,10,-50.0,-135.0,55.0,250.0,0.4,0.4,100_75_50_25_0,19,4.7,2.8000000000000003,2.178357912102317,0.5066294919348229,1.8194005882309687,5.0,0.2433330160058157,2.6747582977800164,4.0,0.5041662386645389,-0.1578139363129965,329165.81677523255,2.1027041272643636,0.31124375217392575,1.7510945067563464,inf,0.11994193376848583,2.594953594584312,1.0,0.4601020355848069,-0.10190237017598291,0.5620044057607898,392334.13411528
