family,number,value,param_core_weight,param_reserve_weight,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_mild,param_buy_deep,param_trend_buffer_atr,param_topup_profile,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_pullback_topup,36,-0.13687779380341003,0.7,0.2,39,4,39,31,-85.0,-245.0,0.8,50_75_100,13,2.0,0.7,2.3335539773305936,0.49704853861761167,1.929410173931714,5.0,0.22641759639922387,3.0286676166864184,4.0,0.4946371434050035,-0.1673430315725319,326609.4063429101,2.130021130768994,0.28867998526110505,1.7918689413137292,inf,0.10820164714869873,2.667981429750137,1.0,0.4251266119573798,-0.13687779380341003,0.5620044057607898,385259.95876164996
dca_pullback_topup,37,-0.0710296077015895,0.8,0.2,37,5,50,28,-75.0,-105.0,0.9,50_75_100,16,4.5,1.2000000000000002,2.3453083208059717,0.5720089952652868,1.9062161117693863,5.0,0.25663167811498944,3.010638373057207,4.0,0.5691677326237699,-0.09281244235376551,340403.23907866253,2.170953719453466,0.3310334403767192,1.7847123087851195,inf,0.12102015778765296,2.735357864576283,1.0,0.4909747980592003,-0.0710296077015895,0.5620044057607898,399813.02309242013
dca_pullback_topup,38,-0.10827773096139692,0.8,0.2,31,5,60,26,-95.0,-160.0,0.5,25_50_100,21,1.5,2.1,2.3781342564789796,0.5373716739171859,1.933847724720711,5.0,0.2436435802469752,3.108268785371051,4.0,0.5347326633676908,-0.12724751160984454,333837.898721135,2.1098757537807638,0.3071423472311967,1.77760586142149,inf,0.11783321653863621,2.606585445543601,1.0,0.4537266747993929,-0.10827773096139692,0.5620044057607898,391142.78770110005
dca_pullback_topup,39,-0.16073508868800368,0.7,0.2,33,4,39,35,-45.0,-125.0,1.1,33_66_100,17,2.9000000000000004,0.9,2.2167137427686545,0.4741506751162752,1.8924076440904092,5.0,0.2244298188439353,2.767583730109841,4.0,0.4718698658565559,-0.19011030912097948,322575.228412635,2.074928858693912,0.27319860601814216,1.7473049693917204,inf,0.10669039710827932,2.5606672523758145,1.0,0.4012693170727861,-0.16073508868800368,0.5620044057607898,379647.71360196004
dca_pullback_topup,40,-0.08451063331230646,0.8,0.25,19,2,42,29,-80.0,-85.0,0.7000000000000001,50_75_100,19,3.9000000000000004,1.5,2.3303941924708784,0.5476031710247719,1.8661366090811544,5.0,0.28219489583765167,3.0066531436955435,4.0,0.5448982692328712,-0.11708190574466415,336421.6849401675,2.1868164841766013,0.32240645491737463,1.7890780032976372,inf,0.11592928371450428,2.781061390074278,1.0,0.47749377244848334,-0.08451063331230646,0.5620044057607898,396171.00858763006
dca_pullback_topup,41,-0.06969020180671381,0.8,0.2,23,5,48,24,-100.0,-55.0,0.5,50_75_100,18,2.5,1.1,2.418618275028269,0.5749846312936431,1.9379498036354206,5.0,0.2485569949545472,3.1797854621656225,4.0,0.5721271085573181,-0.08985306642021729,340984.85512433253,2.1821205266733608,0.3318893607161326,1.7930400912451172,inf,0.12027638813039965,2.7593891525600958,1.0,0.492314203954076,-0.06969020180671381,0.5620044057607898,400170.44895950006
dca_pullback_topup,42,-0.0801147269588347,0.8,0.2,25,5,53,24,-100.0,-55.0,0.30000000000000004,50_75_100,15,2.5,0.8,2.406796584360047,0.569469278265875,1.9220878011297011,5.0,0.2447988520470561,3.1603078203477115,4.0,0.5666444789608567,-0.09533569601667868,339757.19761695503,2.153869895721929,0.3252219985617171,1.7669318833046959,inf,0.12025248455347903,2.704492965524412,1.0,0.4818896788019551,-0.0801147269588347,0.5620044057607898,398626.9835099202
dca_pullback_topup,43,-0.07132865502017327,0.8,0.2,27,5,48,26,-30.0,-95.0,0.5,50_75_100,17,2.1,1.2000000000000002,2.3626311653669276,0.5688465731163499,1.9053002253176565,5.0,0.2569132199945744,3.0566567827461197,4.0,0.566021213453145,-0.09595896152439032,340035.86764681747,2.141679879534907,0.3308423103906961,1.777491860431531,inf,0.12414106827482796,2.665051259735139,1.0,0.49067575074061653,-0.07132865502017327,0.5620044057607898,399477.5017129401
dca_pullback_topup,44,-0.10075741512508118,0.8,0.2,29,5,56,21,-85.0,-60.0,0.1,25_50_100,13,3.0,1.0,2.3138577441822803,0.5292287764109987,1.8958438667410775,5.0,0.24686529815455382,2.9679253540153994,4.0,0.5266328478051272,-0.1353473271724081,332694.791596695,2.1441983136721054,0.3119797866868641,1.769187312547299,inf,0.11592374785217119,2.691250002412865,1.0,0.4612469906357086,-0.10075741512508118,0.5620044057607898,393835.4817132901
dca_pullback_topup,45,-0.06784787641318824,0.8,0.2,22,5,46,25,-95.0,-80.0,0.4,50_75_100,21,4.6,1.8,2.357064084255447,0.5721392582440585,1.9203364427029685,5.0,0.2498764964616894,3.0346352170590345,4.0,0.5692969687532983,-0.09268320622423715,340239.5032921275,2.175927465295339,0.3330663051728249,1.792270714158155,inf,0.12141763865038935,2.743145961945924,1.0,0.49415652934760157,-0.06784787641318824,0.5620044057607898,400303.9032452501
dca_pullback_topup,46,-0.07393987008303915,0.8,0.25,18,5,46,25,-95.0,-200.0,0.2,50_75_100,25,4.6,1.8,2.3171016247864595,0.5560317779095418,1.8897405944550867,5.0,0.2548951850955101,2.958259947974445,4.0,0.5532821834426357,-0.10869799153489967,337481.38925529254,2.148089486270214,0.3291729424776746,1.7850142452979403,inf,0.12283755617150915,2.6797418699707305,1.0,0.48806453567775065,-0.07393987008303915,0.5620044057607898,398538.52786067006
dca_pullback_topup,47,-0.13914823420860944,0.7,0.2,22,5,42,23,-5.0,-50.0,0.4,50_75_100,22,4.9,2.2,2.2557764337271387,0.4932197616762472,1.8842321689401313,5.0,0.2268481826393708,2.8540317891230034,4.0,0.49082957899421265,-0.17115059598332272,326070.9556410625,2.038471088712309,0.2872098477649878,1.732175553935191,inf,0.11661951628850031,2.462794023724734,1.0,0.42285617155218036,-0.13914823420860944,0.5620044057607898,384138.0445715401
dca_pullback_topup,48,-0.1138642297545227,0.8,0.3,20,4,32,20,-85.0,-75.0,0.0,50_75_100,27,1.7000000000000002,1.4,2.3428321092936595,0.5494003727570629,1.883773415599447,5.0,0.2613139290660421,3.0297883718156795,4.0,0.546686911738117,-0.1152932632394183,336783.562775065,2.0266336551279305,0.3035442317053172,1.6953213209923936,inf,0.12478526852946692,2.432532584033651,1.0,0.4481401760062671,-0.1138642297545227,0.5620044057607898,390639.44146997004
