date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2023-09-04,938727.74106399,916365.3950187701,921090.8186509802,1045274.4472381301,841146.0364690402,959365.5064069302,1.3405228758169936
2023-09-05,947881.34106399,925568.8250187702,930206.5186509801,1055486.37675894,850612.4629556402,968720.50640693,1.3535947712418301
2023-09-06,954288.86106399,929066.8650187701,935113.2586509801,1052454.33675894,843346.35115092,975269.0064069302,1.3627450980392157
2023-09-07,963442.46106399,937978.5450187701,944080.7586509801,1061578.4467589401,851444.7450234701,984624.00640693,1.3758169934640523
2023-09-10,970765.34106399,945536.7350187702,951467.4086509801,1083703.26445802,859950.8988460002,992108.00640693,1.3862745098039215
2023-09-11,980834.30106399,950415.26501877,958873.7086509801,1067417.49445802,845599.1325935002,1002398.50640693,1.4006535947712417
2023-09-12,965730.86106399,939224.3450187702,945830.4986509802,1067575.35445802,848824.8725935001,986962.7564069302,1.3790849673202614
2023-09-13,959323.34106399,934857.3750187701,940485.4086509801,1077101.7144580202,852000.9125935001,980414.25640693,1.3699346405228758
2023-09-14,981291.98106399,953424.5250187701,960599.9686509802,1097470.3044580203,858116.9625935,1002866.2564069302,1.4013071895424838
2023-09-17,979003.58106399,951566.4750187701,958541.3486509802,1106543.7044580202,857848.5625935001,1000527.50640693,1.3980392156862744
2023-09-18,984953.42106399,955888.7050187702,963634.9286509801,1105817.9944580202,856179.1725935001,1006608.25640693,1.4065359477124182
2023-09-19,989072.54106399,958178.4750187701,966810.58865098,1104797.4844580202,851710.1225935002,1010818.00640693,1.4124183006535946
2023-09-20,999141.5010639899,962732.28501877,974053.80865098,1081761.5244580205,835842.6525935002,1021108.5064069299,1.4267973856209148
2023-09-21,991360.94106399,957379.5950187701,967534.4586509801,1091744.0044580202,839472.3925935002,1013156.75640693,1.4156862745098038
2023-09-24,1005549.02106399,970214.8850187701,980946.4186509801,1112960.78445802,847415.7325935002,1027657.00640693,1.4359477124183004
2023-09-25,1012414.22106399,977414.0750187702,987924.8686509802,1122266.7844580202,855946.2025935,1034673.25640693,1.445751633986928
2023-09-26,1017448.70106399,982025.02501877,992706.8086509801,1120315.60445802,859049.2425935001,1039818.50640693,1.4529411764705882
