family,number,value,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_cci_threshold,param_allocation_ladder,param_atr_len,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
kama_cci_atr_allocation,129,-0.07179680674707467,38,5,56,31,0.0,100_60_20,26,2.3,1.9000000000000001,2.397394090174816,0.6088987131406258,1.9628968075578672,0.7857211991613976,0.24742171960455972,4.672335413422967,5.0,0.6058549866736738,-0.056125188303861595,344179.78656818764,2.470761684362528,0.33054307890016976,1.7950899620072274,19.735538936549144,0.09494481591454806,3.4814231373902933,6.0,0.49020759901371513,-0.07179680674707467,0.5620044057607898,403254.57001948013
kama_cci_atr_allocation,130,-0.12066791039420188,38,5,58,31,10.0,100_60_20,26,2.0,1.9000000000000001,2.464227024502997,0.6005460136068239,1.9412306692760306,1.6075320163072209,0.25490263122885193,4.545616653458411,9.0,0.5975477505853359,-0.06443242439219943,343232.42061667255,2.312776401536703,0.2991568311544792,1.6571352201861007,11.733188164587366,0.09448737140156316,3.1661038582932797,8.0,0.4413364953665879,-0.12066791039420188,0.5620044057607898,396105.81750071014
kama_cci_atr_allocation,131,-0.07179680674707467,39,5,56,31,0.0,100_60_20,27,2.3,2.0,2.397394090174816,0.6088987131406258,1.9628968075578672,0.7857211991613976,0.24742171960455972,4.672335413422967,5.0,0.6058549866736738,-0.056125188303861595,344179.78656818764,2.470761684362528,0.33054307890016976,1.7950899620072274,19.735538936549144,0.09494481591454806,3.4814231373902933,6.0,0.49020759901371513,-0.07179680674707467,0.5620044057607898,403254.57001948013
kama_cci_atr_allocation,132,-0.10973594319520652,38,5,56,31,5.0,100_60_20,26,2.5,1.9000000000000001,2.4246565437526173,0.6148182120038237,1.9844506072182693,0.7833653347103827,0.24742093889267214,4.7288616240242085,5.0,0.6117387795062501,-0.0502413954712852,345404.0864687426,2.349660593508244,0.30620353088654784,1.6874232026257248,13.016212678022375,0.09448684870235391,3.2407000031414905,7.0,0.4522684625655833,-0.10973594319520652,0.5620044057607898,397538.88012020016
kama_cci_atr_allocation,133,-0.09475004785421759,39,5,56,30,0.0,100_60_20,28,2.1,2.0,2.470175947419065,0.6109750099019349,1.9760046304160368,0.6289813000919071,0.2573166982264662,4.906598316077596,7.0,0.6079174692920182,-0.05406270568551724,344645.4687694651,2.4003069382914832,0.3158389426791397,1.730051450615827,14.574234994444563,0.09448430848927447,3.3427660923717575,7.0,0.4672543579065722,-0.09475004785421759,0.5620044057607898,400153.0556239
kama_cci_atr_allocation,134,-0.11339052758271029,22,5,59,32,0.0,100_60_20,25,2.3,2.2,2.3646275523296043,0.6310606723253523,1.9289176810132194,0.7224406561735864,0.25453093064340493,4.610305512379676,5.0,0.6278747983239661,-0.03410537665356933,347908.0535864101,2.330837265061831,0.3038494835140495,1.6758531657131082,14.057506953101552,0.0949508534444723,3.200071115650815,6.0,0.4486138781780795,-0.11339052758271029,0.5620044057607898,397010.19738552
kama_cci_atr_allocation,135,-0.08933667915157484,37,5,57,34,5.0,100_60_20,27,2.2,2.1,2.3319096997794224,0.6091302382441003,1.95115697727826,0.8276567075117214,0.24742039816323202,4.497128440816172,6.0,0.6060824058338966,-0.055897769143638754,344981.57449140004,2.412029375574641,0.3193126682904559,1.7456858907351256,16.77331074375148,0.09494539505335486,3.363119065553597,6.0,0.47266772660921497,-0.08933667915157484,0.5620044057607898,400439.8411523901
kama_cci_atr_allocation,136,-0.09345172443465155,39,5,40,33,0.0,100_60_20,26,2.4000000000000004,1.9000000000000001,2.5123425531198857,0.6611719645792351,2.0169372969322863,0.748745727173895,0.2545250545043036,4.914183009519284,5.0,0.6578052027815091,-0.004174972196026194,352929.9354835452,2.398405698084858,0.3166724003075172,1.7358176685756919,15.562366164482505,0.0949511296427743,3.3351093504511633,6.0,0.46855268132613825,-0.09345172443465155,0.5620044057607898,399586.12808499014
kama_cci_atr_allocation,137,-0.10973594319520652,38,5,58,31,5.0,100_60_20,24,2.5,2.0,2.4246565437526173,0.6148182120038237,1.9844506072182693,0.7833653347103827,0.24742093889267214,4.7288616240242085,5.0,0.6117387795062501,-0.0502413954712852,345404.0864687426,2.349660593508244,0.30620353088654784,1.6874232026257248,13.016212678022375,0.09448684870235391,3.2407000031414905,7.0,0.4522684625655833,-0.10973594319520652,0.5620044057607898,397538.88012020016
kama_cci_atr_allocation,138,-0.1754405709718978,39,5,36,32,5.0,100_25_0,25,2.3,2.0,2.7218572529649627,0.6143490449933781,1.8823515522081178,2.1131391327674516,0.25527663151649704,5.011839589511955,18.0,0.6112602291292373,-0.05071994584829809,343088.7525963276,2.396348043298632,0.2636186938882088,1.562741813912202,10.787362047064962,0.0765911999706339,3.441892723828374,7.0,0.386563834788892,-0.1754405709718978,0.5620044057607898,384508.8757045802
kama_cci_atr_allocation,139,-0.14010256455286596,25,5,55,35,10.0,100_60_20,28,2.0,1.8,2.4707553164846137,0.6190461957428082,1.892522744335818,3.075238779960881,0.26575724707232584,4.509677531929264,10.0,0.6159292709194455,-0.04605090405808987,346066.3608070326,2.24219773909642,0.28659170847628945,1.6098497369119853,10.16440304180988,0.09494411603988728,3.018530483299128,10.0,0.42190184120792384,-0.14010256455286596,0.5620044057607898,392696.2127331802
kama_cci_atr_allocation,140,-0.12530925718070263,37,5,56,30,30.0,100_60_20,27,2.6,1.9000000000000001,2.2449762538216467,0.5985106880697472,1.9597897910112447,0.6704191556049826,0.2790436593705041,4.343473936624561,4.0,0.5955121706319215,-0.06646800434561384,343775.50457463757,2.299390909623615,0.29616045057576756,1.6589201655733303,13.641146007407112,0.09448021508748217,3.1346293009763304,6.0,0.4366951485800872,-0.12530925718070263,0.5620044057607898,393009.82489748014
kama_cci_atr_allocation,141,-0.0847829670784741,40,5,57,33,0.0,100_60_20,27,2.3,1.8,2.267168575612554,0.5561165160270317,1.7683439315511236,3.655808827492769,0.2474253699082929,3.9873472637130467,7.0,0.5533785008240137,-0.10860167415352168,336679.0082636401,2.428245499684268,0.3222319490465857,1.7653004964218577,17.887769747658428,0.09494987637694419,3.3937058302987992,8.0,0.4772214386823157,-0.0847829670784741,0.5620044057607898,400192.8401746602
kama_cci_atr_allocation,142,-0.08214425927137081,39,5,58,34,0.0,100_60_20,26,2.2,1.9000000000000001,2.3881884665316186,0.617562407349295,1.9714418259161905,0.8256643418878653,0.24742039816323202,4.62465385283711,6.0,0.6144653625406094,-0.04751481243692607,346163.51347249,2.4357152368527015,0.32392239426215874,1.7632929572074123,19.251874813808723,0.0949465723359354,3.4116281008657383,6.0,0.479860146489419,-0.08214425927137081,0.5620044057607898,400780.55013258016
kama_cci_atr_allocation,143,-0.22746988404005153,39,2,30,34,0.0,100_60_20,26,2.1,2.2,2.5759918164622815,0.5615948088145031,1.838764952814208,0.893232794982361,0.19074646876584822,5.160471627973555,7.0,0.5588255883822668,-0.1031545865952685,336133.4053264501,2.026750758320519,0.2294892962742714,1.3918548781329407,8.232085198485175,0.08785778702475211,2.6120541393743224,8.0,0.3345345217207383,-0.22746988404005153,0.5620044057607898,375056.93941685004
kama_cci_atr_allocation,144,-0.15329978544785394,39,5,59,17,0.0,100_60_20,26,2.2,2.1,2.467449721584301,0.608559649740394,1.9788508090083512,0.7468676655696607,0.22442977838610012,4.856319797362891,7.0,0.605501190021177,-0.05647898495635839,342904.8128782302,1.3481956797914083,0.27803146797893197,1.5691901484430775,0.8545610659568115,0.11776544736008854,2.3608917064510604,6.0,0.40870462031293586,-0.15329978544785394,0.5620044057607898,383942.98231875006
kama_cci_atr_allocation,145,-0.07605240531915713,38,5,58,32,5.0,100_60_20,18,2.4000000000000004,2.0,2.2653163806637955,0.5853978537302993,1.9150403712091184,0.5402383689249353,0.28138810161062056,4.46973487749996,6.0,0.5824906539539738,-0.0794895210235615,340259.0533318076,2.4567134240361144,0.3278217749902801,1.7846719656206194,19.66360382434795,0.0949483192344246,3.4526337868172035,6.0,0.48595200044163267,-0.07605240531915713,0.5620044057607898,402032.6778568802
kama_cci_atr_allocation,146,-0.24703253688932847,38,5,25,21,5.0,100_60_20,16,4.4,2.3,2.6697531574485818,0.5468937877350656,1.8495148431384831,0.47002094840213515,0.28405261888809796,5.563993940100399,3.0,0.5441820689332417,-0.11779810604429364,333830.9310877351,0.9974023608509561,0.21655956113131936,1.2835404031369981,0.24435256906140032,0.11555856057536817,1.8740243912096635,4.0,0.31497186887146134,-0.24703253688932847,0.5620044057607898,368427.9355364204
kama_cci_atr_allocation,147,-0.3640775070161548,36,5,58,32,10.0,100_60_20,18,2.2,0.5,1.5366472393197137,0.34721406973602054,1.17208819459429,2.29829544249894,0.3112262883030771,2.445717219521666,65.0,0.3455800949761201,-0.3164000800014153,302107.8743077553,0.8096243072375039,0.13801759514812173,0.8830119930673996,1.759684599586187,0.1308149098558481,1.0550601250286429,37.0,0.19792689874463498,-0.3640775070161548,0.5620044057607898,347055.81921491085
kama_cci_atr_allocation,148,-0.06904660653729788,38,5,54,31,5.0,100_60_20,17,2.5,2.0,2.249947053308741,0.587214534384396,1.9129001900204998,0.6450533063031109,0.2813831512607723,4.391450229507475,5.0,0.5842904767808403,-0.07768969819669508,341218.8934476651,2.487115623453391,0.33230055966583016,1.8054179332941667,21.6709212794526,0.0944876216592655,3.516868705449574,6.0,0.4929577992234919,-0.06904660653729788,0.5620044057607898,403101.63494816015
kama_cci_atr_allocation,149,-0.07430070363766772,37,5,54,31,5.0,100_60_20,17,2.6,2.1,2.4970419729332507,0.6478586939824396,2.0155303685464947,0.698203885647548,0.24311163519394563,4.90537488829155,5.0,0.6445815818878959,-0.01739859308963948,351246.46349465265,2.4694962048173132,0.3289421936626311,1.7908171939555033,22.951991111913273,0.09448864331652163,3.4812881433880696,6.0,0.4877037021231221,-0.07430070363766772,0.5620044057607898,402159.4309836701
kama_cci_atr_allocation,150,-0.06904660653729788,36,5,54,31,5.0,100_60_20,17,2.6,2.0,2.493899888035953,0.6469828894161336,2.01520996197158,0.698203885647548,0.24311163519394563,4.898295357259384,5.0,0.6437110760385674,-0.018269098938968054,351101.5568044876,2.487115623453391,0.33230055966583016,1.8054179332941667,21.6709212794526,0.0944876216592655,3.516868705449574,6.0,0.4929577992234919,-0.06904660653729788,0.5620044057607898,403101.63494816015
kama_cci_atr_allocation,151,-0.06904660653729788,36,5,54,31,5.0,100_60_20,17,2.6,2.0,2.493899888035953,0.6469828894161336,2.01520996197158,0.698203885647548,0.24311163519394563,4.898295357259384,5.0,0.6437110760385674,-0.018269098938968054,351101.5568044876,2.487115623453391,0.33230055966583016,1.8054179332941667,21.6709212794526,0.0944876216592655,3.516868705449574,6.0,0.4929577992234919,-0.06904660653729788,0.5620044057607898,403101.63494816015
kama_cci_atr_allocation,152,-0.07430070363766772,36,5,53,31,5.0,100_60_20,17,2.6,2.1,2.468365654898549,0.6412504590851291,1.9981220092393568,0.698203885647548,0.24311163519394563,4.845158977967308,5.0,0.6380110515931805,-0.023969123384354807,350034.8411712926,2.4694962048173132,0.3289421936626311,1.7908171939555033,22.951991111913273,0.09448864331652163,3.4812881433880696,6.0,0.4877037021231221,-0.07430070363766772,0.5620044057607898,402159.4309836701
kama_cci_atr_allocation,153,-0.07430070363766772,36,5,53,31,5.0,100_60_20,17,2.6,2.2,2.468365654898549,0.6412504590851291,1.9981220092393568,0.698203885647548,0.24311163519394563,4.845158977967308,5.0,0.6380110515931805,-0.023969123384354807,350034.8411712926,2.4694962048173132,0.3289421936626311,1.7908171939555033,22.951991111913273,0.09448864331652163,3.4812881433880696,6.0,0.4877037021231221,-0.07430070363766772,0.5620044057607898,402159.4309836701
kama_cci_atr_allocation,154,-0.10077705584744567,36,5,53,30,5.0,100_60_20,17,2.6,2.3,2.5246702481033076,0.6531271699045255,2.0208443389271946,0.7089103718765233,0.2406505324617324,4.964495602832811,5.0,0.6498138386647431,-0.012166336312792292,351829.6138213626,2.3809754201992064,0.3119671620272537,1.7200927769792624,19.82827965478026,0.09448927714006727,3.3016144420790265,6.0,0.46122734991334413,-0.10077705584744567,0.5620044057607898,398190.3510131302
kama_cci_atr_allocation,155,-0.08903649221235077,36,5,52,31,5.0,100_60_20,16,2.7,2.2,2.551253246606969,0.6723444017530421,2.0516575111063213,0.698203885647548,0.24311163519394563,5.009029622346475,4.0,0.668913253024435,0.006933078046899688,354876.28775455256,2.419696938867103,0.319505190155138,1.7475750003136434,18.469504477273265,0.09448879476552807,3.3814082500256597,6.0,0.47296791354843903,-0.08903649221235077,0.5620044057607898,400236.19351836015
kama_cci_atr_allocation,156,-0.11928091361153936,37,5,54,31,5.0,100_60_20,17,2.6,2.5,2.4970419729332507,0.6478586939824396,2.0155303685464947,0.698203885647548,0.24311163519394563,4.90537488829155,5.0,0.6445815818878959,-0.01739859308963948,351246.46349465265,2.065279424888667,0.3000517222474175,1.6467814890746242,19.030574661560248,0.11764658684244522,2.550449871097859,5.0,0.44272349214925044,-0.11928091361153936,0.5620044057607898,391543.85389805003
