family,number,value,param_regime_ma,param_rsi_len,param_rsi_entry,param_rsi_exit,param_bb_len,param_bb_std,param_atr_stop,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
mean_reversion,16,0.6277082502467544,175,10,39.5,63.5,35,2.1,3.3000000000000003,0.6277082502467544,0.02585072293885632,0.29759625211169666,3.3289969238288433,0.08077404561091628,0.3554312688407286,5.0,0.025746392293641396,-0.636233782683894,239248.32216306505
mean_reversion,17,0.4461663714806209,220,17,33.0,67.0,27,1.5,2.5,0.4461663714806209,0.020474734258907057,0.22442345428438704,2.5,0.08394348433641652,0.2439168473057402,2.0,0.02039185061638893,-0.6415883243611464,238058.7627789
mean_reversion,18,0.5917551527105451,188,17,37.0,61.0,40,2.4,2.8,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,19,0.6277082502467544,161,11,33.5,70.0,35,2.0,1.9,0.6277082502467544,0.02585072293885632,0.29759625211169666,3.3289969238288433,0.08077404561091628,0.3554312688407286,5.0,0.025746392293641396,-0.636233782683894,239248.32216306505
mean_reversion,20,-0.06619801749775353,101,20,21.0,66.5,27,2.3,1.1,-0.06619801749775353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6619801749775354,235000.0
mean_reversion,21,0.8113712937081858,202,20,40.0,67.5,38,2.2,2.7,0.8113712937081858,0.04404996013241547,0.4638230123591981,5.094196523437901,0.08077404561091628,0.5807472655004698,5.0,0.043869611253886,-0.6181105637236494,242238.14426293006
mean_reversion,22,0.8453502401874272,217,18,38.0,68.5,40,2.3,3.1,0.8453502401874272,0.04789492694703096,0.5092397956651606,5.094196523437901,0.08077404561091628,0.6457835723184164,5.0,0.04769874018633852,-0.6142814347911969,242965.85258620256
mean_reversion,23,0.5917551527105451,218,18,37.5,62.0,37,2.6,3.1,0.5917551527105451,0.040632456045583076,0.4637325993711504,2.5,0.08077404561091628,0.5030507575554473,2.0,0.040464860713305795,-0.6215153142642296,241343.25502163003
mean_reversion,24,0.45763518317177054,190,16,34.5,64.5,33,2.4,3.3000000000000003,0.45763518317177054,0.021679797510931242,0.24243210640622292,2.5,0.08183319852208337,0.26493307921043474,2.0,0.021591935222305514,-0.6403882397552298,238238.77463437
mean_reversion,25,1.9159075693509877,216,18,31.0,69.0,37,2.0,2.4000000000000004,1.9159075693509877,0.06802172576772358,0.9379488628175923,2.5,0.018816059925000017,3.615088708202215,2.0,0.06773428991671387,-0.5942458850608214,245434.54980441253
