family,number,value,param_entry_lookback,param_exit_lookback,param_regime_ma,param_atr_stop,param_atr_trail,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity
breakout,178,3.647814447519931,69,16,226,2.9000000000000004,2.3,3.647814447519931,0.4799895305473009,2.186972612773363,3.75,0.10513614623715195,6.699249803276379,4.0,0.47768745681667774,-0.18429271816085763,320046.08157945506
breakout,179,3.5566855883277584,44,22,239,3.1,2.4000000000000004,3.5566855883277584,0.48616378735855403,2.157558499032754,3.75,0.13081040295526492,6.477836475888963,4.0,0.4838248314330211,-0.1781553435445143,321188.3895546476
breakout,180,3.3142243076898317,46,16,229,3.0,2.2,3.3142243076898317,0.4248353707187547,2.0456193714548228,12.974523908721054,0.1130965138359602,6.059417082087534,6.0,0.4228136542902663,-0.23916652068726907,309901.1577849125
breakout,181,3.771598422751647,50,18,218,2.6,2.3,3.771598422751647,0.4980640229625663,2.258328181727134,3.75,0.10515377425461458,6.968420900017412,4.0,0.4956604839085233,-0.16631969106901207,323182.9358191675
breakout,182,3.771598422751647,51,19,219,2.6,2.3,3.771598422751647,0.4980640229625663,2.258328181727134,3.75,0.10515377425461458,6.968420900017412,4.0,0.4956604839085233,-0.16631969106901207,323182.9358191675
breakout,183,3.6973246610582917,50,20,220,2.8,2.3,3.6973246610582917,0.4985151021598324,2.2058157219694463,3.75,0.10516081217930462,6.802090974583661,4.0,0.4961090999519743,-0.1658710750255611,323261.44189307507
breakout,184,3.646955342566901,50,19,225,2.8,2.4000000000000004,3.646955342566901,0.4876629598822676,2.2149787913547927,3.75,0.130801453165016,6.680856059173231,4.0,0.48531525715689383,-0.17666491782064153,321439.1949871875
breakout,185,3.3142243076898317,47,20,219,2.6,2.1,3.3142243076898317,0.4248353707187547,2.0456193714548228,12.974523908721054,0.1130965138359602,6.059417082087534,6.0,0.4228136542902663,-0.23916652068726907,309901.1577849125
breakout,186,3.771598422751647,44,19,233,2.7,2.3,3.771598422751647,0.4980640229625663,2.258328181727134,3.75,0.10515377425461458,6.968420900017412,4.0,0.4956604839085233,-0.16631969106901207,323182.9358191675
breakout,187,2.892804238981819,42,24,234,2.7,2.4000000000000004,2.892804238981819,0.438590240654337,1.8902021552856756,8.771316151893771,0.1504780767801166,4.954006304565724,7.0,0.4365136322956367,-0.22546654268189864,313016.2235326351
