symbol,sample,rule,horizon_days,samples,days_on,coverage,avg_excess_on,hit_rate_on,avg_excess_off,hit_rate_off,edge_avg_excess,edge_hit_rate
EFIH,month_end,rel_mom_126_gt_0,126,47,7,0.14893617021276595,-0.192060566313671,0.0,-0.1675630835959617,0.225,-0.024497482717709296,-0.225
EFIH,month_end,ratio_gt_sma50,126,47,12,0.2553191489361702,-0.16443143465886512,0.25,-0.17353628834650808,0.17142857142857143,0.009104853687642966,0.07857142857142857
EFIH,month_end,ratio_gt_sma200,126,47,7,0.14893617021276595,-0.192060566313671,0.0,-0.1675630835959617,0.225,-0.024497482717709296,-0.225
EFIH,month_end,sma50_gt_sma200,126,47,6,0.1276595744680851,-0.21874977780522079,0.0,-0.16425484490738634,0.21951219512195122,-0.05449493289783444,-0.21951219512195122
EFIH,month_end,rel_mom_63_volume_1_1,126,47,1,0.02127659574468085,0.13805461788311613,1.0,-0.1779348244764626,0.17391304347826086,0.3159894423595787,0.8260869565217391
EFIH,month_end,residual_strength_63_gt_0,126,47,20,0.425531914893617,-0.16977157148904615,0.2,-0.17227836586123116,0.18518518518518517,0.0025067943721850117,0.014814814814814836
EFIH,month_end,relative_breakout_63,126,47,0,0.0,,,-0.1712116448517907,0.19148936170212766,,
EGAL,month_end,rel_mom_63_gt_0,21,131,67,0.5114503816793893,0.15550903166891736,0.5223880597014925,0.024353692111273844,0.515625,0.13115533955764352,0.006763059701492491
EGAL,month_end,rel_mom_126_gt_0,21,131,76,0.5801526717557252,0.08047760387997359,0.5,0.10657170040110901,0.5454545454545454,-0.026094096521135424,-0.045454545454545414
EGAL,month_end,ratio_gt_sma50,21,131,58,0.44274809160305345,0.20506486481799288,0.5517241379310345,0.0011504007876082408,0.4931506849315068,0.20391446403038463,0.05857345299952765
EGAL,month_end,ratio_gt_sma200,21,131,69,0.5267175572519084,0.08152583686444805,0.5072463768115942,0.1024590108595496,0.532258064516129,-0.020933173995101556,-0.02501168770453477
EGAL,month_end,sma50_gt_sma200,21,131,77,0.5877862595419847,0.06773547836570253,0.4935064935064935,0.12522425153296102,0.5555555555555556,-0.05748877316725849,-0.062049062049062076
EGAL,month_end,rel_mom_63_volume_1_1,21,131,34,0.2595419847328244,0.26007664211675297,0.5882352941176471,0.03232098541205554,0.4948453608247423,0.22775565670469744,0.09338993329290479
EGAL,month_end,residual_strength_63_gt_0,21,131,77,0.5877862595419847,0.17717785640772196,0.5324675324675324,-0.030832472712140756,0.5,0.20801032911986272,0.03246753246753242
EGAL,month_end,relative_breakout_63,21,131,7,0.05343511450381679,0.1618339223003696,0.7142857142857143,0.08745890290997099,0.5080645161290323,0.07437501939039862,0.20622119815668205
EGAL,month_end,rel_mom_63_gt_0,63,128,65,0.5078125,0.2551020237006263,0.5076923076923077,0.35172002280112147,0.6031746031746031,-0.09661799910049518,-0.09548229548229548
EGAL,month_end,rel_mom_126_gt_0,63,128,74,0.578125,0.08607608287260399,0.4594594594594595,0.5994511637859012,0.6851851851851852,-0.5133750809132973,-0.22572572572572575
EGAL,month_end,ratio_gt_sma50,63,128,57,0.4453125,0.4638356087156461,0.543859649122807,0.17325863774957082,0.5633802816901409,0.29057697096607527,-0.01952063256733383
EGAL,month_end,ratio_gt_sma200,63,128,68,0.53125,0.07924507763616831,0.4411764705882353,0.5558554616291984,0.6833333333333333,-0.47661038399303013,-0.24215686274509807
EGAL,month_end,sma50_gt_sma200,63,128,74,0.578125,0.041620761090263386,0.4594594594594595,0.6603714195617013,0.6851851851851852,-0.618750658471438,-0.22572572572572575
EGAL,month_end,rel_mom_63_volume_1_1,63,128,34,0.265625,0.28874637274708187,0.5294117647058824,0.30768740748521894,0.5638297872340425,-0.018941034738137075,-0.034418022528160175
EGAL,month_end,residual_strength_63_gt_0,63,128,74,0.578125,0.5377415195166155,0.581081081081081,-0.01949776791144802,0.5185185185185185,0.5572392874280635,0.06256256256256254
EGAL,month_end,relative_breakout_63,63,128,6,0.046875,0.4711652956601435,0.6666666666666666,0.2943688623200861,0.5491803278688525,0.1767964333400574,0.11748633879781412
EGAL,month_end,rel_mom_63_gt_0,126,125,63,0.504,0.1608461478188437,0.5714285714285714,1.6626066678827889,0.6612903225806451,-1.5017605200639452,-0.08986175115207373
EGAL,month_end,rel_mom_126_gt_0,126,125,73,0.584,0.04435543775166581,0.4931506849315068,2.1149418031817016,0.7884615384615384,-2.0705863654300356,-0.2953108535300316
EGAL,month_end,ratio_gt_sma50,126,125,55,0.44,0.4248887328576803,0.5818181818181818,1.283514863059252,0.6428571428571429,-0.8586261302015719,-0.061038961038961115
EGAL,month_end,ratio_gt_sma200,126,125,67,0.536,-0.0199823961281074,0.4626865671641791,1.9750645045155737,0.7931034482758621,-1.995046900643681,-0.330416881111683
EGAL,month_end,sma50_gt_sma200,126,125,74,0.592,0.005957588201622837,0.5,2.2112560626352935,0.7843137254901961,-2.2052984744336706,-0.28431372549019607
EGAL,month_end,rel_mom_63_volume_1_1,126,125,32,0.256,0.08488012698376371,0.5625,1.1881586737402112,0.6344086021505376,-1.1032785467564474,-0.07190860215053763
EGAL,month_end,residual_strength_63_gt_0,126,125,72,0.576,0.5894612304949134,0.6388888888888888,1.3353530589752136,0.5849056603773585,-0.7458918284803002,0.05398322851153037
