symbol,benchmark,as_of_date,overlap_start,overlap_end,overlap_rows,stock_close,benchmark_close,signal_score,signal_state,main_rule_on,main_rule_edge_63d,main_rule_hit_rate_63d,main_rule_samples_63d,rel_mom_21,rel_mom_63,rel_mom_126,rel_mom_252,ratio_vs_sma50,ratio_vs_sma200,sma50_vs_sma200,ratio_breakout_20,ratio_breakout_63,ratio_breakout_126,vol_adj_rel_mom_63,volume_ratio_20_63,mom63_volume_score,down_day_excess_63,down_day_excess_126,beta_252,corr_252,residual_strength_21_126b,residual_strength_63_126b,residual_strength_126_126b,rank
ORAS,etf,2026-04-05,2015-03-11,2026-04-05,1717,526.6,53.39,75.0,bullish,False,-0.09017808359005658,0.3333333333333333,24,0.12636881857330384,0.061789523692151516,-0.09053260359576942,0.24573789005283642,0.16796882130029678,0.05169143868243653,-0.09955521114716814,0.046856150953294096,0.046856150953294096,-0.12971144629419484,2.907983853740172,0.8709648492372023,0.053816503186973286,0.0059958071487305606,0.0062112929455082405,0.36611774669390384,0.2432921456816398,0.11344924515882043,0.20463905491937523,0.21392264059784,11
HELI,etf,2026-04-05,2015-01-15,2026-04-05,1755,5.59,53.39,65.0,watch,False,-0.056630515257234976,0.3333333333333333,18,0.09622416414667723,0.35622642014288375,-0.5828786186034123,-0.6541838359243304,0.2234279842425031,-0.29693274798202496,-0.4253300880204357,-0.05254237288135599,-0.05254237288135599,-0.5838020832944677,12.04013548016575,0.7384490254850584,0.2630550528065435,0.014467898701734897,0.010466291627778356,0.34588496758268283,0.09258821530949991,0.08560514461413249,0.4083606272342999,-0.1991024132455807,12
ARCC,etf,2026-04-05,2015-01-15,2026-04-05,1747,55.0,53.39,60.0,watch,False,0.07844241111611866,0.5625,16,0.09811569594859626,-0.008130897882404842,0.09625134033344596,0.5213172848216783,0.15015559407472923,0.06029645378025461,-0.0781278122346255,0.023716988200037425,-0.04086881171371792,-0.1437839117094032,-0.37576794049649404,1.4006785217654285,-0.011388774026552466,0.007850318444779484,0.010308052984387044,0.35463612639922726,0.14838439666135753,0.08650362968689301,0.15964917229151487,0.4166205205733515,13
CCAP,etf,2026-04-05,2015-01-15,2026-04-05,1755,3.98,53.39,60.0,watch,False,0.13452859237579498,0.3684210526315789,19,0.28508404088172234,-0.06020474903169415,0.14092483300200098,-0.1290312716208416,0.15593247414248257,0.06968827018625401,-0.07461007099070216,-0.020282362203899007,-0.06020474903169415,-0.15478223505172828,-2.0579605881230716,1.3332273949715414,-0.08026662071644101,0.018376873284847252,0.0140118408696941,0.1984530335373641,0.08941001308722044,0.24669611289198615,0.10208204138004484,0.4351116815227902,14
FWRY,etf,2026-04-05,2019-08-21,2026-04-05,1285,17.7,53.39,50.0,watch,False,-0.5824871076965031,0.4,10,0.013860273459449513,-0.03331490439830698,0.0024074820960395815,0.4247190485109573,0.0029879077456735903,-0.0005785468306568342,-0.0035558300840798918,-0.027125332019293347,-0.0496347630642443,-0.06002727742978409,-1.5820563338346725,1.0025288167298472,-0.03339915168590268,0.0015371720765934892,0.003121300153825924,0.5837242979507804,0.3255140542176748,0.012917797227034384,0.07561981710724451,0.2561837679133112,15
MCQE,etf,2026-04-05,2015-01-15,2026-04-05,1731,173.56,53.39,40.0,weak,False,-0.02466194204572675,0.6666666666666666,24,-0.10500183580884981,-0.017845490339140624,0.7907386686803695,3.555889171916406,-0.0060526252722528096,0.3478452845584157,0.356052965004918,-0.09162883107584263,-0.15791556864830447,-0.15791556864830447,-0.699016882662818,0.6767322002884955,-0.012076617942433723,0.006482802421180007,0.016536828930330164,0.32308063751148436,0.10258172950878741,-0.12032642517257951,0.15831047265886708,0.957479866353039,16
TMGH,etf,2026-04-05,2015-01-15,2026-04-05,1755,79.12,53.39,30.0,weak,False,0.023281045149215588,0.25,20,-0.0360895838006291,-0.08182936707278066,0.08784305564226913,-0.057505288799508114,-0.034801546909717374,-0.0015718724434002906,0.03442781570973863,-0.01573887870719637,-0.11695766997565082,-0.11695766997565082,-4.14553952948093,1.0449052794323577,-0.08550393766695684,-0.0026303938434169474,0.002670364434082981,0.6532145988179884,0.415084814744339,-0.03669261812024377,0.010268758735083405,0.3001145137030789,17
HRHO,etf,2026-04-05,2015-01-15,2026-04-05,1755,25.99,53.39,20.0,weak,False,0.062033169422128456,0.625,16,-0.0018852838177617626,-0.08190410189174002,-0.26879253884827714,-0.3581029609015469,-0.03408757769902959,-0.19027883003536483,-0.16170332706174406,-0.01552205501139492,-0.12994425698814427,-0.3004149437376633,-4.700163189285313,0.8145528378691927,-0.06671521862904435,0.002822270853308828,0.003462802941955787,0.6176914448482982,0.37639574495858574,-0.006358106793132277,0.03827435767618816,-0.09876482609429182,18
VLMR,etf,2026-04-05,2015-01-15,2026-04-05,1755,0.7,53.39,20.0,weak,False,0.15456166461569643,0.7222222222222222,18,0.028553900611035576,-0.12931418818209883,-0.28805096639614924,-0.4299174216003092,0.018156740800369553,-0.16676107652337446,-0.18162018667025748,-0.05397170435989229,-0.12931418818209883,-0.28805096639614924,-7.007473864939069,0.6986422396406475,-0.09034435404885369,0.013049458969024708,0.009468024383720089,0.0837062286392517,0.10211496150088896,0.01445821465233861,-0.019079036762971006,-0.07037547005098634,19
ORHD,etf,2026-04-05,2015-01-15,2026-04-05,1732,24.75,53.39,20.0,weak,False,0.1365562230006388,0.40625,32,0.012224355309454316,-0.13913653135823612,-0.11270337555097099,-0.2991360906589564,0.011571501937938544,-0.12387717978878732,-0.1338992661094518,-0.03520063124419681,-0.13913653135823612,-0.22931494661921703,-6.447605858425825,1.055911460007256,-0.14691585796682047,0.006973363654912062,0.006748742458090981,0.5516136735050317,0.32317536382077666,0.004608386525601567,-0.06009251146630101,0.015372263223400805,20
EMFD,etf,2026-04-05,2015-07-05,2026-04-05,1651,9.3,53.39,20.0,weak,False,0.010353458122853154,0.47058823529411764,17,0.07024977788568432,-0.15763539700606566,-0.15588159463210904,-0.24068225099664087,0.026360997922048712,-0.15408854882436207,-0.17581489077599954,-0.029460395991320776,-0.15763539700606566,-0.2594361614556634,-8.558749993872384,0.37724348313014056,-0.05946692623117074,0.008075048647184672,0.007223965527867387,0.3217070299176815,0.21458186705015164,0.058004183332460886,-0.03182444278870739,0.1020708867049149,21
ORWE,etf,2026-04-05,2015-01-15,2026-04-05,1755,22.4,53.39,20.0,weak,False,0.08389129523591546,0.5833333333333334,12,0.03229409661325766,-0.16531723018975897,-0.20992259263724689,-0.4022526925780098,0.012125652272786613,-0.18470111018070767,-0.19446870258797244,-0.03666701955259499,-0.16531723018975897,-0.253543110445152,-9.59304996021024,0.8525980664125458,-0.14094915080446624,0.007977809339511702,0.009534998647335672,0.33208902468546775,0.26560298454237674,0.021360367548048723,-0.061750626275160564,-0.015499063791208195,22
EFIH,etf,2026-04-05,2021-10-20,2026-04-05,1053,18.38,53.39,10.0,weak,False,0.33223847449072313,1.0,3,-0.07151211628377285,-0.1125302111176093,0.13720297184241748,-0.28157324640867987,-0.08829477871872349,-0.019174677700962706,0.07581408925203026,-0.07396532307336956,-0.17656915203272194,-0.17656915203272194,-4.878926497452358,0.8976295416149791,-0.10101044182333646,0.0042199746032291485,0.007534517612244029,0.7430268494158825,0.2979441706822971,-0.07612703926780036,-0.022156948110839146,0.27149652376001665,23
EFID,etf,2026-04-05,2015-04-02,2026-04-05,1656,25.12,53.39,10.0,weak,False,0.036085746145057274,0.5,10,-0.07522984497816365,-0.1647560460986105,0.1627570892958652,-0.4238260885242584,-0.09339447649380561,-0.03641464935857153,0.06284963598597004,-0.12951535580661144,-0.2271295664440448,-0.2271295664440448,-6.690105664449926,1.0632472790465737,-0.17517641772081946,0.005685642967931311,0.00681419114943296,0.33117225971151687,0.10843231236460846,-0.08285199974958417,-0.06208836963764455,0.4481303720932144,24
JUFO,etf,2026-04-05,2015-01-15,2026-04-05,1741,25.28,53.39,0.0,weak,False,-0.04600568957847147,0.42857142857142855,21,-0.04292801668951152,-0.08764285719206333,-0.2930539550315361,-0.5380681953286035,-0.05890222793427935,-0.23248114193428282,-0.18444301873013225,-0.07202983118678186,-0.1815048009144561,-0.3813244174698409,-4.144773566698669,0.9934525178915603,-0.08706901715266575,0.007638770569446358,0.006033819056115206,0.4829113261767982,0.2625932215437114,-0.05124277115908711,-0.002370196648539365,-0.13346113764470457,25
PHDC,etf,2026-04-05,2015-01-15,2026-04-05,1755,8.42,53.39,0.0,weak,False,-0.14248646870756018,0.0625,16,-0.0354007341775634,-0.1303034385614409,-0.12810003388136515,-0.15355462165199485,-0.02526394176628277,-0.1567487020253554,-0.13489268109905705,-0.07730909285507526,-0.1405931539036701,-0.1594115980834403,-6.040263474165571,0.9708289433389068,-0.12650234957202983,0.004280475467130571,0.004973475771827267,0.540774561191824,0.3207558223778411,-0.04088131336161786,-0.028462554014293602,0.07667350905437162,26
EAST,etf,2026-04-05,2015-01-15,2026-04-05,1730,35.77,53.39,0.0,weak,False,-0.049413998207911605,0.3548387096774194,31,-0.0931287326420479,-0.16584758546170375,-0.35224793169452573,-0.2569753910663467,-0.0512092112985737,-0.22632106887274384,-0.18456319312905534,-0.09334168091605,-0.16584758546170375,-0.38432585249229567,-5.761595692234085,1.7000808982380466,-0.2819543120623445,0.010403781956541151,0.0038101236083903705,0.20025723832991657,0.11068985520761297,-0.1019087179599565,-0.08724200361333545,-0.1846781374950001,27
GBCO,etf,2026-04-05,2015-01-15,2026-04-05,1753,24.55,53.39,0.0,weak,False,-0.05536859952728444,0.47058823529411764,17,-0.11642635025099457,-0.20291549144475174,-0.1714808697577005,-0.0811546109222302,-0.10481901837796626,-0.1952481493499849,-0.1010177079590816,-0.12117761560584861,-0.21393388986227446,-0.2448672760094499,-9.224302042284988,1.31868124088246,-0.26758085205263943,-0.0023181713391251992,0.001333628611601278,0.607236222134908,0.29950485851973746,-0.12399578002151833,-0.13312909429782813,0.014422796052275559,28
EGCH,etf,2026-04-05,2015-01-15,2026-04-05,1753,11.25,53.39,0.0,weak,False,-0.06318797376465085,0.391304347826087,23,-0.0666179970197378,-0.20455187900085958,-0.25555367475533197,-0.1494697136935953,-0.04703534512744534,-0.13345929351427388,-0.09068956329590894,-0.15123916634030876,-0.20455187900085958,-0.29137663785246126,-6.7552351874646,1.5395792401080466,-0.3149238264348165,0.010078463920205817,0.009604836181355023,0.15455311535639107,0.08185095546450712,-0.0735646113099974,-0.07324340511214503,-0.004389178402994416,29
ISPH,etf,2026-04-05,2017-12-12,2026-04-05,1365,10.06,53.39,0.0,weak,False,-0.07053685798977184,0.3333333333333333,9,-0.11921983151968385,-0.22068164417411762,-0.27342811103669273,-0.020818179474021314,-0.0828800196734858,-0.2162553575037054,-0.14542845068399357,-0.11418686610993067,-0.23359981640667205,-0.3349712988772958,-8.79512272857405,1.2780901337087205,-0.2820510321095583,0.0009215224821809356,0.004202524578213423,0.4515386556129722,0.24445860835732344,-0.13338928317011559,-0.12171760235156778,-0.06265926787836328,30
BFTH,etf,2026-04-05,2015-01-15,2026-04-05,1707,2.92,53.39,0.0,weak,False,-0.2958488403345675,0.17391304347826086,23,-0.0032080813125953123,-0.25685227457353954,-0.2961082745686604,-0.2005674821565916,-0.0074956588149571735,-0.23524558119459626,-0.22946995083941635,-0.016111760564744837,-0.26561031736641016,-0.2986670905065576,-14.394846235062108,0.7557550492499966,-0.194117403420299,0.0009456236731548845,0.003925473657428765,0.49127370708465284,0.2561418782337684,-0.01045702043168735,-0.16518426764987654,-0.10192647280887904,31
