strategy,period,start_date,end_date,twr,cagr,max_drawdown,sharpe,return_dd,money_multiple,closed_trades,excess_twr_vs_etf_dca,excess_cagr_vs_etf_dca,year
rebound_max5_v2,2017,2017-01-02,2017-12-26,0.6098036649582679,3.171754425991587,0.1062860650181281,3.9043203116892027,29.841677038759634,7.1489035031234245,34.0,0.4089825985463251,2.440204991598282,2017
rebound_max5_v3,2017,2017-01-02,2017-12-26,0.4297392688210402,1.922607784056118,0.06223958116165362,3.3210111327347174,30.89043576727432,6.280886691166003,23.0,0.22891820240909744,1.191058349662813,2017
etf_dca,2018,2018-01-02,2018-12-31,-0.13205001475689193,-0.4483320668007492,0.30498954620753826,-1.2990689970805338,-1.4699915861892188,0.8803547651550456,0.0,0.0,0.0,2018
rebound_max5_v1,2018,2018-01-02,2018-12-31,-0.017279666435801144,-0.0705933894605868,0.18600505206389062,-0.07198938066920701,-0.3795240434455445,8.530067999935346,29.0,0.11477034832109079,0.3777386773401624,2018
rebound_max5_v2,2018,2018-01-02,2018-12-31,-0.04893752979823052,-0.1900131163406813,0.18315565926043953,-0.5288335937209314,-1.0374405962006927,8.089698744611761,28.0,0.08311248495866141,0.2583189504600679,2018
rebound_max5_v3,2018,2018-01-02,2018-12-31,-0.023475442515977774,-0.094956796851142,0.14523725629508955,-0.24409918779030781,-0.6538046729429471,7.485844476141424,26.0,0.10857457224091416,0.3533752699496072,2018
etf_dca,2019,2019-01-06,2019-12-31,0.04801629461101897,0.44676594231334366,0.11640039486971376,0.9774777016302653,3.838182360235169,1.0264721935564,0.0,0.0,0.0,2019
rebound_max5_v1,2019,2019-01-06,2019-12-31,-0.0704445420792692,-0.437441063072356,0.11757213204191741,-1.999148627446612,-3.720618614931617,10.491638739298716,10.0,-0.11846083669028817,-0.8842070053856996,2019
rebound_max5_v2,2019,2019-01-06,2019-12-31,-0.014249477504997499,-0.10686882142094312,0.03896750010141836,-0.8209858456184865,-2.742511609490013,10.567587851417613,3.0,-0.06226577211601647,-0.5536347637342868,2019
rebound_max5_v3,2019,2019-01-06,2019-12-31,-0.0157518227593485,-0.11753218276475819,0.03958255577390257,-0.9608685312611643,-2.9692924185115173,9.83971144272421,3.0,-0.06376811737036747,-0.5642981250781018,2019
