date,symbol,action,shares,price,value,fee
2016-02-01,COMI,SELL,1241.0,12.67,15723.47,
2016-02-01,EGCH,BUY,6816.0,2.52,17176.32,5.0
2016-03-02,EGCH,SELL,127.0,2.74,347.98,0.0
2016-03-02,ETEL,BUY,2747.0,6.67,18322.49,5.0
2016-03-02,ORWE,BUY,3763.0,4.87,18325.81,5.0
2016-03-02,PHDC,BUY,8645.0,2.12,18327.4,5.0
2016-03-02,RAYA,BUY,203641.0,0.09,18327.69,5.0
2016-03-02,EAST,BUY,6129.0,2.99,18325.710000000003,5.0
2016-04-04,ORWE,SELL,3763.0,4.8,18062.399999999998,
2016-04-04,RAYA,SELL,203641.0,0.1,20364.100000000002,
2016-04-04,EFID,BUY,1290.0,16.26,20975.4,5.0
2016-04-04,EGCH,SELL,406.0,3.34,1356.04,0.0
2016-04-04,HELI,BUY,4868.0,4.31,20981.079999999998,5.0
2016-04-04,ETEL,SELL,169.0,8.14,1375.66,0.0
2016-04-04,OIH,BUY,6948.0,3.02,20982.96,5.0
2016-04-04,HRHO,BUY,4705.0,4.46,20984.3,5.0
2016-04-04,AMOC,BUY,11991.0,1.75,20984.25,5.0
2016-04-04,PHDC,SELL,986.0,2.74,2701.6400000000003,0.0
2016-04-04,BFTH,BUY,4196.0,5.0,20980.0,5.0
2016-04-04,EAST,BUY,382.0,3.22,1230.04,5.0
2016-05-03,ETEL,SELL,2578.0,7.78,20056.84,
2016-05-03,PHDC,SELL,7659.0,2.46,18841.14,
2016-05-03,EAST,SELL,6511.0,2.97,19337.670000000002,
2016-05-03,AMOC,SELL,11991.0,1.84,22063.440000000002,
2016-05-03,TMGH,BUY,3248.0,6.67,21664.16,5.0
2016-05-03,EGCH,BUY,660.0,3.12,2059.2000000000003,5.0
2016-05-03,HELI,BUY,229.0,4.25,973.25,5.0
2016-05-03,EFID,SELL,8.0,16.91,135.28,0.0
2016-05-03,HRHO,BUY,130.0,4.48,582.4000000000001,5.0
2016-05-03,OIH,BUY,707.0,2.83,2000.81,5.0
2016-05-03,COMI,BUY,1202.0,18.01,21648.02,5.0
2016-05-03,BFTH,SELL,327.0,5.6,1831.1999999999998,0.0
2016-05-03,ORHD,BUY,16289.0,1.33,21664.370000000003,5.0
2016-05-03,EMFD,BUY,8257.0,2.62,21633.34,5.0
2016-06-01,EGCH,SELL,6943.0,2.9,20134.7,
2016-06-01,HELI,SELL,5097.0,3.88,19776.36,
2016-06-01,OIH,SELL,7655.0,2.71,20745.05,
2016-06-01,BFTH,SELL,3869.0,3.85,14895.65,
2016-06-01,TMGH,SELL,3248.0,5.83,18935.84,
2016-06-01,ORHD,SELL,16289.0,1.06,17266.34,
2016-06-01,EMFD,SELL,8257.0,2.35,19403.95,
2016-06-01,EFID,SELL,113.0,17.85,2017.0500000000002,0.0
2016-06-01,ARCC,BUY,2531.0,8.24,20855.440000000002,5.0
2016-06-01,ETEL,BUY,2383.0,8.75,20851.25,5.0
2016-06-01,MCQE,BUY,695.0,29.99,20843.05,5.0
2016-06-01,HRHO,SELL,655.0,4.99,3268.4500000000003,0.0
2016-06-01,AMOC,BUY,10224.0,2.04,20856.96,5.0
2016-06-01,COMI,BUY,26.0,16.98,441.48,5.0
2016-07-10,EFID,SELL,1169.0,14.99,17523.31,
2016-07-10,COMI,SELL,1228.0,16.17,19856.760000000002,
2016-07-10,ARCC,SELL,2531.0,6.99,17691.690000000002,
2016-07-10,MCQE,SELL,695.0,29.68,20627.6,
2016-07-10,ETEL,BUY,87.0,8.55,743.85,5.0
2016-07-10,HRHO,SELL,14.0,5.07,70.98,0.0
2016-07-10,AMOC,SELL,118.0,2.09,246.61999999999998,0.0
2016-08-02,HRHO,SELL,4166.0,5.68,23662.879999999997,
2016-08-02,ETEL,SELL,2470.0,9.15,22600.5,
2016-08-02,AMOC,SELL,10106.0,2.43,24557.58,
2016-10-03,AMOC,BUY,9348.0,2.66,24865.68,5.0
2016-10-03,RAYA,BUY,226055.0,0.11,24866.05,5.0
2016-10-03,ORWE,BUY,4718.0,5.27,24863.859999999997,5.0
2016-10-03,ORAS,BUY,351.0,70.77,24840.269999999997,5.0
2016-11-02,HELI,BUY,5491.0,4.88,26796.079999999998,5.0
2016-11-02,HRHO,BUY,3675.0,7.29,26790.75,5.0
2016-11-02,AMOC,BUY,840.0,2.63,2209.2,5.0
2016-11-02,ORWE,SELL,402.0,6.21,2496.42,0.0
2016-11-02,COMI,BUY,1293.0,20.71,26778.030000000002,5.0
2016-11-02,RAYA,BUY,41907.0,0.1,4190.7,5.0
2016-11-02,ORAS,SELL,59.0,91.93,5423.870000000001,0.0
2016-12-01,RAYA,SELL,267962.0,0.13,34835.06,
2016-12-01,COMI,SELL,1293.0,27.45,35492.85,
2016-12-01,HELI,SELL,691.0,7.14,4933.74,0.0
2016-12-01,HRHO,BUY,179.0,8.89,1591.3100000000002,5.0
2016-12-01,OIH,BUY,9875.0,3.47,34266.25,5.0
2016-12-01,AMOC,SELL,1556.0,3.97,6177.320000000001,0.0
2016-12-01,ORWE,SELL,583.0,9.18,5351.94,0.0
2016-12-01,ORAS,BUY,40.0,102.96,4118.4,5.0
2016-12-01,EAST,BUY,7198.0,4.76,34262.479999999996,5.0
2017-01-02,OIH,SELL,9875.0,3.21,31698.75,
2017-01-02,EAST,SELL,7198.0,4.59,33038.82,
2017-01-02,ADIB,BUY,7766.0,4.86,37742.76,5.0
2017-01-02,TMGH,BUY,4134.0,9.13,37743.420000000006,5.0
2017-01-02,HELI,SELL,235.0,8.27,1943.4499999999998,0.0
2017-01-02,HRHO,SELL,525.0,11.34,5953.5,0.0
2017-01-02,ORWE,SELL,78.0,10.33,805.74,0.0
2017-01-02,AMOC,SELL,975.0,4.93,4806.75,0.0
2017-01-02,JUFO,BUY,6097.0,6.19,37740.43,5.0
2017-01-02,COMI,BUY,1295.0,29.14,37736.3,5.0
2017-01-02,ORAS,BUY,22.0,106.44,2341.68,5.0
2017-02-07,ORAS,SELL,354.0,102.47,36274.38,
2017-02-07,HRHO,SELL,3329.0,10.68,35553.72,
2017-02-07,ADIB,SELL,7766.0,4.95,38441.700000000004,
2017-02-07,TMGH,SELL,4134.0,7.87,32534.58,
2017-02-07,JUFO,SELL,6097.0,6.54,39874.38,
2017-02-07,COMI,SELL,1295.0,30.78,39860.1,
2017-02-07,EFID,BUY,2761.0,15.16,41856.76,5.0
2017-02-07,HELI,SELL,129.0,9.44,1217.76,0.0
2017-02-07,ARCC,BUY,4430.0,9.45,41863.5,5.0
2017-02-07,ORWE,SELL,360.0,12.71,4575.6,0.0
2017-02-07,AMOC,SELL,2205.0,7.68,16934.399999999998,0.0
2017-02-07,GBCO,BUY,13419.0,3.12,41867.28,5.0
2017-02-07,EGAL,BUY,7855.0,5.33,41867.15,5.0
2017-02-07,CCAP,BUY,35481.0,1.18,41867.579999999994,5.0
2017-02-07,EAST,BUY,5921.0,7.07,41861.47,5.0
2017-03-01,HELI,SELL,4436.0,8.55,37927.8,
2017-03-01,EFID,SELL,2761.0,17.02,46992.22,
2017-03-01,ARCC,SELL,4430.0,7.97,35307.1,
2017-03-01,GBCO,SELL,13419.0,2.72,36499.68,
2017-03-01,EGAL,SELL,7855.0,5.11,40139.05,
2017-03-01,CCAP,SELL,35481.0,1.03,36545.43,
2017-03-01,EAST,SELL,5921.0,6.66,39433.86,
2017-03-01,EGCH,BUY,8980.0,4.42,39691.6,5.0
2017-03-01,ORWE,BUY,214.0,11.31,2420.34,5.0
2017-03-01,AMOC,BUY,731.0,6.42,4693.0199999999995,5.0
2017-04-05,AMOC,SELL,6183.0,6.97,43095.51,
2017-04-05,ORWE,SELL,3509.0,13.03,45722.27,
2017-04-05,EGCH,SELL,8980.0,4.87,43732.6,
2017-04-05,EGAL,BUY,3639.0,11.55,42030.450000000004,5.0
2017-04-05,RAYA,BUY,123651.0,0.34,42041.340000000004,5.0
2017-05-02,ABUK,BUY,3540.0,11.88,42055.200000000004,5.0
2017-05-02,JUFO,BUY,4582.0,9.18,42062.76,5.0
2017-05-02,EGAL,BUY,216.0,10.91,2356.56,5.0
2017-05-02,RAYA,BUY,26583.0,0.28,7443.240000000001,5.0
2017-05-02,EAST,BUY,5786.0,7.27,42064.22,5.0
2017-06-01,RAYA,SELL,150234.0,0.26,39060.840000000004,
2017-06-01,ABUK,SELL,674.0,15.61,10521.14,0.0
2017-06-01,JUFO,BUY,613.0,8.61,5277.929999999999,5.0
2017-06-01,EGAL,BUY,31.0,11.51,356.81,5.0
2017-06-01,ORHD,BUY,21002.0,2.13,44734.259999999995,5.0
2017-06-01,ORAS,BUY,375.0,119.1,44662.5,5.0
2017-06-01,EAST,SELL,491.0,8.45,4148.95,0.0
2017-07-09,JUFO,SELL,5195.0,8.1,42079.5,
2017-07-09,ABUK,BUY,202.0,16.27,3286.54,5.0
2017-07-09,MCQE,BUY,1005.0,49.64,49888.2,5.0
2017-07-09,EGAL,SELL,1253.0,18.97,23769.41,0.0
2017-07-09,BFTH,BUY,14064.0,3.55,49927.2,5.0
2017-07-09,ORHD,SELL,370.0,2.42,895.4,0.0
2017-07-09,ORAS,BUY,29.0,123.49,3581.21,5.0
2017-07-09,EAST,SELL,83.0,9.58,795.14,0.0
2017-08-14,ORAS,SELL,404.0,114.44,46233.76,
2017-08-14,MCQE,SELL,1005.0,40.2,40401.0,
2017-08-14,ABUK,BUY,703.0,14.26,10024.78,5.0
2017-08-14,EGAL,SELL,999.0,32.93,32897.07,0.0
2017-08-14,BFTH,SELL,2473.0,4.64,11474.72,0.0
2017-08-14,ORHD,BUY,3703.0,2.21,8183.63,5.0
2017-08-14,EAST,BUY,390.0,9.6,3744.0,5.0
2017-09-07,ABUK,SELL,3771.0,15.37,57960.27,
2017-09-07,EAST,SELL,5602.0,9.54,53443.079999999994,
2017-09-07,ORHD,SELL,24335.0,2.34,56943.899999999994,
2017-09-07,BFTH,SELL,11591.0,4.06,47059.45999999999,
2017-09-07,EGAL,BUY,59.0,32.31,1906.2900000000002,5.0
2017-09-07,CCAP,BUY,42740.0,1.28,54707.200000000004,5.0
2017-09-07,ETEL,BUY,4355.0,12.56,54698.8,5.0
2017-10-02,ADIB,BUY,5660.0,10.25,58015.0,5.0
2017-10-02,TMGH,BUY,6355.0,9.13,58021.15,5.0
2017-10-02,ETEL,BUY,87.0,13.06,1136.22,5.0
2017-10-02,AMOC,BUY,6883.0,8.43,58023.689999999995,5.0
2017-10-02,GBCO,BUY,19024.0,3.05,58023.2,5.0
2017-10-02,EGAL,SELL,357.0,43.45,15511.650000000001,0.0
2017-10-02,CCAP,BUY,887.0,1.33,1179.71,5.0
2017-10-02,BFTH,BUY,12980.0,4.47,58020.6,5.0
2017-10-02,ORHD,BUY,16298.0,3.56,58020.88,5.0
2017-10-02,EMFD,BUY,16807.0,3.45,57984.15,5.0
2017-11-09,CCAP,SELL,43627.0,1.4,61077.799999999996,
2017-11-09,ETEL,SELL,4442.0,13.12,58279.03999999999,
2017-11-09,AMOC,SELL,6883.0,8.53,58711.99,
2017-11-09,ADIB,BUY,811.0,9.17,7436.87,5.0
2017-11-09,TMGH,SELL,15.0,9.36,140.39999999999998,0.0
2017-11-09,EGCH,BUY,8937.0,6.64,59341.68,5.0
2017-11-09,ABUK,BUY,2968.0,19.99,59330.31999999999,5.0
2017-11-09,GBCO,SELL,64.0,3.13,200.32,0.0
2017-11-09,EGAL,BUY,114.0,40.9,4662.599999999999,5.0
2017-11-09,BFTH,BUY,1149.0,4.2,4825.8,5.0
2017-11-09,VLMR,BUY,45114.0,1.17,52783.38,5.0
2017-11-09,ORHD,SELL,964.0,3.87,3730.6800000000003,0.0
2017-11-09,EMFD,SELL,768.0,3.7,2841.6000000000004,0.0
2017-12-03,EGAL,SELL,1450.0,41.84,60668.00000000001,
2017-12-03,BFTH,SELL,14129.0,3.89,54961.810000000005,
2017-12-03,ABUK,SELL,2968.0,19.74,58588.31999999999,
2017-12-03,ADIB,SELL,190.0,9.99,1898.1000000000001,0.0
2017-12-03,TMGH,SELL,47.0,9.97,468.59000000000003,0.0
2017-12-03,EGCH,BUY,641.0,6.55,4198.55,5.0
2017-12-03,GBCO,SELL,2995.0,3.93,11770.35,0.0
2017-12-03,JUFO,BUY,6218.0,10.09,62739.62,5.0
2017-12-03,PHDC,BUY,15415.0,4.07,62739.05,5.0
2017-12-03,VLMR,BUY,3901.0,1.28,4993.28,5.0
2017-12-03,ORHD,BUY,1307.0,3.77,4927.39,5.0
2017-12-03,EMFD,BUY,691.0,3.75,2591.25,5.0
2017-12-03,EAST,BUY,4992.0,12.56,62699.520000000004,5.0
2018-01-02,ADIB,SELL,6281.0,10.74,67457.94,
2018-01-02,TMGH,SELL,6293.0,9.8,61671.4,
2018-01-02,EMFD,SELL,16730.0,3.55,59391.5,
2018-01-02,EGCH,SELL,9578.0,6.47,61969.659999999996,
2018-01-02,PHDC,SELL,15415.0,3.84,59193.6,
2018-01-02,HELI,BUY,5747.0,11.73,67412.31,5.0
2018-01-02,ABUK,BUY,3135.0,21.5,67402.5,5.0
2018-01-02,AMOC,BUY,7288.0,9.25,67414.0,5.0
2018-01-02,GBCO,SELL,949.0,4.49,4261.01,0.0
2018-01-02,JUFO,BUY,184.0,10.53,1937.52,5.0
2018-01-02,VLMR,BUY,2449.0,1.31,3208.19,5.0
2018-01-02,ORHD,SELL,2447.0,4.75,11623.25,0.0
2018-01-02,ORAS,BUY,480.0,140.41,67396.8,5.0
2018-01-02,EAST,SELL,448.0,14.84,6648.32,0.0
2018-02-06,EAST,SELL,4544.0,16.01,72749.44,
2018-02-06,AMOC,SELL,7288.0,9.06,66029.28,
2018-02-06,ORAS,SELL,480.0,154.57,74193.59999999999,
2018-02-06,ADIB,BUY,6689.0,11.14,74515.46,5.0
2018-02-06,HELI,BUY,468.0,11.99,5611.32,5.0
2018-02-06,ABUK,SELL,482.0,28.1,13544.2,0.0
2018-02-06,GBCO,BUY,412.0,4.83,1989.96,5.0
2018-02-06,JUFO,BUY,434.0,10.9,4730.6,5.0
2018-02-06,VLMR,SELL,1111.0,1.48,1644.28,0.0
2018-02-06,ORHD,SELL,862.0,5.59,4818.58,0.0
2018-03-04,VLMR,SELL,50353.0,1.54,77543.62,
2018-03-04,ADIB,SELL,52.0,12.09,628.68,0.0
2018-03-04,HELI,BUY,356.0,12.21,4346.76,5.0
2018-03-04,ABUK,SELL,360.0,35.0,12600.0,0.0
2018-03-04,GBCO,BUY,1183.0,4.83,5713.89,5.0
2018-03-04,JUFO,BUY,140.0,11.5,1610.0,5.0
2018-03-04,ORHD,SELL,1248.0,6.64,8286.72,0.0
2018-03-04,RAYA,BUY,243133.0,0.33,80233.89,5.0
2018-03-04,EAST,BUY,4410.0,18.19,80217.90000000001,5.0
2018-04-11,JUFO,SELL,6976.0,11.88,82874.88,
2018-04-11,HELI,SELL,6571.0,12.84,84371.64,
2018-04-11,ADIB,SELL,6637.0,10.87,72144.18999999999,
2018-04-11,RAYA,SELL,243133.0,0.3,72939.9,
2018-04-11,EFID,BUY,4138.0,20.0,82760.0,5.0
2018-04-11,ABUK,BUY,312.0,31.77,9912.24,5.0
2018-04-11,GBCO,SELL,3040.0,6.1,18544.0,0.0
2018-04-11,CCAP,BUY,36148.0,2.29,82778.92,5.0
2018-04-11,ORHD,SELL,258.0,7.0,1806.0,0.0
2018-04-11,EMFD,BUY,16893.0,4.9,82775.70000000001,5.0
2018-04-11,EAST,SELL,177.0,19.56,3462.12,0.0
2018-05-02,GBCO,SELL,13571.0,6.16,83597.36,
2018-05-02,ORHD,SELL,11826.0,7.11,84082.86,
2018-05-02,ABUK,SELL,2605.0,31.62,82370.1,
2018-05-02,EFID,SELL,4138.0,20.0,82760.0,
2018-05-02,EMFD,SELL,16893.0,4.57,77201.01000000001,
2018-05-02,CCAP,SELL,4589.0,2.7,12390.300000000001,0.0
2018-05-02,PHDC,BUY,16577.0,5.14,85205.78,5.0
2018-05-02,TMGH,BUY,6260.0,13.61,85198.59999999999,5.0
2018-05-02,EAST,SELL,45.0,20.35,915.7500000000001,0.0
2018-06-14,EAST,SELL,4188.0,15.79,66128.51999999999,
2018-06-14,PHDC,SELL,16577.0,4.52,74928.04,
2018-06-14,TMGH,SELL,6260.0,12.37,77436.2,
2018-06-14,CCAP,SELL,2806.0,2.89,8109.34,0.0
2018-06-14,AMOC,BUY,7059.0,11.77,83084.43,5.0
2018-07-09,AMOC,SELL,7059.0,11.64,82166.76000000001,
2018-07-09,CCAP,SELL,4312.0,3.51,15135.119999999999,0.0
2018-07-09,ISPH,BUY,12082.0,7.1,85782.2,5.0
2018-08-07,ISPH,SELL,12082.0,7.1,85782.2,
2018-08-07,CCAP,BUY,737.0,3.44,2535.2799999999997,5.0
2018-09-04,CCAP,BUY,907.0,3.35,3038.4500000000003,5.0
2018-10-03,CCAP,BUY,1181.0,3.23,3814.63,5.0
2018-10-03,ABUK,BUY,2791.0,31.55,88056.05,5.0
2018-11-01,ABUK,SELL,2791.0,27.0,75357.0,
2018-11-01,CCAP,SELL,3304.0,3.72,12290.880000000001,0.0
2018-11-01,ISPH,BUY,13949.0,6.39,89134.11,5.0
2018-12-03,ISPH,SELL,13949.0,6.51,90807.98999999999,
2018-12-03,CCAP,SELL,588.0,3.88,2281.44,0.0
2018-12-03,EGCH,BUY,16136.0,5.62,90684.32,5.0
2018-12-03,ORHD,BUY,14627.0,6.2,90687.40000000001,5.0
2019-01-06,CCAP,SELL,23374.0,3.68,86016.32,
2019-01-06,EGCH,BUY,205.0,5.69,1166.45,5.0
2019-01-06,ETEL,BUY,7368.0,12.62,92984.15999999999,5.0
2019-01-06,HRHO,BUY,11017.0,8.44,92983.48,5.0
2019-01-06,ORWE,BUY,12685.0,7.33,92981.05,5.0
2019-01-06,ISPH,BUY,13982.0,6.65,92980.3,5.0
2019-01-06,ORHD,SELL,1941.0,7.33,14227.53,0.0
2019-01-06,RAYA,BUY,344388.0,0.27,92984.76000000001,5.0
2019-01-06,ORAS,BUY,802.0,115.81,92879.62,5.0
2019-02-05,HRHO,SELL,11017.0,9.34,102898.78,
2019-02-05,ORAS,SELL,802.0,110.02,88236.04,
2019-02-05,EGCH,SELL,211.0,6.02,1270.2199999999998,0.0
2019-02-05,ETEL,SELL,703.0,14.57,10242.710000000001,0.0
2019-02-05,ORWE,BUY,507.0,7.36,3731.52,5.0
2019-02-05,ISPH,SELL,477.0,7.19,3429.63,0.0
2019-02-05,JUFO,BUY,8098.0,11.99,97095.02,5.0
2019-02-05,EGAL,BUY,4060.0,23.91,97074.6,5.0
2019-02-05,CCAP,BUY,25824.0,3.76,97098.23999999999,5.0
2019-02-05,VLMR,BUY,49793.0,1.95,97096.34999999999,5.0
2019-02-05,ORHD,BUY,329.0,7.46,2454.34,5.0
2019-02-05,RAYA,BUY,29019.0,0.26,7544.9400000000005,5.0
2019-04-17,EGCH,SELL,16130.0,5.05,81456.5,
2019-04-17,EGAL,SELL,4060.0,18.05,73283.0,
2019-04-17,CCAP,SELL,25824.0,3.7,95548.8,
2019-04-17,EFID,BUY,4937.0,19.69,97209.53000000001,5.0
2019-04-17,HELI,BUY,10875.0,8.94,97222.5,5.0
2019-04-17,ETEL,BUY,105.0,14.36,1507.8,5.0
2019-04-17,OIH,BUY,29781.0,2.16,64326.96000000001,5.0
2019-04-17,ORWE,SELL,946.0,7.94,7511.240000000001,0.0
2019-04-17,ISPH,SELL,1366.0,8.01,10941.66,0.0
2019-04-17,JUFO,SELL,607.0,12.98,7878.860000000001,0.0
2019-04-17,VLMR,SELL,4146.0,2.13,8830.98,0.0
2019-04-17,ORHD,BUY,835.0,7.02,5861.7,5.0
2019-05-21,ORHD,SELL,13850.0,5.93,82130.5,
2019-05-21,RAYA,SELL,373407.0,0.27,100819.89,
2019-05-21,JUFO,SELL,7491.0,11.5,86146.5,
2019-05-21,VLMR,SELL,45647.0,2.15,98141.05,
2019-05-21,OIH,SELL,29781.0,1.94,57775.14,
2019-05-21,EFID,SELL,498.0,20.01,9964.980000000001,0.0
2019-05-21,HELI,BUY,2643.0,6.57,17364.510000000002,5.0
2019-05-21,TMGH,BUY,8483.0,10.47,88817.01000000001,5.0
2019-05-21,ABUK,BUY,3686.0,24.09,88795.74,5.0
2019-05-21,ETEL,BUY,318.0,12.53,3984.54,5.0
2019-05-21,ORWE,BUY,1919.0,6.27,12032.13,5.0
2019-05-21,ISPH,SELL,421.0,7.58,3191.18,0.0
2019-05-21,COMI,BUY,2564.0,34.64,88816.96,5.0
2019-05-21,EAST,BUY,7546.0,11.77,88816.42,5.0
2019-07-09,ETEL,SELL,7088.0,14.59,103413.92,
2019-07-09,ORWE,SELL,14165.0,6.81,96463.65,
2019-07-09,ISPH,SELL,11718.0,7.77,91048.86,
2019-07-09,HELI,SELL,13518.0,7.61,102871.98000000001,
2019-07-09,TMGH,SELL,8483.0,10.69,90683.26999999999,
2019-07-09,ABUK,SELL,3686.0,23.75,87542.5,
2019-07-09,COMI,SELL,2564.0,36.63,93919.32,
2019-07-09,EAST,SELL,7546.0,11.87,89571.01999999999,
2019-08-21,EFID,BUY,394.0,19.69,7757.860000000001,5.0
2019-08-21,ETEL,BUY,7076.0,13.45,95172.2,5.0
2019-08-21,HRHO,BUY,9240.0,10.3,95172.0,5.0
2019-08-21,OIH,BUY,35380.0,2.69,95172.2,5.0
2019-08-21,CCAP,BUY,34861.0,2.73,95170.53,5.0
2019-08-21,COMI,BUY,2515.0,37.84,95167.6,5.0
2019-08-21,RAYA,BUY,432601.0,0.22,95172.22,5.0
2019-09-02,EFID,SELL,4833.0,17.52,84674.16,
2019-09-02,ETEL,SELL,7076.0,13.49,95455.24,
2019-09-02,CCAP,SELL,34861.0,2.68,93427.48000000001,
2019-09-02,RAYA,SELL,432601.0,0.22,95172.22,
2019-09-02,ADIB,BUY,10042.0,9.62,96604.04,5.0
2019-09-02,TMGH,BUY,8285.0,11.66,96603.1,5.0
2019-09-02,EGCH,BUY,18578.0,5.2,96605.6,5.0
2019-09-02,HELI,BUY,10031.0,9.63,96598.53000000001,5.0
2019-09-02,HRHO,SELL,629.0,11.22,7057.38,0.0
2019-09-02,OIH,BUY,7.0,2.73,19.11,5.0
2019-09-02,ORWE,BUY,12562.0,7.69,96601.78,5.0
2019-09-02,AMOC,BUY,21709.0,4.45,96605.05,5.0
2019-09-02,COMI,SELL,123.0,40.39,4967.97,0.0
2019-09-02,ORHD,BUY,13432.0,7.19,96576.08,5.0
2019-10-24,HRHO,SELL,8611.0,9.9,85248.90000000001,
2019-10-24,OIH,SELL,35387.0,2.25,79620.75,
2019-10-24,COMI,SELL,2392.0,39.6,94723.2,
2019-10-24,ADIB,SELL,10042.0,8.78,88168.76,
2019-10-24,TMGH,SELL,8285.0,9.81,81275.85,
2019-10-24,EGCH,SELL,18578.0,4.36,81000.08,
2019-10-24,HELI,SELL,10031.0,9.03,90579.93,
2019-10-24,ORWE,SELL,12562.0,6.69,84039.78,
2019-10-24,AMOC,SELL,21709.0,4.04,87704.36,
2019-10-24,ORHD,SELL,13432.0,6.59,88516.88,
2019-10-24,ORAS,BUY,872.0,99.85,87069.2,5.0
2019-10-24,EAST,BUY,7527.0,11.57,87087.39,5.0
2019-11-03,EAST,SELL,7527.0,11.97,90098.19,
2019-11-03,ADIB,BUY,10004.0,8.88,88835.52,5.0
2019-11-03,HELI,BUY,9914.0,8.96,88829.44,5.0
2019-11-03,ARCC,BUY,24338.0,3.65,88833.7,5.0
2019-11-03,HRHO,BUY,8476.0,10.48,88828.48000000001,5.0
2019-11-03,OIH,BUY,37015.0,2.4,88836.0,5.0
2019-11-03,AMOC,BUY,18941.0,4.69,88833.29000000001,5.0
2019-11-03,EGAL,BUY,6536.0,13.59,88824.24,5.0
2019-11-03,COMI,BUY,2200.0,40.38,88836.0,5.0
2019-11-03,ORHD,BUY,12318.0,6.99,86102.82,5.0
2019-11-03,ORAS,SELL,25.0,104.99,2624.75,0.0
