date,strategy_equity,equal_weight_equity,etf_dca_equity,etf_buy_hold_norm
2020-02-05,827710.8799999998,830152.50150682,896931.5627824201,1.4040114613180514
2020-02-11,824121.3899999998,827872.7715068201,900592.4627824201,1.4097421203438394
2020-02-12,811376.5899999996,818198.78150682,876186.4627824201,1.3715377268385862
2020-02-16,796577.3599999998,802209.88150682,871305.26278242,1.3638968481375358
2020-02-18,788712.5899999997,792046.5415068198,862153.0127824201,1.3495702005730659
2020-02-23,784100.0399999997,792595.07150682,897541.7127824201,1.404966571155683
2020-02-24,768040.7399999998,768798.6715068199,881677.8127824201,1.3801337153772681
2020-03-03,718314.1499999998,705754.8105543798,800616.25780042,1.2387774594078318
2020-03-08,716399.6999999997,682712.53055438,803702.65780042,1.2435530085959885
2020-03-10,714868.1399999998,641684.37055438,730246.33780042,1.1298949379178604
2020-03-17,705295.8899999998,526158.6705543802,614814.97780042,0.9512893982808023
2020-03-19,705295.8899999998,512065.92055438005,571605.37780042,0.8844317096466093
2020-04-02,731760.1599999998,573926.9030153002,624651.7008216202,0.9512893982808023
2020-04-05,731760.1599999998,561981.6830153001,626533.18082162,0.9541547277936963
2020-04-06,731760.1599999998,570864.5330153002,613989.98082162,0.9350525310410696
2020-04-09,731760.1599999998,608203.6130153002,675451.66082162,1.0286532951289398
2020-04-22,731760.1599999998,603069.1630153,660399.8208216201,1.0057306590257877
2020-04-23,731760.1599999998,620617.7830152999,655382.54082162,0.9980897803247372
2020-04-29,731760.1599999998,656330.9730153002,703046.7008216202,1.0706781279847182
2020-05-07,724805.3299999997,620282.4541866899,704986.99960712,1.058261700095511
2020-05-13,719769.6299999998,621876.1741866901,725347.31960712,1.0888252148997135
2020-06-04,747607.5499999998,658322.28120545,723609.8888308001,1.0716332378223496
2020-06-07,746433.2599999999,683311.77120545,737153.2088308,1.0916905444126073
2020-06-09,742482.8199999998,681022.2912054501,772623.8088308001,1.1442215854823303
2020-06-17,749343.5699999998,678838.32120545,757790.6488308001,1.1222540592168098
2020-06-18,751066.7199999999,675033.29120545,755855.8888308001,1.119388729703916
2020-06-21,753806.7299999999,675232.8712054502,752631.2888308001,1.1146131805157593
2020-06-22,757689.1799999998,675553.1012054499,750051.6088308002,1.110792741165234
2020-06-23,764158.4999999999,679557.36120545,744892.2488308002,1.1031518624641834
2020-06-29,769666.0799999998,685303.73120545,751341.4488308001,1.1127029608404966
2020-07-06,801242.3899999999,735622.4566725801,768592.0508516,1.1232091690544412
2020-07-08,810264.4,740371.7366725802,775127.6508516,1.1327602674307544
2020-07-13,798527.1199999999,741961.10667258,776434.7708516001,1.1346704871060171
2020-07-16,743824.1499999999,697520.5966725801,745063.8908516001,1.0888252148997135
2020-07-19,732073.4199999999,691007.06667258,732646.2508516001,1.0706781279847182
2020-07-21,752520.5999999999,702353.2966725801,744410.3308516002,1.087870105062082
2020-09-03,895152.5,807381.4860162201,794129.39300145,1.146131805157593
2020-09-08,850358.7899999998,778418.82601622,788835.23300145,1.1384909264565424
2020-10-04,858077.4399999998,803826.50895536,792100.6293279701,1.1289398280802292
2020-10-20,870617.3699999998,797587.36895536,799472.05932797,1.1394460362941736
2020-10-22,831889.2799999998,771860.2689553598,794781.14932797,1.1327602674307544
2020-10-27,849741.4399999997,773739.5389553602,752562.95932797,1.072588347659981
2020-11-16,920042.2899999998,824216.47466055,798950.4414238001,1.1241642788920725
2020-11-17,927537.6,832230.22466055,802344.4414238001,1.1289398280802292
2020-11-18,923265.3699999999,825193.4546605501,822708.4414238001,1.157593123209169
2020-11-19,924471.9599999997,821712.89466055,801665.6414238001,1.127984718242598
2020-11-22,924211.0099999999,818615.1146605501,794877.6414238001,1.1184336198662845
2020-11-23,925406.0599999999,825955.1146605501,792162.4414238001,1.1146131805157593
2020-11-24,929179.3899999999,836720.03466055,794198.8414238001,1.117478510028653
2020-11-25,927945.0,836919.77466055,814562.8414238001,1.146131805157593
2020-11-26,919953.6099999998,834712.50466055,807774.8414238001,1.1365807067812799
2020-12-16,922686.3800000001,837168.88835298,815804.79379874,1.1327602674307544
2020-12-20,934477.8799999999,843053.7583529803,800671.8737987401,1.1117478510028653
2020-12-21,879249.7899999998,800721.0983529798,804111.17379874,1.1165234001910218
2020-12-27,877346.1199999999,801102.6783529801,788978.2537987401,1.0955109837631327
2020-12-30,919303.6799999999,832210.46835298,793105.41379874,1.1012416427889207
2021-01-04,939089.4400000001,859875.1571654301,810291.7592789201,1.1117478510028653
2021-01-05,948225.7300000001,871151.8071654302,808203.39927892,1.1088825214899711
2021-01-06,948867.8200000001,887143.02716543,808899.51927892,1.1098376313276026
2021-01-10,962256.6599999999,895928.24716543,817949.0792789201,1.1222540592168098
2021-01-11,967904.74,896686.99716543,837440.4392789201,1.148997134670487
2021-01-17,982781.44,929223.1771654298,854843.4392789201,1.17287488061127
2021-01-20,1017388.21,977065.95716543,835352.0792789201,1.146131805157593
2021-01-21,1023511.0599999998,984620.6971654299,865981.35927892,1.1881566380133715
2021-01-27,1031225.16,1012531.88716543,860412.39927892,1.1805157593123208
2021-01-31,1034269.1299999999,1022903.0271654301,863892.9992789201,1.1852913085004775
2021-02-02,1069094.7599999998,1100011.96331781,845036.6130044,1.146131805157593
2021-02-03,1074198.42,1122447.1433178103,871091.6430044,1.181470869149952
2021-02-07,1093173.1199999999,1169864.30331781,868274.8830044001,1.1776504297994268
2021-02-08,1086162.08,1160786.48331781,868274.8830044001,1.1776504297994268
2021-02-09,1064022.3800000001,1120295.5733178102,899963.4330044,1.2206303724928365
2021-02-10,1087590.19,1155812.64331781,856303.6530044001,1.1614135625596944
2021-02-11,1090311.48,1155610.5633178104,864049.7430044,1.1719197707736388
2021-02-14,1068725.45,1121659.9133178098,863345.5530044,1.1709646609360076
2021-02-15,1060327.62,1108325.33331781,854895.2730044001,1.1595033428844317
2021-02-16,1058198.74,1116561.54331781,861937.1730044001,1.1690544412607449
2021-02-18,1036779.4000000001,1056611.2633178101,853486.8930044,1.157593123209169
2021-02-21,1056267.09,1074558.18331781,851374.3230044,1.154727793696275
2021-02-22,1059445.5899999999,1077668.0233178101,854895.2730044001,1.1595033428844317
2021-02-23,1049441.4699999997,1068611.36331781,864049.7430044,1.1719197707736388
2021-02-24,1051325.97,1073099.8533178102,839403.0930044,1.1384909264565424
2021-02-25,1077688.39,1097544.0033178104,854895.2730044001,1.1595033428844317
2021-02-28,1059507.64,1072961.4133178098,868979.0730044,1.1786055396370583
2021-03-01,1061890.92,1067202.9734448004,871783.4080224001,1.1690544412607449
2021-03-02,1064222.45,1056443.1934448,871783.4080224001,1.1690544412607449
2021-03-03,1050486.56,1025140.6534448001,867509.9680224,1.163323782234957
2021-03-04,1060157.1099999999,1040287.1734448002,861812.0480224001,1.1556829035339062
2021-03-07,1069464.6599999997,1065806.1334448003,857538.6080224001,1.1499522445081183
2021-03-08,1055801.8399999999,1058421.2034447999,854689.6480224001,1.146131805157593
2021-03-15,1056182.82,1022515.5734448,853977.4080224001,1.1451766953199618
2021-03-17,1047861.9999999999,1039580.8534448,846142.7680224002,1.1346704871060171
2021-03-22,983292.94,970495.8934448,816940.9280224001,1.0955109837631327
2021-03-23,981343.15,947151.6134447999,796998.2080224,1.0687679083094554
2021-03-24,995692.94,973758.0834448001,792012.5280224,1.0620821394460362
2021-03-25,1007657.1299999999,969735.4834448001,809106.2880224001,1.085004775549188
2021-03-28,1006230.1299999998,980442.1334448,821926.6080224001,1.102196752626552
2021-03-30,1002529.1999999998,1003436.8734447999,812667.4880224001,1.0897803247373448
2021-03-31,991930.1299999999,1010696.3034448001,812667.4880224001,1.0897803247373448
