date,core_satellite_equity,adaptive_balanced_equity,adaptive_aggressive_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2024-08-29,1752603.8917563302,1710535.44167555,1736657.9385848702,2117559.0134090604,1812035.2503993204,1731070.8261997402,2.235294117647059
2024-09-01,1772743.3392131904,1732643.7501287702,1756452.1747361203,2157290.16111909,1848477.0575430503,1744580.36875274,2.2398692810457517
2024-09-02,1784669.5592131903,1744218.57012877,1770294.75473612,2164192.90615911,1847457.6340216906,1761888.40875274,2.262091503267974
2024-09-03,1776926.2292131903,1743952.0601287698,1759925.5547361202,2202378.9767013304,1868985.6889036507,1742035.0687527398,2.236601307189542
2024-09-04,1791232.39921319,1759859.09012877,1772798.0547361202,2196235.8460220597,1878595.5338856506,1758324.98875274,2.257516339869281
2024-09-05,1789347.7592131903,1756194.2501287702,1772566.7147361203,2200139.50424635,1874556.7118518408,1757306.86875274,2.2562091503267974
2024-09-08,1748355.31921319,1713949.80012877,1730692.94473612,2133988.43424635,1827643.7499680906,1718618.3087527398,2.206535947712418
2024-09-09,1753136.1892131902,1719167.5601287703,1738377.8047361202,2139141.76424635,1824277.6285345205,1726763.26875274,2.2169934640522877
2024-09-10,1737912.5792131901,1705453.8601287701,1719608.94473612,2123939.5642463504,1818913.3673010303,1707418.98875274,2.192156862745098
2024-09-11,1750852.02921319,1722147.3301287703,1733473.9447361203,2125532.80424635,1827503.6660675406,1722181.72875274,2.211111111111111
2024-09-12,1752593.51921319,1716935.4401287702,1733848.3847361202,2127269.32424635,1826031.7160675405,1725236.08875274,2.215032679738562
2024-09-16,1746965.32921319,1706939.3601287701,1728435.77473612,2109594.53424635,1805456.6260675404,1725745.14875274,2.2156862745098036
2024-09-17,1738339.2292131903,1702657.7601287703,1719993.5747361204,2100664.9642463503,1809151.6460675404,1712000.52875274,2.1980392156862747
2024-09-18,1735608.69921319,1699718.3601287703,1715599.8647361202,2119796.5442463504,1812118.1460675404,1706909.9287527401,2.191503267973856
2024-09-19,1758575.3592131902,1725630.0601287703,1735414.9347361203,2185897.93424635,1865045.7860675405,1717600.1887527402,2.205228758169935
2024-09-22,1781305.42921319,1746294.9201287702,1763108.6847361203,2191839.24424635,1864081.3360675403,1750180.02875274,2.2470588235294118
2024-09-23,1787481.1292131902,1749296.20012877,1770235.29473612,2183507.3142463504,1855690.1560675404,1762397.46875274,2.262745098039215
2024-09-24,1780655.87921319,1742152.30012877,1763223.84473612,2178837.1742463503,1849521.8560675404,1755270.6287527399,2.2535947712418296
2024-09-25,1778003.0092131903,1744764.6701287702,1761504.0747361202,2207024.08424635,1861372.1660675406,1746616.60875274,2.242483660130719
2024-09-26,1803369.9192131902,1766655.7201287702,1788374.7147361203,2219188.8442463507,1873185.5160675405,1777669.26875274,2.2823529411764705
2024-09-29,1807652.63921319,1771701.6301287701,1786314.8747361202,2263518.01424635,1908902.5760675406,1769015.24875274,2.2712418300653594
2024-09-30,1824906.75921319,1791475.82012877,1809677.3247361202,2256724.1342463507,1913796.5660675406,1791413.8887527399,2.3
2024-10-01,1831319.6374223302,1801076.3362630901,1813028.8833834,2273418.2072194694,1925251.5570277807,1795783.50999924,2.2928104575163397
2024-10-02,1816815.41742233,1780446.65626309,1799088.3033834,2215337.4270414095,1887851.7032943403,1790664.40999924,2.2862745098039214
2024-10-03,1817256.0474223301,1782301.33626309,1795872.9133833998,2248447.8409559797,1911654.9649930405,1781450.0299992398,2.2745098039215685
2024-10-07,1847006.5974223302,1795367.6462630902,1816175.8033834002,2270965.38702541,1942008.3523259806,1811140.80999924,2.312418300653595
2024-10-08,1834863.1074223304,1780313.2162630903,1803890.3033834002,2203312.1074215705,1905295.8112425504,1809093.1699992402,2.3098039215686277
2024-10-09,1814834.2074223303,1770305.29626309,1779970.6233834,2227781.04537075,1928324.3706343104,1771211.82999924,2.261437908496732
2024-10-10,1808958.5774223304,1761573.05626309,1772423.9133834,2210287.25537075,1916875.6601511205,1767628.45999924,2.256862745098039
2024-10-13,1760424.4474223303,1712780.8862630902,1726087.8333834002,2151911.81537075,1870629.6799930604,1717973.1899992402,2.193464052287582
2024-10-14,1754353.29742233,1709653.5262630899,1718393.5533833997,2158698.31537075,1882025.5298099902,1704663.5299992398,2.176470588235294
2024-10-15,1795997.8074223301,1753358.56626309,1757482.0433834002,2212627.3453707504,1938139.67980999,1740497.22999924,2.2222222222222223
2024-10-16,1793352.1174223302,1747327.76626309,1752849.7333834001,2265296.96537075,1929010.7498099904,1740497.22999924,2.2222222222222223
2024-10-17,1785913.7174223303,1739615.3262630901,1749256.2233834004,2233739.21537075,1909733.3698099905,1737937.6799992402,2.218954248366013
2024-10-20,1770447.72742233,1713397.70626309,1728303.7433834001,2203806.62537075,1886408.1398099905,1725651.8399992401,2.2032679738562093
2024-10-21,1784804.3574223302,1742044.30626309,1738535.5333834002,2264133.61537075,1940610.5898099903,1723604.19999924,2.200653594771242
2024-10-22,1787753.6474223302,1739680.9462630902,1749476.4033833998,2237668.45537075,1904866.9798099904,1742544.86999924,2.224836601307189
2024-10-23,1794163.0374223301,1741376.16626309,1754887.9333834,2240646.15537075,1912062.7398099904,1748687.7899992398,2.232679738562091
2024-10-24,1795650.93742233,1747079.22626309,1757739.7133834,2238250.26537075,1919627.8998099905,1747663.96999924,2.231372549019608
2024-10-27,1804079.2974223304,1751018.3462630901,1764220.9833834001,2238895.0653707497,1932498.4698099904,1754318.79999924,2.2398692810457517
2024-10-28,1813606.1374223302,1760150.93626309,1778251.3433834,2231439.27537075,1926716.0798099905,1770188.00999924,2.2601307189542483
2024-10-29,1809441.2074223303,1755445.3662630902,1775536.9533834,2213713.8053707504,1917321.6498099903,1768140.36999924,2.257516339869281
2024-10-30,1795235.7574223303,1742371.2562630903,1760427.5033834002,2187275.55537075,1897083.2998099905,1756366.4399992402,2.242483660130719
2024-10-31,1790422.8374223304,1741984.3162630901,1754865.2333834001,2207549.97537075,1906624.7698099904,1745616.32999924,2.2287581699346406
2024-11-03,1812324.6441139001,1762333.2508787103,1778534.7798568304,2225722.19901611,1917788.7782833304,1772030.7449912203,2.249673202614379
2024-11-04,1813945.4141139002,1762394.4308787102,1782312.5698568304,2222233.2011870104,1904623.7272999405,1779753.04499122,2.2594771241830065
2024-11-05,1814285.1341139,1759269.60087871,1776816.3898568302,2231022.9312000205,1925772.5964416002,1771515.92499122,2.249019607843137
2024-11-06,1824051.7841139,1771324.4108787102,1785295.2898568304,2248644.89729046,1939354.0257333205,1779753.04499122,2.2594771241830065
2024-11-07,1838127.3641139,1786481.9708787103,1802306.5298568304,2282290.5052856607,1952719.9648499705,1794168.0049912203,2.2777777777777777
2024-11-10,1848515.0541139003,1797831.5408787103,1814550.4298568303,2295836.1033098698,1957183.8448499704,1807038.5049912203,2.2941176470588234
2024-11-11,1862105.2341139,1816193.28087871,1831166.1998568303,2300693.1213340797,1965156.6348499705,1822997.92499122,2.31437908496732
2024-11-12,1864111.3741139001,1819515.8908787102,1835820.5298568304,2287075.54133408,1962072.9348499703,1827116.4849912203,2.319607843137255
2024-11-13,1851992.2441139002,1803552.29087871,1822594.3798568302,2268724.4613340795,1949149.8848499705,1815275.62499122,2.3045751633986926
2024-11-14,1857214.9641139,1803343.08087871,1826343.0998568302,2272254.8213340803,1948348.4248499705,1822997.92499122,2.31437908496732
2024-11-17,1829274.9641139,1775173.66087871,1797120.7498568303,2278144.42133408,1932293.2048499705,1790049.4449912203,2.272549019607843
2024-11-18,1806660.7541139,1747460.1508787102,1772753.0298568301,2260698.97133408,1904553.8648499704,1769456.64499122,2.2464052287581695
2024-11-19,1796368.6041139,1745334.7108787098,1766110.2698568301,2226607.76133408,1886664.7248499705,1762249.16499122,2.237254901960784
2024-11-20,1805986.7541139,1756905.28087871,1779420.4898568303,2213519.55133408,1884735.7748499706,1776664.12499122,2.2555555555555555
2024-11-21,1798507.6541139004,1744994.0008787103,1768980.4298568303,2220879.4913340798,1880283.0648499706,1767912.1849912202,2.2444444444444445
2024-11-24,1793647.7241139002,1737413.5008787103,1765573.0498568304,2200451.9113340797,1858608.4248499703,1769971.4649912203,2.2470588235294118
2024-11-25,1786350.9141139002,1733593.4308787102,1758361.4098568303,2197201.73133408,1867244.1048499707,1756071.3249912201,2.2294117647058824
2024-11-26,1784929.7941139,1728177.4608787103,1752929.8698568302,2212869.54133408,1879824.2248499705,1748863.8449912202,2.2202614379084964
2024-11-27,1779154.7941139,1716134.56087871,1745342.5898568302,2190151.36133408,1863776.7248499705,1747319.38499122,2.218300653594771
2024-11-28,1766829.3641139,1710790.02087871,1732148.5398568301,2205419.21133408,1870115.6954422104,1727241.40499122,2.1928104575163396
2024-12-01,1801487.2743458604,1740297.6614318,1767338.95040992,2254144.8057557596,1891004.8697608607,1767709.20740418,2.231372549019608
2024-12-02,1806246.3743458604,1739906.5214318002,1770262.86040992,2257437.24852989,1890930.1196948404,1774440.34740418,2.2398692810457517
2024-12-03,1810737.7443458603,1746723.4414318,1773169.4204099202,2250161.57199028,1901278.4697788807,1776511.4674041802,2.242483660130719
2024-12-04,1818927.45434586,1751616.1514317999,1779746.6104099199,2287047.7673054095,1916899.6001630404,1781689.2674041798,2.249019607843137
2024-12-05,1826052.7943458601,1757722.2314318,1788570.78040992,2297489.79392506,1911261.2503551205,1794115.98740418,2.264705882352941
2024-12-08,1846492.3143458604,1776447.2514318004,1807455.72040992,2320592.0700735208,1935009.7402971003,1813273.84740418,2.288888888888889
2024-12-09,1841939.85434586,1772750.0814318,1805604.3204099198,2293832.46814775,1915562.5000890205,1814827.18740418,2.2908496732026142
2024-12-10,1829948.1243458602,1760257.4314318001,1792530.7404099198,2287519.4481477495,1902007.9702060705,1803436.02740418,2.276470588235294
2024-12-11,1814874.0743458602,1745597.0114318002,1774210.05040992,2279036.35814775,1905410.4007482904,1780653.70740418,2.2477124183006536
2024-12-12,1820552.49434586,1750646.6114318,1780371.62040992,2301907.4881477496,1907347.3707482903,1787902.6274041801,2.256862745098039
2024-12-15,1818531.4143458602,1744353.7214318002,1776106.07040992,2298453.06814775,1901677.6507482904,1787384.84740418,2.2562091503267974
2024-12-16,1821635.6743458603,1750405.6614318,1782035.8804099201,2323958.69814775,1907266.8407482903,1789455.9674041802,2.2588235294117647
2024-12-17,1817206.18434586,1746228.1814318001,1780642.56040992,2341277.6481477497,1898357.7107482902,1786867.0674041798,2.2555555555555555
2024-12-18,1804671.25434586,1730313.7714318002,1768582.34040992,2297409.38814775,1874110.6907482904,1779100.36740418,2.245751633986928
2024-12-19,1801523.3843458602,1728980.2614318002,1763156.65040992,2303003.22814775,1875887.7407482904,1773922.5674041798,2.2392156862745094
2024-12-22,1784668.1043458604,1712386.3814318003,1744599.93040992,2293162.18814775,1869474.4107482904,1752693.58740418,2.212418300653595
2024-12-23,1794796.6243458604,1720952.3514318003,1756475.32040992,2289182.4081477495,1872850.4307482904,1765638.08740418,2.2287581699346406
2024-12-24,1781426.72434586,1711870.4014318003,1744722.5904099199,2288453.3381477497,1862058.5407482905,1751140.24740418,2.210457516339869
2024-12-25,1775776.08434586,1706246.9314318001,1738186.61040992,2278710.9281477495,1863999.2307482904,1742337.98740418,2.199346405228758
2024-12-26,1776770.3143458604,1705969.6214318003,1738398.6604099204,2282077.51814775,1861133.0407482903,1744926.8874041801,2.2026143790849675
2024-12-29,1761854.6543458605,1692232.7914318005,1724436.7204099202,2286346.5981477504,1841324.9307482904,1731982.3874041801,2.186274509803922
2024-12-30,1747655.35434586,1673004.5714318,1707442.45040992,2264971.03814775,1820194.9307482904,1720591.22740418,2.171895424836601
2024-12-31,1754706.3143458602,1684732.1114318003,1713168.2004099202,2314868.43814775,1856941.9807482904,1715413.4274041802,2.165359477124183
2025-01-02,1782092.27676297,1708870.8441263402,1740513.87849006,2351428.72221428,1893467.9856553709,1739392.4907415,2.183006535947712
2025-01-05,1798715.84676297,1725528.2341263401,1760197.7884900603,2357201.2918911697,1906111.7256553704,1757619.4407415001,2.205882352941176
2025-01-06,1799776.49676297,1728336.8241263404,1767099.3684900603,2333250.1927635306,1891586.8056553705,1764910.2207415001,2.215032679738562
2025-01-08,1773596.4167629702,1695581.6441263403,1731160.7184900602,2329368.43440219,1870174.5556553707,1736788.6407415003,2.179738562091503
2025-01-09,1770511.23676297,1693856.9741263404,1729973.46849006,2325073.97812068,1847620.2556553707,1741475.5707415,2.1856209150326795
2025-01-12,1749228.1467629701,1673415.4041263403,1706799.82849006,2329988.3756406903,1821245.9656553706,1722207.0807415002,2.161437908496732
2025-01-13,1729761.2267629702,1651782.7441263401,1688460.7884900603,2272155.72363989,1776459.1456553706,1712833.2207415001,2.149673202614379
2025-01-14,1696161.1567629701,1620185.4141263403,1653162.0184900602,2319113.9316390897,1765556.6856553706,1670130.0807415002,2.096078431372549
2025-01-15,1733043.80676297,1649936.5541263402,1686468.1084900603,2412653.95163909,1833559.3656553703,1694606.2707415,2.126797385620915
2025-01-16,1758386.93676297,1670889.71412634,1711953.4284900601,2460373.1016390896,1861102.2656553707,1719082.4607415,2.157516339869281
2025-01-19,1779343.5267629703,1691539.6841263403,1735364.0284900602,2483525.5716390894,1903255.7756553707,1731580.9407415001,2.173202614379085
2025-01-20,1775071.5867629703,1688085.4541263403,1733485.2584900602,2446056.1516390904,1870045.6556553706,1738871.7207415001,2.1823529411764704
2025-01-21,1782556.15676297,1696628.67412634,1741992.4884900602,2477949.36163909,1913226.1056553705,1732101.7107415,2.1738562091503266
2025-01-22,1785484.64676297,1704545.78412634,1742662.25849006,2500100.7016390897,1918301.5856553705,1734184.7907415,2.176470588235294
2025-01-23,1788999.1467629701,1719153.0241263402,1750159.4784900602,2496699.7216390898,1938464.1056553703,1731060.1707415003,2.172549019607843
