rebalance_date,feature,training_months,training_rows,monthly_ic_count,raw_ic_mean,weight,warmup_complete
2023-05-01,residual_strength_63_126b,93,2295,86,-0.0533796215967387,-0.05766756267185083,True
2023-05-01,residual_strength_126_126b,93,2295,80,-0.10039293354037473,-0.10845741527519984,True
2023-06-01,rel_mom_21,94,2321,93,0.03644108888292184,0.040217195985713716,True
2023-06-01,rel_mom_63,94,2321,91,-0.055135226322622626,-0.06084846174211812,True
2023-06-01,rel_mom_126,94,2321,87,-0.1251067047911987,-0.13807054124753274,True
2023-06-01,ratio_vs_sma50,94,2321,92,0.009849202021718823,0.01086979835544897,True
2023-06-01,ratio_vs_sma200,94,2321,80,-0.11981766405556522,-0.1322334382859612,True
2023-06-01,sma50_vs_sma200,94,2321,80,-0.1341146669262628,-0.14801192855847947,True
2023-06-01,vol_adj_rel_mom_63,94,2321,91,-0.0615905628857859,-0.06797271471240053,True
2023-06-01,volume_ratio_20_63,94,2321,91,0.06387948674462024,0.07049882197892236,True
2023-06-01,mom63_volume_score,94,2321,91,-0.048040100392592544,-0.05301812300037249,True
2023-06-01,down_day_excess_63,94,2321,93,-0.07238175427743933,-0.07988211348233858,True
2023-06-01,residual_strength_21_126b,94,2321,90,0.030842399755804727,0.03403835817404018,True
2023-06-01,residual_strength_63_126b,94,2321,87,-0.051708984429353066,-0.05706718500368724,True
2023-06-01,residual_strength_126_126b,94,2321,81,-0.09719930969060962,-0.1072713194729844,True
2023-07-04,rel_mom_21,95,2347,94,0.030841561023374486,0.035223315044349134,True
2023-07-04,rel_mom_63,95,2347,92,-0.053930207604697425,-0.0615922356014251,True
2023-07-04,rel_mom_126,95,2347,88,-0.12352575253201353,-0.14107543046306426,True
2023-07-04,ratio_vs_sma50,95,2347,93,0.006541385034627461,0.007470739426141531,True
2023-07-04,ratio_vs_sma200,95,2347,81,-0.11861278205762271,-0.13546445938764107,True
2023-07-04,sma50_vs_sma200,95,2347,81,-0.13015018280361085,-0.14864101361460946,True
