date,relative_ic_equity,etf_dca_equity,etf_buy_hold_norm
2022-03-16,419498.0989053902,379682.35645113,0.7235294117647059
2022-03-17,420235.4989053902,389971.75645113,0.7431372549019607
2022-03-20,432533.9389053902,390657.71645113005,0.7444444444444445
2022-03-21,441437.1289053902,399575.19645113003,0.761437908496732
2022-03-22,441255.6789053902,421525.91645113,0.8032679738562091
2022-03-23,441261.4289053902,424612.73645113007,0.8091503267973856
2022-03-24,443902.8289053902,427356.57645113004,0.8143790849673203
2022-03-27,439180.0989053901,425984.65645113,0.8117647058823529
2022-03-28,426821.91890539025,420153.99645113,0.8006535947712418
2022-03-29,433932.0189053902,409178.63645113003,0.7797385620915032
2022-03-30,427555.6989053902,414666.31645113,0.7901960784313725
2022-03-31,427538.0589053902,409178.63645113003,0.7797385620915032
2022-04-03,446222.6867992803,418941.01792971004,0.7797385620915032
2022-04-04,447628.57679928024,430880.45792971004,0.8019607843137254
2022-04-05,442909.21679928026,429475.81792971,0.7993464052287581
2022-04-06,444169.8867992802,427368.85792971,0.7954248366013071
2022-04-07,440032.05679928017,426315.3779297101,0.7934640522875817
2022-04-10,432655.8667992802,417887.53792971006,0.7777777777777778
2022-04-11,421051.2567992802,410513.17792971,0.7640522875816993
2022-04-12,425913.20679928025,404192.29792971,0.7522875816993464
2022-04-13,424593.64679928025,410513.17792971,0.7640522875816993
2022-04-14,416061.0567992803,408406.21792971005,0.7601307189542483
2022-04-17,408385.4967992802,402436.4979297101,0.7490196078431373
2022-04-18,412356.7367992802,403489.97792971006,0.7509803921568627
2022-04-19,415556.7067992802,404543.45792971004,0.7529411764705882
2022-04-20,412335.47679928027,403841.13792971004,0.7516339869281046
2022-04-27,422579.56679928023,406299.25792971003,0.7562091503267974
2022-04-28,434104.0367992802,407703.89792971,0.7588235294117647
2022-05-08,445970.4867944902,430019.83745751006,0.7816993464052288
2022-05-09,443447.00679449027,432177.07745751,0.7856209150326797
2022-05-10,438616.8567944902,423907.65745751,0.7705882352941176
2022-05-11,438268.62679449026,421031.33745751006,0.7653594771241831
2022-05-15,426157.8967944901,416357.31745751004,0.7568627450980392
2022-05-16,424023.7467944902,410964.21745751,0.7470588235294117
2022-05-17,422099.7667944902,408087.89745751,0.741830065359477
2022-05-18,423407.6967944902,407368.81745751004,0.7405228758169934
2022-05-23,421520.29679449025,408087.89745751,0.741830065359477
2022-05-24,413176.35679449025,410245.13745751005,0.7457516339869281
2022-05-26,391108.6767944902,400178.01745751005,0.7274509803921568
2022-05-29,388873.26679449016,398739.85745751,0.7248366013071895
2022-05-30,388381.3167944902,394425.37745751004,0.7169934640522876
2022-05-31,386066.8667944902,395144.45745751006,0.7183006535947712
2022-06-01,392465.3314848602,406200.14828183,0.7209150326797384
2022-06-05,395847.2014848602,400676.24828183005,0.7111111111111111
2022-06-06,394909.27148486016,399571.46828183,0.7091503267973855
2022-06-07,402273.2514848602,399939.72828183003,0.7098039215686274
2022-06-08,414370.0914848602,402149.28828183,0.7137254901960783
2022-06-09,414900.9514848602,409514.48828183004,0.7267973856209149
2022-06-12,412168.9614848602,409514.48828183004,0.7267973856209149
2022-06-13,405000.0214848602,403990.5882818301,0.7169934640522876
2022-06-14,404122.37148486025,401044.50828183006,0.711764705882353
2022-06-15,402670.49148486013,399571.46828183,0.7091503267973855
2022-06-16,403595.1314848602,399203.20828183,0.7084967320261437
2022-06-19,399230.3214848602,395152.3482818301,0.7013071895424836
2022-06-20,395760.60148486024,389628.44828183006,0.6915032679738562
2022-06-21,393908.5814848602,387787.14828183,0.688235294117647
2022-06-22,393249.92148486024,388523.6682818301,0.6895424836601307
2022-06-23,387779.8214848602,385209.32828183006,0.6836601307189543
2022-06-26,387489.5214848602,378212.38828183,0.6712418300653594
2022-06-29,376952.31148486026,368269.36828183004,0.6535947712418301
2022-07-03,371169.2219515503,379658.2208068301,0.6568627450980392
2022-07-04,352097.16195155017,370591.98080683005,0.6411764705882353
2022-07-05,348765.15195155016,357748.1408068301,0.6189542483660131
2022-07-06,350599.19195155025,356992.62080683,0.6176470588235293
2022-07-07,354248.80195155024,357370.3808068301,0.6183006535947713
2022-07-17,351663.73195155023,361147.98080683005,0.6248366013071895
2022-07-18,357322.1019515502,361147.98080683005,0.6248366013071895
2022-07-19,365330.5519515502,365303.34080683003,0.6320261437908496
2022-07-20,372912.3919515502,371725.26080683,0.6431372549019607
2022-07-21,386693.77195155015,374747.34080683003,0.6483660130718953
2022-07-24,391562.12195155025,381924.78080683004,0.6607843137254902
2022-07-26,394940.8219515502,379658.2208068301,0.6568627450980392
2022-07-27,390961.64195155015,384191.34080683003,0.6647058823529411
2022-07-28,391128.2419515501,381547.02080683,0.6601307189542484
2022-07-31,395054.4219515502,384569.10080683004,0.665359477124183
2022-08-01,404454.3919482002,398122.04085584,0.6718954248366013
2022-08-02,407461.0619482002,395411.15085584007,0.6673202614379086
2022-08-03,413286.6819482002,395798.42085584,0.6679738562091503
2022-08-04,441358.26194820023,400058.39085584,0.6751633986928104
2022-08-07,449681.1419482002,417485.54085584,0.7045751633986927
2022-08-08,442857.6919482002,424456.40085584007,0.7163398692810458
2022-08-09,441132.4719482002,420970.97085584,0.7104575163398692
2022-08-10,439282.6319482002,417872.81085584,0.7052287581699346
2022-08-11,443616.59194820025,417485.54085584,0.7045751633986927
2022-08-14,444561.1719482002,418647.35085584,0.7065359477124183
2022-08-15,442276.0119482002,418260.08085584006,0.7058823529411765
2022-08-16,438571.6819482002,415549.19085584005,0.7013071895424836
2022-08-17,447819.22194820025,412451.03085584,0.696078431372549
2022-08-18,447304.0619482002,421358.24085584003,0.7111111111111111
2022-08-21,460220.4119482002,423294.59085584,0.7143790849673202
2022-08-22,455883.55194820033,433363.61085584003,0.7313725490196078
2022-08-23,447880.5119482003,429490.91085584,0.7248366013071895
2022-08-24,445806.8719482003,424843.67085584,0.7169934640522876
2022-08-25,457476.7419482003,423294.59085584,0.7143790849673202
2022-08-28,458826.35194820014,431039.99085584003,0.7274509803921568
2022-08-29,458284.47194820025,426392.75085584004,0.7196078431372549
2022-08-30,461504.3419482002,424069.13085584,0.7156862745098038
2022-08-31,458014.0519482003,424456.40085584007,0.7163398692810458
2022-09-01,462872.1029949002,428671.08287664,0.7071895424836602
2022-09-04,466732.5229949002,425897.82287664,0.7026143790849673
2022-09-05,475202.5229949002,428671.08287664,0.7071895424836602
2022-09-06,487924.83299490024,436198.50287664,0.7196078431372549
2022-09-07,488117.23299490026,442933.56287664,0.730718954248366
2022-09-08,488924.9129949002,438575.58287664,0.7235294117647059
2022-09-11,492956.63299490017,440160.30287664,0.7261437908496732
2022-09-12,492735.18299490015,443725.92287664,0.7320261437908496
2022-09-13,491527.2129949002,447291.54287664,0.7379084967320261
2022-09-14,480820.7729949002,445310.64287664,0.7346405228758169
2022-09-15,477208.4429949002,436990.86287664,0.7209150326797384
2022-09-18,454985.81299490016,431840.52287664,0.7124183006535948
2022-09-19,460708.54299490026,418370.40287664003,0.6901960784313725
2022-09-20,468414.4929949002,422332.20287664,0.6967320261437908
2022-09-21,465135.60299490025,428671.08287664,0.7071895424836602
2022-09-22,465148.9329949001,426690.18287664,0.7039215686274509
2022-09-25,458324.3629949002,425501.64287664,0.7019607843137254
2022-09-26,459014.68299490015,423916.92287664,0.6993464052287581
2022-09-27,459340.84299490025,421143.66287664004,0.6947712418300653
2022-09-28,454699.7729949002,420747.48287664,0.6941176470588234
2022-09-29,457201.73299490026,415993.32287664,0.6862745098039216
2022-10-02,458087.2284644802,430502.7269062401,0.6947712418300653
2022-10-03,458339.82846448023,424428.0269062401,0.6849673202614379
2022-10-04,466950.8384644803,424428.0269062401,0.6849673202614379
2022-10-05,468684.7984644802,434552.5269062401,0.7013071895424836
2022-10-09,464532.6984644802,438197.34690624004,0.7071895424836602
2022-10-10,462798.95846448024,435362.48690624005,0.7026143790849673
2022-10-11,456934.76846448024,435362.48690624005,0.7026143790849673
2022-10-12,449861.8284644802,432122.64690624,0.6973856209150326
2022-10-13,452363.3384644802,428882.80690624006,0.692156862745098
2022-10-16,460855.2584644802,431312.68690624007,0.696078431372549
2022-10-17,471455.1384644802,439817.26690624,0.7098039215686274
2022-10-18,484197.0484644802,444272.04690624005,0.7169934640522876
2022-10-19,484303.6884644802,448726.8269062401,0.7241830065359477
2022-10-20,489706.7884644802,448321.84690624004,0.7235294117647059
2022-10-23,486742.04846448026,453181.60690624005,0.7313725490196078
2022-10-24,483090.7584644802,452371.64690624,0.7300653594771241
2022-10-25,490120.60846448026,455611.48690624005,0.7352941176470588
2022-10-26,493922.9184644802,462091.16690624005,0.7457516339869281
2022-10-27,516455.0984644802,465735.98690624005,0.7516339869281046
2022-10-30,519357.0584644802,492059.68690624007,0.7941176470588235
2022-10-31,533082.3684644803,489629.80690624006,0.7901960784313725
2022-11-01,544495.2259509702,511414.15868094005,0.8091503267973856
2022-11-02,532749.3759509702,514305.78868094005,0.8137254901960783
2022-11-03,531552.6359509702,505630.89868094004,0.7999999999999999
2022-11-06,526138.9359509703,506870.16868094006,0.8019607843137254
2022-11-07,534273.7159509702,502739.26868094003,0.7954248366013071
2022-11-08,525716.4359509702,514718.87868094,0.8143790849673203
2022-11-09,525514.9859509702,506870.16868094006,0.8019607843137254
2022-11-10,534642.0859509703,529590.11868094,0.8379084967320262
2022-11-13,551230.4959509703,528350.84868094,0.8359477124183006
2022-11-14,553862.8759509703,538678.09868094,0.8522875816993463
2022-11-15,556995.4259509702,545287.5386809399,0.8627450980392156
2022-11-16,570223.9359509702,545287.5386809399,0.8627450980392156
2022-11-17,572280.5259509702,576269.2886809399,0.9117647058823528
2022-11-20,571052.1459509702,562224.22868094,0.8895424836601307
2022-11-21,571399.5859509702,562637.31868094,0.8901960784313725
2022-11-22,578572.1959509702,563050.40868094,0.8908496732026144
2022-11-23,582980.3659509703,570486.02868094,0.9026143790849673
2022-11-24,587509.9759509702,576682.37868094,0.9124183006535947
2022-11-27,601716.2759509701,578334.73868094,0.9150326797385621
2022-11-28,595727.2359509702,555614.7886809399,0.8790849673202613
2022-11-29,602678.9459509702,576682.37868094,0.9124183006535947
