candidate_idx,max_positions,selected_seed_current_fixed5,train_score,oos_balanced_score,params,train_final_equity,train_total_contributions,train_money_multiple,train_twr_total_return,train_cagr,train_sharpe,train_max_drawdown,train_return_dd,train_profit_factor,train_closed_trades,test_final_equity,test_total_contributions,test_money_multiple,test_twr_total_return,test_cagr,test_sharpe,test_max_drawdown,test_return_dd,test_profit_factor,test_closed_trades,full_final_equity,full_total_contributions,full_money_multiple,full_twr_total_return,full_cagr,full_sharpe,full_max_drawdown,full_return_dd,full_profit_factor,full_closed_trades,full_total_fees,full_fee_to_contributions_ratio,full_mean_turnover_pct,test_excess_twr_vs_etf_dca,test_excess_cagr_vs_etf_dca,test_drawdown_saving_vs_etf_dca
5,5,False,-0.550948029843099,0.8504378334887626,"{""atr_len"": 19, ""bb_len"": 27, ""bb_std"": 2.1600078026785963, ""cci_len"": 21, ""cci_reclaim"": -69.02252079404023, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 54, ""max_positions"": 5, ""rsi_entry"": 31.704300967733214, ""rsi_len"": 8, ""rsi_reclaim"": 54.62045081043727, ""scan_mode"": ""weekly"", ""stop_atr"": 1.8885109191078646, ""target_atr"": 6.0189997313266845, ""top_n"": 9, ""trail_atr"": 2.69018186628454, ""trend_len"": 98}",1275094.3289231607,1150000.0,1.1087776773244875,0.11327162618242448,0.022430286741943473,0.36754710523559725,0.16423822898993223,0.13657165496663048,0.0,0.0,1965133.0616879119,280000.0,7.018332363171114,0.29504122203131167,0.12698538740977394,1.6019172036835094,0.0560055831073214,2.2673701506943797,0.0,0.0,1965133.0616879119,1430000.0,1.374218924257281,0.44255701984649054,0.05370830738932564,0.7858412141775668,0.16423822898993223,0.3270146525546007,2.482416025719312,62.0,49932.39604709,0.03491775947348951,0.014122335340260386,-0.640151719296671,-0.2300060092343199,0.21894137770362454
6,5,False,-0.11644859186639614,1.1342772492778708,"{""atr_len"": 12, ""bb_len"": 18, ""bb_std"": 2.174728801898782, ""cci_len"": 33, ""cci_reclaim"": -57.24053484938763, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 44, ""max_positions"": 5, ""rsi_entry"": 28.642559260257773, ""rsi_len"": 10, ""rsi_reclaim"": 56.414678430763, ""scan_mode"": ""monthly"", ""stop_atr"": 1.5153772908610055, ""target_atr"": 6.188538182868202, ""top_n"": 12, ""trail_atr"": 4.583721606043813, ""trend_len"": 126}",1388030.406758671,1150000.0,1.2069829623988444,0.36064136159770377,0.0657329762023875,0.9236840521654796,0.1074488871557997,0.6117604187661376,0.0,0.0,2266521.0337649807,280000.0,8.094717977732074,0.40234936964623746,0.16924134034967286,1.8685039821850125,0.05297001216179631,3.1950406171840604,0.0,0.0,2266521.0337649807,1430000.0,1.584979743891595,0.9091782692308676,0.09672613961353149,1.2480431136842174,0.1074488871557997,0.9002060623790329,3.337232436891669,55.0,50945.034935020005,0.03562589855595805,0.012705885420088355,-0.5328435716817452,-0.18775005629442099,0.22197694864914963
7,5,False,-0.11845126573924329,1.2149062561010353,"{""atr_len"": 15, ""bb_len"": 35, ""bb_std"": 2.013836080920917, ""cci_len"": 26, ""cci_reclaim"": -45.14418858730892, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 45, ""max_positions"": 5, ""rsi_entry"": 39.049817919056345, ""rsi_len"": 13, ""rsi_reclaim"": 44.017761774942194, ""scan_mode"": ""monthly"", ""stop_atr"": 1.9247967572065265, ""target_atr"": 5.876790479744854, ""top_n"": 9, ""trail_atr"": 2.6360573888005603, ""trend_len"": 114}",1432367.4107475714,1150000.0,1.2455368789109316,0.4317534757101362,0.0770159814172029,0.9796201797711146,0.16809403278216173,0.45817201326242374,0.0,0.0,2295858.937053423,280000.0,8.199496203762225,0.3752896335839091,0.158754496669834,1.8166176401032375,0.04338307257659668,3.6593649836474533,0.0,0.0,2295858.937053423,1430000.0,1.6054957601772188,0.9702016336663628,0.10166389428031253,1.24723309415846,0.16809403278216173,0.604803707767913,2.6300151049462928,77.0,70558.51251658001,0.049341617144461544,0.017621889611054112,-0.5599033077440736,-0.19823689997425986,0.23156388823434926
8,5,False,-0.6767126601764653,1.0195183140335147,"{""atr_len"": 11, ""bb_len"": 22, ""bb_std"": 1.732126448502799, ""cci_len"": 30, ""cci_reclaim"": -79.95254388469121, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 52, ""max_positions"": 5, ""rsi_entry"": 36.78660762919664, ""rsi_len"": 15, ""rsi_reclaim"": 42.46216161324736, ""scan_mode"": ""monthly"", ""stop_atr"": 2.086171393495366, ""target_atr"": 4.190915708650939, ""top_n"": 7, ""trail_atr"": 2.6745729627289694, ""trend_len"": 106}",1211144.5818542505,1150000.0,1.0531692016123917,0.07310738150438367,0.01469324166445607,0.21226012700712885,0.24409558825885835,0.06019462198912907,0.0,0.0,2009464.6387194907,280000.0,7.176659423998181,0.38800030368996064,0.16369412819862394,1.9455300414973675,0.06259203254117174,2.6152550341123586,0.0,0.0,2009464.6387194907,1430000.0,1.405220027076567,0.492476743146665,0.05883883864711881,0.724332310996319,0.24409558825885835,0.24104834940614095,2.103479876565878,82.0,64947.74893550999,0.04541800624860839,0.01862454133926149,-0.5471926376380221,-0.1932972684454699,0.2123549282697742
9,5,False,-0.851595637868031,0.8758437348934854,"{""atr_len"": 16, ""bb_len"": 25, ""bb_std"": 2.211069102026514, ""cci_len"": 15, ""cci_reclaim"": -109.64292578421406, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 79, ""max_positions"": 5, ""rsi_entry"": 44.931486557835186, ""rsi_len"": 6, ""rsi_reclaim"": 50.858028106543976, ""scan_mode"": ""monthly"", ""stop_atr"": 1.2804850515926443, ""target_atr"": 2.809067523151059, ""top_n"": 12, ""trail_atr"": 2.4904895433519894, ""trend_len"": 152}",1243820.7654296085,1150000.0,1.081583274286616,0.3355991351622736,0.061648198634015605,0.36769398007002924,0.5986796390317475,0.10297360159720824,0.0,0.0,3385622.020634229,280000.0,12.091507216550816,1.2312808516667055,0.4493269351310907,1.8974195957283018,0.2909402899812421,1.544395707999261,0.0,0.0,3385622.020634229,1430000.0,2.3675678465973626,2.1235749468534366,0.1765882987090317,0.8085320047734496,0.5986796390317475,0.2949629270750385,1.3791641356607252,686.0,648092.4196707906,0.4532114822872661,0.1555758495684574,0.29608791033872284,0.09233553848699683,-0.015993329170296167
10,5,False,-0.6737543883656395,0.315420581194167,"{""atr_len"": 12, ""bb_len"": 36, ""bb_std"": 2.0822334551633768, ""cci_len"": 32, ""cci_reclaim"": -99.10804884417108, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 64, ""max_positions"": 5, ""rsi_entry"": 40.19576077194757, ""rsi_len"": 9, ""rsi_reclaim"": 54.20668445900644, ""scan_mode"": ""monthly"", ""stop_atr"": 2.4918770083428106, ""target_atr"": 3.4143505526715834, ""top_n"": 7, ""trail_atr"": 2.4515088749458713, ""trend_len"": 114}",1226268.2065719108,1150000.0,1.0663201796277484,0.0673044861341845,0.013556487195899747,0.17256916359745358,0.21523446883815744,0.06298474063693468,0.0,0.0,1874346.8643513331,280000.0,6.694095944111904,0.2743961206022809,0.11864227442309416,1.0501218396949639,0.16989846765208605,0.6983127985947873,0.0,0.0,1874346.8643513331,1430000.0,1.3107320729729601,0.3654849611419799,0.045480057502077065,0.44216742817413857,0.21523446883815744,0.21130471224046907,1.3322003841352243,168.0,132919.45050366994,0.09295066468788107,0.037926072906113675,-0.6607968207257018,-0.2383491222209997,0.10504849315885989
11,5,False,-0.5345362010646125,1.0937994163809757,"{""atr_len"": 16, ""bb_len"": 26, ""bb_std"": 1.6886517315835072, ""cci_len"": 26, ""cci_reclaim"": -76.9517541867338, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 85, ""max_positions"": 5, ""rsi_entry"": 36.921398389865296, ""rsi_len"": 8, ""rsi_reclaim"": 58.923902395743134, ""scan_mode"": ""monthly"", ""stop_atr"": 1.5598613298152386, ""target_atr"": 5.940825122135683, ""top_n"": 5, ""trail_atr"": 3.119383303864197, ""trend_len"": 153}",1245655.7012044808,1150000.0,1.083178870612592,0.11291405454389247,0.022362390177512514,0.30715711287012054,0.12507595539599115,0.17879048060606906,0.0,0.0,2266301.3598228116,280000.0,8.093933427938612,0.5486158434227049,0.2241289751982296,1.8270187241018396,0.07802697838810113,2.872454884558346,0.0,0.0,2266301.3598228116,1430000.0,1.5848261257502179,0.7269515270333651,0.08113009989615128,0.8760418210770151,0.12507595539599115,0.648646653461834,2.310805325599168,94.0,79984.97293219001,0.05593354750502798,0.02119069695444498,-0.38657709790527783,-0.13286242144586424,0.1969199824228448
12,5,False,-0.3279769793434152,3.0769250374949157,"{""atr_len"": 21, ""bb_len"": 27, ""bb_std"": 1.7493157265939547, ""cci_len"": 26, ""cci_reclaim"": -79.79034233061174, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 64, ""max_positions"": 5, ""rsi_entry"": 36.6783230693639, ""rsi_len"": 14, ""rsi_reclaim"": 50.94249041423815, ""scan_mode"": ""monthly"", ""stop_atr"": 2.0450487144469607, ""target_atr"": 4.309534112836154, ""top_n"": 6, ""trail_atr"": 4.316864586743108, ""trend_len"": 137}",1367521.3965556398,1150000.0,1.189149040483165,0.28480082029016973,0.05317194229636857,0.6324034224248644,0.16838450131974947,0.3157769383739128,0.0,0.0,2489295.4745205105,280000.0,8.890340980430395,0.5713966386347102,0.23242267965607422,2.6695178749059267,0.019962737142691145,11.64282623143039,0.0,0.0,2489295.4745205105,1430000.0,1.7407660660982591,1.0230025901496487,0.10583163533815543,1.2193823687917085,0.16838450131974947,0.6285117365831023,4.6133213455839535,55.0,49589.804154490026,0.034678184723419596,0.012628394729777021,-0.36379630269327246,-0.12456871698801963,0.2549842236682548
13,5,False,-0.36776513770913977,0.4841582029952551,"{""atr_len"": 13, ""bb_len"": 23, ""bb_std"": 1.9659557342888294, ""cci_len"": 21, ""cci_reclaim"": -94.53115497389543, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 52, ""max_positions"": 5, ""rsi_entry"": 28.12571820140018, ""rsi_len"": 14, ""rsi_reclaim"": 45.04260969676636, ""scan_mode"": ""monthly"", ""stop_atr"": 0.9944597800252718, ""target_atr"": 3.7159295212539725, ""top_n"": 8, ""trail_atr"": 3.82790662095594, ""trend_len"": 154}",1223736.3844783804,1150000.0,1.0641185951985916,0.1239618125117461,0.024452220330451357,0.6440159098600989,0.05879739650744764,0.41587250087432165,0.0,0.0,1601230.8289239004,280000.0,5.718681531871073,0.06981403380760764,0.0316959445390359,1.048155179538926,0.023974964280472744,1.322043452004297,0.0,0.0,1601230.8289239004,1430000.0,1.119741838408322,0.20243012048890163,0.02666945431833745,0.7440550010280911,0.05879739650744764,0.45358223156971467,2.1606724201857124,41.0,30316.41505609999,0.021200290249020974,0.009319452980266157,-0.865378907520375,-0.32529545210505795,0.2509719965304732
14,5,False,-0.37229844835584625,1.2590163444107794,"{""atr_len"": 10, ""bb_len"": 41, ""bb_std"": 1.748816762318778, ""cci_len"": 29, ""cci_reclaim"": -118.69497701940152, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 51, ""max_positions"": 5, ""rsi_entry"": 28.62880794825692, ""rsi_len"": 12, ""rsi_reclaim"": 52.58617180261855, ""scan_mode"": ""monthly"", ""stop_atr"": 1.3646176032343653, ""target_atr"": 4.255808658170774, ""top_n"": 7, ""trail_atr"": 4.6832074704087585, ""trend_len"": 73}",1216940.9117140805,1150000.0,1.0582094884470266,0.12378190108403841,0.02441831848716669,0.7382290602711564,0.07370730988009688,0.33128760942285246,0.0,0.0,1758591.9659898807,280000.0,6.280685592821003,0.19726679760997667,0.08681179321127352,1.6021583626851523,0.01996271548398021,4.348696612990288,0.0,0.0,1758591.9659898807,1430000.0,1.2297845916013153,0.3462360993383584,0.043363018630993455,1.0693357573843791,0.07370730988009688,0.588313678813324,4.820976531995594,23.0,17444.26114012,0.01219878401406993,0.005297827902164656,-0.737926143718006,-0.2701796034328203,0.25498424532696573
15,5,False,-0.06884381958289801,1.5605665045506896,"{""atr_len"": 19, ""bb_len"": 27, ""bb_std"": 1.7324577481667136, ""cci_len"": 17, ""cci_reclaim"": -71.92428637347884, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 79, ""max_positions"": 5, ""rsi_entry"": 43.16268415148102, ""rsi_len"": 13, ""rsi_reclaim"": 52.5731757179436, ""scan_mode"": ""monthly"", ""stop_atr"": 1.1444212852895814, ""target_atr"": 5.471723550406108, ""top_n"": 7, ""trail_atr"": 4.460335580316303, ""trend_len"": 138}",1408770.4897316513,1150000.0,1.2250178171579575,0.4952755101586892,0.08672476260869333,0.7812045820859543,0.13843456801650278,0.6264675351777373,0.0,0.0,2777076.5725791035,280000.0,9.918130616353942,0.7107170722713665,0.281793816046471,2.309790773726945,0.06442496173734691,4.373984996612209,0.0,0.0,2777076.5725791035,1430000.0,1.9420115892161562,1.5627497341789884,0.1438090261224747,1.2409787925479434,0.13843456801650278,1.0388230929815971,2.4106983228846097,144.0,138929.71786090004,0.09715364885377625,0.032558353187131205,-0.2244758690566162,-0.07519758059762283,0.21052199907359903
16,5,False,0.011894841007086487,0.7174778029254489,"{""atr_len"": 16, ""bb_len"": 20, ""bb_std"": 1.7416924972951213, ""cci_len"": 24, ""cci_reclaim"": -115.67838879362507, ""fixed_sell_fee_egp"": 5.0, ""max_hold_bars"": 80, ""max_positions"": 5, ""rsi_entry"": 34.06376498599399, ""rsi_len"": 16, ""rsi_reclaim"": 50.16518982749985, ""scan_mode"": ""monthly"", ""stop_atr"": 1.5051287037367522, ""target_atr"": 5.766816308239294, ""top_n"": 8, ""trail_atr"": 5.19395996759191, ""trend_len"": 87}",1491607.0542580017,1150000.0,1.2970496123982624,0.4510068726342762,0.0799941826065842,1.0798241868796594,0.10518411621966495,0.7605158029709118,0.0,0.0,2336376.664689473,280000.0,8.344202373890974,0.34702881630426496,0.14768306466126324,1.5538743148416965,0.08745617763862923,1.688652175853063,0.0,0.0,2336376.664689473,1430000.0,1.6338298354471839,0.9557039683170105,0.10050280350792495,1.2426112664743467,0.10518411621966495,0.955494109947517,2.3208348942432444,92.0,86694.04134553004,0.0606252037381329,0.020833889736418105,-0.5881641250237177,-0.2093083319828306,0.1874907831723167
