date,core_satellite_equity,static_top10_dca_equity,annual_top10_dca_equity,etf_dca_equity,etf_buy_hold_norm
2023-04-26,847400.8466736802,902713.41007044,844823.6042037301,849570.4994301901,1.2555555555555555
2023-04-27,850434.4966736801,919250.6900704401,862329.7942037303,846474.7494301901,1.2509803921568627
2023-04-30,862469.9366736802,932029.2700704399,864200.9342037303,862837.9994301902,1.2751633986928106
2023-05-01,861100.4517986701,920575.7198723402,851185.4104061702,866409.8740560302,1.2660130718954248
2023-05-02,848896.8517986701,911046.8098723402,850233.4881852902,849412.85405603,1.241176470588235
2023-05-03,847800.6017986701,914529.5398723403,847599.0729291902,848965.5640560301,1.2405228758169935
2023-05-07,845926.46179867,919325.1298723401,842349.5829291902,848518.2740560301,1.2398692810457514
2023-05-08,850047.3217986701,959029.12987234,863611.9029291902,845387.2440560301,1.2352941176470587
2023-05-09,858649.1617986701,939494.1898723401,846099.4229291902,865068.0040560301,1.2640522875816993
2023-05-10,851903.6817986701,958516.14987234,859297.7529291903,849860.1440560301,1.2418300653594772
2023-05-11,856419.7817986701,949840.2498723402,851270.2629291903,859700.5240560301,1.2562091503267974
2023-05-14,851077.1917986701,956946.4498723398,859683.5629291901,848518.2740560301,1.2398692810457514
2023-05-15,850588.7717986701,935960.79987234,846429.2129291903,853438.46405603,1.2470588235294116
2023-05-16,841912.2917986701,923179.18987234,840457.2129291903,843598.08405603,1.2326797385620913
2023-05-17,836990.2017986701,899405.52987234,835511.0029291903,838677.8940560301,1.2254901960784312
2023-05-18,828969.5217986701,905985.49987234,828575.9629291903,830179.3840560301,1.2130718954248365
2023-05-21,826147.8917986702,911691.61987234,829643.7229291903,825706.4840560302,1.2065359477124182
2023-05-22,825683.26179867,904181.3698723401,815419.7429291903,831073.96405603,1.2143790849673202
2023-05-23,822643.9017986701,902545.72987234,815748.3029291902,826601.0640560301,1.2078431372549019
2023-05-24,826227.3517986701,915249.17987234,825693.6929291902,827495.6440560301,1.2091503267973855
2023-05-25,838211.76179867,906926.77987234,831174.9329291902,842256.21405603,1.2307189542483659
2023-05-28,837478.1417986702,910697.43987234,833980.1629291902,840019.7640560301,1.227450980392157
2023-05-29,840989.5317986701,923195.16987234,836291.5029291902,844045.3740560302,1.2333333333333334
2023-05-30,846706.4517986701,938633.0098723401,843915.3029291903,848965.5640560301,1.2405228758169935
2023-05-31,856053.1817986701,940178.84987234,839472.5329291902,864173.4240560301,1.2627450980392156
2023-06-01,862657.2607301901,951606.76418901,845695.9543347203,870960.8080856301,1.2581699346405228
2023-06-04,861967.5007301902,946954.22544852,839087.2190206002,872770.5680856301,1.2607843137254902
2023-06-05,858103.6507301901,932355.9536938199,835690.1790206002,868698.60808563,1.2549019607843137
2023-06-06,860773.9007301901,957336.49111779,857479.8290206002,863269.32808563,1.2470588235294116
2023-06-07,863367.25073019,937754.6111177901,849125.5890206002,870508.36808563,1.2575163398692808
2023-06-08,860764.9507301901,942799.1011177901,856387.7590206002,863721.76808563,1.2477124183006536
2023-06-11,869066.4007301901,957217.63111779,864031.6690206002,872318.1280856301,1.2601307189542483
2023-06-12,874980.6007301902,968355.67111779,859372.5890206002,882724.2480856301,1.2751633986928106
2023-06-13,876200.47073019,977556.6611177899,867755.5090206002,880914.48808563,1.272549019607843
2023-06-14,880906.2307301901,979929.1811177902,864369.5790206002,889058.40808563,1.284313725490196
2023-06-15,877543.3007301901,969049.1411177899,853055.5790206003,889058.40808563,1.284313725490196
2023-06-18,880969.10073019,982451.3011177902,863509.9190206002,889510.8480856301,1.2849673202614378
2023-06-19,883604.7607301901,980790.4211177902,855294.5590206003,896749.88808563,1.2954248366013073
2023-06-20,882304.7207301902,988519.7011177901,855187.6990206002,894940.1280856301,1.29281045751634
2023-06-21,875966.4307301901,975830.4111177899,842400.7290206002,891320.60808563,1.287581699346405
2023-06-22,870807.6707301901,989699.96111779,849600.7590206002,880914.48808563,1.272549019607843
2023-06-25,870659.3207301901,981032.68111779,848019.2190206002,881366.9280856301,1.2732026143790849
2023-06-26,863692.22073019,991072.8211177901,873697.2290206002,860554.6880856301,1.2431372549019608
2023-07-04,885190.1123467901,992481.8807055899,879651.2783713102,888689.3728575301,1.2692810457516341
2023-07-05,876523.94234679,983845.01565357,874240.5795808001,878621.95285753,1.2549019607843137
2023-07-06,867746.44234679,969730.51312756,854420.7195808,874503.46285753,1.2490196078431373
2023-07-09,851372.6823467901,923824.1631275602,831726.0595808001,860775.1628575299,1.2294117647058822
2023-07-10,837422.5923467901,954840.13312756,849588.5195808002,833318.5628575301,1.1901960784313725
2023-07-11,854463.92234679,955113.99312756,859416.0495808001,853453.4028575299,1.218954248366013
2023-07-12,860300.30234679,957739.72312756,856381.3795808002,863063.21285753,1.2326797385620913
2023-07-13,863453.4023467901,970388.33312756,868073.5695808001,862605.6028575301,1.2320261437908497
2023-07-16,871084.1723467901,969903.3931275598,871072.3795808001,872215.4128575299,1.245751633986928
2023-07-17,870247.4623467901,976675.8931275601,868262.1395808002,872215.4128575299,1.245751633986928
2023-07-18,878407.2523467899,996694.01312756,876276.5995808002,880452.3928575299,1.2575163398692808
2023-07-19,880534.2823467901,992261.04312756,872634.3995808002,885028.49285753,1.2640522875816993
2023-07-24,879049.34234679,982142.72312756,870879.5795808001,883655.6628575299,1.2620915032679738
2023-07-25,875428.86234679,971181.11312756,861942.3795808001,882282.8328575301,1.2601307189542483
2023-07-26,871013.3923467901,968287.61312756,855723.2895808002,878621.95285753,1.2549019607843137
2023-07-27,866976.78234679,964251.3031275601,851862.5595808002,874503.46285753,1.2490196078431373
2023-07-30,866514.0823467901,987894.93312756,856783.5195808001,871757.8028575301,1.2450980392156863
2023-07-31,874155.32234679,991404.0531275601,857655.5495808001,882282.8328575301,1.2601307189542483
2023-08-01,885191.7989673701,993639.03657191,866561.5328260801,894256.3253825301,1.2627450980392156
2023-08-02,877224.3089673701,978452.1765719099,851770.7528260802,889164.8653825301,1.2555555555555555
2023-08-03,874774.9289673701,979196.1465719101,851173.8828260802,885924.8453825301,1.2509803921568627
2023-08-06,877787.6689673702,997761.04657191,861311.3928260802,885924.8453825301,1.2509803921568627
2023-08-07,888360.8989673699,1000736.6865719099,868490.3728260801,897959.20538253,1.2679738562091503
2023-08-08,892103.2789673699,997475.8965719099,863605.7828260802,905364.96538253,1.2784313725490195
2023-08-09,889633.99896737,999165.97657191,867316.6628260801,900273.50538253,1.2712418300653594
2023-08-10,888595.84896737,994642.1965719099,861640.9528260801,901199.22538253,1.272549019607843
2023-08-13,889226.62896737,1000361.2865719103,870322.1728260802,898422.0653825301,1.268627450980392
2023-08-14,895149.6989673701,999457.3765719101,872780.4428260801,905827.8253825301,1.2790849673202613
2023-08-15,895699.48896737,1001306.22657191,870265.5328260802,907679.26538253,1.2816993464052286
2023-08-16,898161.39896737,1016501.4265719099,870908.2428260802,910919.2853825301,1.2862745098039214
2023-08-17,900236.97896737,1001915.50657191,865877.1828260801,916010.74538253,1.2934640522875815
2023-08-20,897768.31896737,1005785.1165719099,869586.7728260802,910919.2853825301,1.2862745098039214
2023-08-21,901123.99896737,1007299.27657191,873221.0828260801,914159.3053825301,1.2908496732026142
2023-08-22,900375.4089673702,1022557.7465719101,882723.8728260802,909067.8453825301,1.2836601307189541
2023-08-23,909047.25896737,1018046.28657191,876950.2728260802,923879.3653825301,1.3045751633986928
2023-08-24,909444.8089673701,1018429.0865719101,888122.1728260801,919713.6253825302,1.2986928104575164
2023-08-27,914767.68896737,1025371.0765719101,897304.8028260802,923416.50538253,1.3039215686274508
2023-08-28,925039.76896737,1020105.8165719099,895829.7428260802,938690.8853825302,1.3254901960784313
2023-08-29,927344.8189673701,1032978.3765719101,895936.6628260801,941930.9053825302,1.3300653594771241
2023-08-30,932199.96896737,1029871.00657191,906827.8728260803,944245.20538253,1.3333333333333333
2023-08-31,938777.48896737,1031804.8165719099,906037.5528260802,953965.26538253,1.3470588235294116
2023-09-03,947156.6053178501,1035472.13441099,903836.5938694702,966849.5064069302,1.3509803921568628
2023-09-04,946029.45531785,1045274.4472381301,917710.9438694702,959365.5064069302,1.3405228758169936
2023-09-05,952065.74531785,1055486.37675894,915951.1738694703,968720.50640693,1.3535947712418301
2023-09-06,961085.5753178501,1052454.33675894,930872.7538694702,975269.0064069302,1.3627450980392157
2023-09-07,971977.7953178501,1061578.4467589401,945457.8638694702,984624.00640693,1.3758169934640523
2023-09-10,982871.1953178501,1083703.26445802,964469.5338694702,992108.00640693,1.3862745098039215
2023-09-11,985554.4453178501,1067417.49445802,949202.6038694702,1002398.50640693,1.4006535947712417
2023-09-12,972470.08531785,1067575.35445802,941590.3138694703,986962.7564069302,1.3790849673202614
2023-09-13,971609.5453178501,1077101.7144580202,954154.9438694703,980414.25640693,1.3699346405228758
2023-09-14,990264.5553178501,1097470.3044580203,963960.5638694703,1002866.2564069302,1.4013071895424838
2023-09-17,989043.1753178502,1106543.7044580202,965376.8138694703,1000527.50640693,1.3980392156862744
2023-09-18,993333.7853178501,1105817.9944580202,965465.4138694702,1006608.25640693,1.4065359477124182
2023-09-19,999695.3253178499,1104797.4844580202,976963.4838694702,1010818.00640693,1.4124183006535946
2023-09-20,1003629.0253178499,1081761.5244580205,965904.4538694702,1021108.5064069299,1.4267973856209148
2023-09-21,1002485.6953178501,1091744.0044580202,980839.7538694703,1013156.75640693,1.4156862745098038
2023-09-24,1024407.18531785,1112960.78445802,1020404.5038694702,1027657.00640693,1.4359477124183004
2023-09-25,1027755.0853178501,1122266.7844580202,1015120.1138694703,1034673.25640693,1.445751633986928
2023-09-26,1036080.21531785,1120315.60445802,1030996.5238694702,1039818.50640693,1.4529411764705882
2023-09-27,1038854.41531785,1105637.8344580203,1035892.4038694702,1041689.50640693,1.4555555555555555
2023-10-01,1042991.2399846601,1124748.4493419202,1049779.7285072703,1041712.48618883,1.4418300653594769
2023-10-02,1034626.56998466,1104413.33150179,1036105.8140865202,1035573.7561888301,1.4333333333333333
2023-10-03,1026216.8899846601,1088383.79942196,1026738.4245957301,1027546.1861888302,1.4222222222222223
2023-10-04,1022089.1299846601,1086448.6371460499,1036259.0745957302,1017629.7761888301,1.4084967320261437
2023-10-08,1017982.2299846602,1055490.1348701399,1002357.8945957302,1026129.5561888302,1.4202614379084968
2023-10-09,1001061.08998466,1048879.94487014,1007831.2045957302,999685.7961888302,1.3836601307189542
2023-10-10,1007261.7399846601,1073679.42487014,1023134.8345957302,1002046.8461888301,1.3869281045751634
2023-10-11,1016723.5699846601,1069093.35487014,1015958.9245957301,1018574.1961888301,1.4098039215686273
2023-10-12,1017455.55998466,1083913.8148701403,1027350.2745957301,1014796.51618883,1.4045751633986927
2023-10-15,1037696.4099846601,1102774.55487014,1054250.88459573,1032268.28618883,1.4287581699346403
2023-10-16,1078454.64998466,1180972.71487014,1152475.4845957302,1048795.6361888302,1.4516339869281045
2023-10-17,1110239.64998466,1228778.6848701402,1173637.9945957302,1085155.8061888302,1.5019607843137255
2023-10-18,1181088.06998466,1230104.34487014,1196960.2945957303,1176292.3361888302,1.6281045751633987
2023-10-19,1172404.59998466,1217639.04487014,1186657.87459573,1168264.7661888301,1.6169934640522874
2023-10-22,1138217.2699846602,1258238.27487014,1196432.08459573,1115377.2461888301,1.5437908496732027
2023-10-23,1167273.9399846601,1316625.7448701402,1231826.7845957302,1141821.0061888301,1.580392156862745
2023-10-24,1180373.75998466,1340533.55487014,1222400.7945957303,1164487.0861888302,1.6117647058823528
