date,open,high,low,close,volume
2023-02-23,16777.19921875,17003.900390625,16733.060546875,17003.900390625,106953808.0
2023-02-26,17003.900390625,17295.4609375,16992.990234375,17213.009765625,93689448.0
2023-02-27,17213.009765625,17359.919921875,17098.16015625,17098.16015625,162677376.0
2023-02-28,17098.16015625,17162.150390625,16936.689453125,17002.080078125,171600752.0
2023-03-01,17002.080078125,17128.75,16976.779296875,17123.009765625,166099920.0
2023-03-02,17123.009765625,17183.439453125,16846.7890625,16846.7890625,117140192.0
2023-03-05,16846.7890625,16929.880859375,16713.66015625,16827.650390625,83039408.0
2023-03-06,16827.650390625,17057.01953125,16803.890625,16803.890625,99848208.0
2023-03-07,16803.890625,16872.05078125,16400.7890625,16432.560546875,99498264.0
2023-03-08,16432.560546875,16532.41015625,16226.6103515625,16315.6201171875,103543744.0
2023-03-09,16315.6201171875,16555.990234375,16283.7802734375,16454.310546875,88378560.0
2023-03-12,16454.310546875,16468.359375,15936.8896484375,15936.8896484375,108615680.0
2023-03-13,15936.8896484375,16089.259765625,15275.08984375,15438.5,157596800.0
2023-03-14,15438.5,15506.1904296875,15281.669921875,15362.25,101427536.0
2023-03-15,15362.25,15703.8896484375,14724.4404296875,14724.4404296875,141349248.0
2023-03-16,14724.4404296875,15052.080078125,14611.9296875,14704.1796875,180988672.0
2023-03-19,14704.1796875,14780.8603515625,14425.8203125,14681.1201171875,70286048.0
2023-03-20,14681.1201171875,15165.4599609375,14662.1298828125,14923.8095703125,127140400.0
2023-03-21,14923.8095703125,15403.919921875,14923.8095703125,15325.66015625,113658256.0
2023-03-22,15325.66015625,15488.009765625,15153.580078125,15253.2197265625,95822056.0
2023-03-23,15253.2197265625,15625.080078125,15200.3701171875,15625.080078125,81929288.0
2023-03-26,15625.080078125,16013.4697265625,15625.080078125,15989.1796875,141192896.0
2023-03-27,15989.1796875,16100.6396484375,15902.330078125,15950.08984375,157231184.0
2023-03-28,15950.08984375,15998.3203125,15696.6201171875,15906.419921875,117322272.0
2023-03-29,15906.419921875,16411.369140625,15906.419921875,16411.369140625,154678224.0
2023-03-30,16411.369140625,16644.740234375,16284.650390625,16418.529296875,144341120.0
2023-04-02,16418.529296875,16694.4609375,16416.130859375,16694.4609375,90499560.0
2023-04-03,16694.4609375,17107.330078125,16694.4609375,17056.890625,228281088.0
2023-04-04,17056.890625,17111.669921875,16928.029296875,16998.349609375,214260320.0
2023-04-05,16998.349609375,17076.830078125,16963.890625,17019.25,143198096.0
2023-04-06,17019.25,17036.330078125,16709.279296875,16709.279296875,115687408.0
2023-04-09,16709.279296875,16756.94921875,16610.529296875,16674.869140625,136475504.0
2023-04-10,16674.869140625,16838.779296875,16674.869140625,16774.640625,170781408.0
2023-04-11,16774.640625,17011.6796875,16774.640625,17011.6796875,125323192.0
2023-04-12,17011.6796875,17011.6796875,16696.779296875,16741.44921875,136764800.0
