family,number,value,param_kama_len,param_kama_fast,param_kama_slow,param_cci_len,param_buy_threshold,param_trend_buffer_atr,param_atr_len,wf_score,wf_cagr,wf_sharpe,wf_profit_factor,wf_max_drawdown,wf_return_dd,wf_closed_trades,wf_twr_total_return,wf_excess_return_vs_dca,wf_final_equity,holdout_score,holdout_cagr,holdout_sharpe,holdout_profit_factor,holdout_max_drawdown,holdout_return_dd,holdout_closed_trades,holdout_twr_total_return,holdout_excess_return_vs_dca,holdout_dca_twr_total_return,holdout_final_equity
dca_pullback_only,20,-0.039336560249667585,27,5,37,12,-45.0,0.8,7,1.591166554471981,0.5917360989343857,1.880838225384965,0.0,0.2745022209451805,2.995034203826,0.0,0.5887793684471231,-0.07320080653041228,345578.89727868,1.3700067853269093,0.3512282178586932,1.7627820285380391,0.0,0.1351816892237493,2.5981937337485785,0.0,0.5226678455111222,-0.039336560249667585,0.5620044057607898,407386.7920445201
dca_pullback_only,21,0.004282685633374639,38,4,53,22,-75.0,1.2000000000000002,16,1.3721250678721955,0.47566692510406505,1.653952231666007,0.0,0.2761251992507221,2.619406354150889,0.0,0.4733432393887938,-0.18863693558874156,328726.22384632006,1.4909340525267998,0.3788282867469863,1.9066804367319525,0.0,0.1342484318731555,2.8218451527606807,0.0,0.5662870913941644,0.004282685633374639,0.5620044057607898,413125.30637024
dca_pullback_only,22,0.00595203889482443,37,4,47,26,-70.0,1.2000000000000002,16,1.3437166784544223,0.46483212327175116,1.638730406716704,0.0,0.29821959564263223,2.562206199814619,0.0,0.46256230364472467,-0.1994178713328107,327411.0202541325,1.494833549532269,0.3798801982857898,1.9178198671191984,0.0,0.13440077296941555,2.826473314794372,0.0,0.5679564446556142,0.00595203889482443,0.5620044057607898,413486.36475760007
dca_pullback_only,23,0.00595203889482443,33,4,47,27,-55.0,1.2000000000000002,13,1.3622544476354326,0.4711020894000635,1.6387532053050518,0.0,0.2987022930887103,2.6038489574582693,0.0,0.46879483474107997,-0.1931853402364554,328549.55449732754,1.4948105339675966,0.3798801982857898,1.9176664300213813,0.0,0.13440077296941555,2.826473314794372,0.0,0.5679564446556142,0.00595203889482443,0.5620044057607898,413486.36475760007
dca_pullback_only,24,-0.02680202928959896,32,4,39,28,-75.0,1.3,12,1.37582682938076,0.47338291386513726,1.6803519835181613,0.0,0.29805289411937075,2.620474531975847,0.0,0.4710565378742316,-0.1909236371033038,328135.24887934,1.4808242455975342,0.3591821733120304,1.8834834755284997,0.0,0.1272403514646121,2.8228637313370326,0.0,0.5352023764711908,-0.02680202928959896,0.5620044057607898,406027.17319797
dca_pullback_only,25,0.008591421488085116,34,3,47,27,-50.0,1.7000000000000002,10,1.3566019240194163,0.46915833858006295,1.631075752160263,0.0,0.30617854814910306,2.5940523523542267,0.0,0.4668597003542716,-0.19512047462326376,328165.11214738747,1.500091596827476,0.3815427066238142,1.9159487472628043,0.0,0.13440144024136114,2.83882900316121,0.0,0.5705958272488749,0.008591421488085116,0.5620044057607898,413832.14502972004
dca_pullback_only,26,-0.022434967762873237,29,3,47,36,-45.0,1.6,10,1.4190269112002027,0.4814343825528787,1.6945573490597183,0.0,0.30711227315193,2.717121698690454,0.0,0.47905770352241195,-0.18292247145512341,329487.122997485,1.4912114960613674,0.36194901250273737,1.8880742509120043,0.0,0.1272391697841302,2.8446351317507665,0.0,0.5395694379979166,-0.022434967762873237,0.5620044057607898,406320.4957960201
dca_pullback_only,27,-0.009498046130607118,23,3,41,27,-20.0,1.7000000000000002,12,1.3806095456516878,0.480094333814037,1.6477389166551348,0.0,0.28436915861928824,2.6396337653535453,0.0,0.4777435274694564,-0.18423664750807894,329613.69645510754,1.4518347328423922,0.3701324084835935,1.839153708144395,0.0,0.1342415242346946,2.7572124988426876,0.0,0.5525063596301827,-0.009498046130607118,0.5620044057607898,411467.31914235005
dca_pullback_only,28,-0.019568932652321402,37,3,43,31,-50.0,1.8,10,1.3501887261213752,0.4660568114177191,1.6271795540231104,0.0,0.30617854814910306,2.5818029022115883,0.0,0.4637728734748291,-0.19820730150270627,327536.4364070975,1.4983061616086755,0.36376363456864613,1.8943251216105181,0.0,0.12726110353339992,2.8584038992965017,0.0,0.5424354731084684,-0.019568932652321402,0.5620044057607898,406935.60519877
dca_pullback_only,29,-0.006699901957705867,32,5,50,30,-30.0,1.3,9,1.371942103921549,0.4756022271425884,1.6437411047732868,0.0,0.2996380793037511,2.6228287424253485,0.0,0.47327013304652193,-0.18871004193101343,329354.70381230005,1.4589656962691755,0.3718998538652416,1.8556776268835937,0.0,0.13439280363572137,2.7672601791483964,0.0,0.5553045038030839,-0.006699901957705867,0.5620044057607898,411965.34965657
